,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,1.FC Union Berlin,Frederik Rönnow,Goalkeeper,"1,88m",right,-,€4.00m
1,1.FC Union Berlin,Alexander Schwolow,Goalkeeper,"1,90m",right,-,€700k
2,1.FC Union Berlin,Carl Klaus,Goalkeeper,"1,89m",right,-,€350k
3,1.FC Union Berlin,Diogo Leite,Centre-Back,"1,90m",left,-,€17.00m
4,1.FC Union Berlin,Danilho Doekhi,Centre-Back,"1,90m",right,"Jun 30, 2026",€13.00m
5,1.FC Union Berlin,Leopold Querfeld,Centre-Back,"1,90m",right,-,€7.00m
6,1.FC Union Berlin,Kevin Vogt,Centre-Back,"1,94m",right,-,€2.00m
7,1.FC Union Berlin,Tom Rothe,Left-Back,"1,93m",left,-,€10.00m
8,1.FC Union Berlin,Jérôme Roussillon,Left-Back,"1,75m",left,-,€1.20m
9,1.FC Union Berlin,Josip Juranovic,Right-Back,"1,73m",right,"Jun 30, 2027",€4.00m
10,1.FC Union Berlin,Christopher Trimmel,Right-Back,"1,89m",right,"Jun 30, 2026",€600k
11,1.FC Union Berlin,Aljoscha Kemlein,Defensive Midfield,"1,87m",right,-,€7.00m
12,1.FC Union Berlin,Lucas Tousart,Defensive Midfield,"1,84m",right,-,€4.00m
13,1.FC Union Berlin,Rani Khedira,Defensive Midfield,"1,89m",right,"Jun 30, 2025",€3.00m
14,1.FC Union Berlin,András Schäfer,Central Midfield,"1,78m",right,-,€5.00m
15,1.FC Union Berlin,László Bénes,Central Midfield,"1,81m",left,-,€4.00m
16,1.FC Union Berlin,Janik Haberer,Central Midfield,"1,87m",right,"Jun 30, 2027",€2.50m
17,1.FC Union Berlin,Robert Skov,Left Midfield,"1,85m",left,-,€4.00m
18,1.FC Union Berlin,Woo-yeong Jeong,Attacking Midfield,"1,79m",right,"Jun 30, 2025",€4.00m
19,1.FC Union Berlin,David Preu,Left Winger,"1,72m",right,"Jun 30, 2025",€25k
20,1.FC Union Berlin,Tim Skarke,Right Winger,"1,81m",right,-,€2.50m
21,1.FC Union Berlin,Benedict Hollerbach,Centre-Forward,"1,81m",right,-,€7.50m
22,1.FC Union Berlin,Marin Ljubicic,Centre-Forward,"1,83m",right,-,€4.00m
23,1.FC Union Berlin,Andrej Ilic,Centre-Forward,"1,89m",right,"Jun 30, 2025",€2.50m
24,1.FC Union Berlin,Kevin Volland,Centre-Forward,"1,79m",left,"Jun 30, 2026",€1.80m
25,1.FC Union Berlin,Ivan Prtajin,Centre-Forward,"1,89m",right,"Jun 30, 2027",€1.50m
