,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,1.FSV Mainz 05,Robin Zentner,Goalkeeper,"1,95m",right,"Jun 30, 2028",€4.00m
1,1.FSV Mainz 05,Daniel Batz,Goalkeeper,"1,91m",both,"Jun 30, 2026",€350k
2,1.FSV Mainz 05,Lasse Rieß,Goalkeeper,"1,92m",right,"Jun 30, 2027",€200k
3,1.FSV Mainz 05,Moritz Jenz,Centre-Back,"1,90m",right,"Jun 30, 2025",€6.00m
4,1.FSV Mainz 05,Andreas Hanche-Olsen,Centre-Back,"1,85m",right,"Jun 30, 2026",€6.00m
5,1.FSV Mainz 05,Maxim Leitsch,Centre-Back,"1,89m",left,"Jun 30, 2026",€2.00m
6,1.FSV Mainz 05,Danny da Costa,Centre-Back,"1,87m",right,"Jun 30, 2026",€1.50m
7,1.FSV Mainz 05,Stefan Bell,Centre-Back,"1,92m",right,"Jun 30, 2026",€800k
8,1.FSV Mainz 05,Maxim Dal,Centre-Back,"1,88m",left,"Jun 30, 2027",€150k
9,1.FSV Mainz 05,Phillipp Mwene,Left-Back,"1,70m",right,"Jun 30, 2026",€1.80m
10,1.FSV Mainz 05,Silvan Widmer,Right-Back,"1,83m",right,"Jun 30, 2026",€1.50m
11,1.FSV Mainz 05,Nikolas Veratschnig,Right-Back,"1,80m",right,"Jun 30, 2028",€800k
12,1.FSV Mainz 05,Kaishu Sano,Defensive Midfield,"1,76m",right,"Jun 30, 2028",€17.00m
13,1.FSV Mainz 05,Lennard Maloney,Defensive Midfield,"1,88m",right,"Jun 30, 2028",€5.00m
14,1.FSV Mainz 05,Dominik Kohr,Defensive Midfield,"1,83m",right,"Jun 30, 2028",€3.50m
15,1.FSV Mainz 05,Nadiem Amiri,Central Midfield,"1,80m",right,"Jun 30, 2028",€18.00m
16,1.FSV Mainz 05,Anthony Caci,Right Midfield,"1,84m",right,"Jun 30, 2026",€10.00m
17,1.FSV Mainz 05,Paul Nebel,Attacking Midfield,"1,69m",both,"Jun 30, 2027",€17.00m
18,1.FSV Mainz 05,Hyun-seok Hong,Attacking Midfield,"1,77m",left,"Jun 30, 2028",€3.50m
19,1.FSV Mainz 05,Jae-sung Lee,Attacking Midfield,"1,80m",left,"Jun 30, 2026",€2.50m
20,1.FSV Mainz 05,Arnaud Nordin,Right Winger,"1,70m",both,"Jun 30, 2028",€6.00m
21,1.FSV Mainz 05,Armindo Sieb,Second Striker,"1,75m",both,"Jun 30, 2026",€4.00m
22,1.FSV Mainz 05,Jonathan Burkardt,Centre-Forward,"1,83m",right,"Jun 30, 2027",€35.00m
23,1.FSV Mainz 05,Nelson Weiper,Centre-Forward,"1,92m",right,"Jun 30, 2025",€6.00m
