,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Bayer 04 Leverkusen,Matej Kovar,Goalkeeper,"1,96m",right,"Jun 30, 2027",€7.00m
1,Bayer 04 Leverkusen,Lukas Hradecky,Goalkeeper,"1,92m",right,"Jun 30, 2026",€2.00m
2,Bayer 04 Leverkusen,Niklas Lomb,Goalkeeper,"1,86m",right,"Jun 30, 2027",€250k
3,Bayer 04 Leverkusen,Piero Hincapié,Centre-Back,"1,84m",left,"Jun 30, 2029",€50.00m
4,Bayer 04 Leverkusen,Edmond Tapsoba,Centre-Back,"1,94m",right,"Jun 30, 2028",€40.00m
5,Bayer 04 Leverkusen,Jonathan Tah,Centre-Back,"1,95m",right,"Jun 30, 2025",€30.00m
6,Bayer 04 Leverkusen,Jeanuël Belocian,Centre-Back,"1,82m",left,"Jun 30, 2029",€15.00m
7,Bayer 04 Leverkusen,Mario Hermoso,Centre-Back,"1,84m",left,"Jun 30, 2025",€10.00m
8,Bayer 04 Leverkusen,Alejandro Grimaldo,Left-Back,"1,71m",left,"Jun 30, 2027",€40.00m
9,Bayer 04 Leverkusen,Nordi Mukiele,Right-Back,"1,87m",right,"Jun 30, 2025",€10.00m
10,Bayer 04 Leverkusen,Arthur,Right-Back,"1,74m",right,"Jun 30, 2028",€7.00m
11,Bayer 04 Leverkusen,Granit Xhaka,Defensive Midfield,"1,86m",left,"Jun 30, 2028",€17.00m
12,Bayer 04 Leverkusen,Robert Andrich,Defensive Midfield,"1,87m",right,"Jun 30, 2028",€15.00m
13,Bayer 04 Leverkusen,Exequiel Palacios,Central Midfield,"1,78m",right,"Jun 30, 2028",€40.00m
14,Bayer 04 Leverkusen,Aleix García,Central Midfield,"1,73m",right,"Jun 30, 2029",€20.00m
15,Bayer 04 Leverkusen,Jeremie Frimpong,Right Midfield,"1,72m",right,"Jun 30, 2028",€50.00m
16,Bayer 04 Leverkusen,Nathan Tella,Right Midfield,"1,73m",right,"Jun 30, 2028",€18.00m
17,Bayer 04 Leverkusen,Florian Wirtz,Attacking Midfield,"1,77m",right,"Jun 30, 2027",€140.00m
18,Bayer 04 Leverkusen,Emiliano Buendía,Attacking Midfield,"1,72m",right,"Jun 30, 2025",€18.00m
19,Bayer 04 Leverkusen,Jonas Hofmann,Attacking Midfield,"1,76m",right,"Jun 30, 2027",€3.00m
20,Bayer 04 Leverkusen,Amine Adli,Left Winger,"1,80m",left,"Jun 30, 2028",€22.00m
21,Bayer 04 Leverkusen,Martin Terrier,Left Winger,"1,84m",right,"Jun 30, 2029",€17.00m
22,Bayer 04 Leverkusen,Victor Boniface,Centre-Forward,"1,90m",right,"Jun 30, 2028",€45.00m
23,Bayer 04 Leverkusen,Patrik Schick,Centre-Forward,"1,91m",left,"Jun 30, 2027",€27.00m
24,Bayer 04 Leverkusen,Alejo Sarco,Centre-Forward,"1,79m",left,"Jun 30, 2029",€800k
