,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Bayern Munich,Jonas Urbig,Goalkeeper,"1,89m",both,"Jun 30, 2029",€8.00m
1,Bayern Munich,Manuel Neuer,Goalkeeper,"1,93m",right,"Jun 30, 2026",€4.00m
2,Bayern Munich,Daniel Peretz,Goalkeeper,"1,90m",right,"Jun 30, 2028",€3.00m
3,Bayern Munich,Sven Ulreich,Goalkeeper,"1,92m",right,"Jun 30, 2025",€500k
4,Bayern Munich,Dayot Upamecano,Centre-Back,"1,86m",right,"Jun 30, 2026",€50.00m
5,Bayern Munich,Min-jae Kim,Centre-Back,"1,90m",right,"Jun 30, 2028",€45.00m
6,Bayern Munich,Hiroki Ito,Centre-Back,"1,88m",left,"Jun 30, 2028",€30.00m
7,Bayern Munich,Eric Dier,Centre-Back,"1,91m",right,"Jun 30, 2025",€8.00m
8,Bayern Munich,Tarek Buchmann,Centre-Back,"1,88m",right,"Jun 30, 2026",€500k
9,Bayern Munich,Alphonso Davies,Left-Back,"1,83m",left,"Jun 30, 2030",€50.00m
10,Bayern Munich,Raphaël Guerreiro,Left-Back,"1,70m",left,"Jun 30, 2026",€10.00m
11,Bayern Munich,Josip Stanisic,Right-Back,"1,87m",both,"Jun 30, 2029",€28.00m
12,Bayern Munich,Sacha Boey,Right-Back,"1,78m",right,"Jun 30, 2028",€18.00m
13,Bayern Munich,Joshua Kimmich,Defensive Midfield,"1,77m",right,"Jun 30, 2029",€50.00m
14,Bayern Munich,Aleksandar Pavlovic,Defensive Midfield,"1,88m",both,"Jun 30, 2029",€50.00m
15,Bayern Munich,João Palhinha,Defensive Midfield,"1,90m",right,"Jun 30, 2028",€40.00m
16,Bayern Munich,Konrad Laimer,Central Midfield,"1,80m",right,"Jun 30, 2027",€25.00m
17,Bayern Munich,Leon Goretzka,Central Midfield,"1,89m",right,"Jun 30, 2026",€22.00m
18,Bayern Munich,Jamal Musiala,Attacking Midfield,"1,84m",right,"Jun 30, 2030",€140.00m
19,Bayern Munich,Kingsley Coman,Left Winger,"1,81m",right,"Jun 30, 2027",€35.00m
20,Bayern Munich,Serge Gnabry,Left Winger,"1,76m",right,"Jun 30, 2026",€25.00m
21,Bayern Munich,Michael Olise,Right Winger,"1,84m",left,"Jun 30, 2029",€80.00m
22,Bayern Munich,Leroy Sané,Right Winger,"1,83m",left,"Jun 30, 2025",€38.00m
23,Bayern Munich,Thomas Müller,Second Striker,"1,85m",right,"Jul 31, 2025",€6.00m
24,Bayern Munich,Gabriel Vidovic,Second Striker,"1,80m",right,"Jun 30, 2026",€3.00m
25,Bayern Munich,Harry Kane,Centre-Forward,"1,88m",right,"Jun 30, 2027",€90.00m
