,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Borussia Dortmund,Gregor Kobel,Goalkeeper,"1,96m",right,"Jun 30, 2028",€40.00m
1,Borussia Dortmund,Marcel Lotka,Goalkeeper,"1,90m",right,"Jun 30, 2025",€1.30m
2,Borussia Dortmund,Alexander Meyer,Goalkeeper,"1,95m",right,"Jun 30, 2026",€800k
3,Borussia Dortmund,Silas Ostrzinski,Goalkeeper,"1,98m",right,"Jun 30, 2025",€200k
4,Borussia Dortmund,Nico Schlotterbeck,Centre-Back,"1,91m",left,"Jun 30, 2027",€40.00m
5,Borussia Dortmund,Waldemar Anton,Centre-Back,"1,89m",right,"Jun 30, 2028",€18.00m
6,Borussia Dortmund,Niklas Süle,Centre-Back,"1,95m",right,"Jun 30, 2026",€8.00m
7,Borussia Dortmund,Filippo Mané,Centre-Back,"1,88m",right,"Jun 30, 2028",€600k
8,Borussia Dortmund,Ramy Bensebaini,Left-Back,"1,87m",left,"Jun 30, 2027",€7.00m
9,Borussia Dortmund,Daniel Svensson,Left-Back,"1,83m",left,"Jun 30, 2025",€5.50m
10,Borussia Dortmund,Almugera Kabar,Left-Back,"1,86m",left,"Jun 30, 2028",€1.00m
11,Borussia Dortmund,Yan Couto,Right-Back,"1,68m",right,"Jun 30, 2025",€20.00m
12,Borussia Dortmund,Julian Ryerson,Right-Back,"1,83m",right,"Jun 30, 2028",€20.00m
13,Borussia Dortmund,Emre Can,Defensive Midfield,"1,86m",right,"Jun 30, 2026",€7.00m
14,Borussia Dortmund,Salih Özcan,Defensive Midfield,"1,83m",right,"Jun 30, 2026",€5.00m
15,Borussia Dortmund,Felix Nmecha,Central Midfield,"1,90m",right,"Jun 30, 2028",€28.00m
16,Borussia Dortmund,Carney Chukwuemeka,Central Midfield,"1,88m",right,"Jun 30, 2025",€15.00m
17,Borussia Dortmund,Marcel Sabitzer,Central Midfield,"1,78m",right,"Jun 30, 2027",€10.00m
18,Borussia Dortmund,Pascal Groß,Central Midfield,"1,81m",right,"Jun 30, 2026",€7.00m
19,Borussia Dortmund,Kjell Wätjen,Central Midfield,"1,84m",right,"Jun 30, 2028",€2.00m
20,Borussia Dortmund,Julian Brandt,Attacking Midfield,"1,85m",right,"Jun 30, 2026",€25.00m
21,Borussia Dortmund,Giovanni Reyna,Attacking Midfield,"1,85m",right,"Jun 30, 2026",€10.00m
22,Borussia Dortmund,Jamie Gittens,Left Winger,"1,78m",right,"Jun 30, 2028",€50.00m
23,Borussia Dortmund,Julien Duranville,Left Winger,"1,73m",right,-,€8.50m
24,Borussia Dortmund,Karim Adeyemi,Right Winger,"1,80m",left,"Jun 30, 2027",€40.00m
25,Borussia Dortmund,Cole Campbell,Right Winger,"1,70m",left,"Jun 30, 2028",€1.50m
26,Borussia Dortmund,Serhou Guirassy,Centre-Forward,"1,87m",right,"Jun 30, 2028",€40.00m
27,Borussia Dortmund,Maximilian Beier,Centre-Forward,"1,85m",right,"Jun 30, 2029",€25.00m
