,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Borussia Mönchengladbach,Moritz Nicolas,Goalkeeper,"1,93m",right,"Jun 30, 2029",€5.00m
1,Borussia Mönchengladbach,Jonas Omlin,Goalkeeper,"1,90m",right,"Jun 30, 2027",€2.50m
2,Borussia Mönchengladbach,Tobias Sippel,Goalkeeper,"1,83m",right,"Jun 30, 2025",€300k
3,Borussia Mönchengladbach,Tiago Pereira Cardoso,Goalkeeper,"1,90m",right,-,€300k
4,Borussia Mönchengladbach,Ko Itakura,Centre-Back,"1,88m",right,"Jun 30, 2026",€12.00m
5,Borussia Mönchengladbach,Nico Elvedi,Centre-Back,"1,89m",right,"Jun 30, 2027",€8.00m
6,Borussia Mönchengladbach,Marvin Friedrich,Centre-Back,"1,93m",right,"Jun 30, 2026",€3.50m
7,Borussia Mönchengladbach,Fabio Chiarodia,Centre-Back,"1,86m",left,"Jun 30, 2027",€2.00m
8,Borussia Mönchengladbach,Lukas Ullrich,Left-Back,"1,80m",left,"Jun 30, 2027",€8.00m
9,Borussia Mönchengladbach,Luca Netz,Left-Back,"1,84m",left,"Jun 30, 2026",€7.00m
10,Borussia Mönchengladbach,Joe Scally,Right-Back,"1,84m",right,"Jun 30, 2027",€10.00m
11,Borussia Mönchengladbach,Stefan Lainer,Right-Back,"1,75m",right,"Jun 30, 2026",€1.80m
12,Borussia Mönchengladbach,Julian Weigl,Defensive Midfield,"1,86m",right,"Jun 30, 2028",€6.00m
13,Borussia Mönchengladbach,Rocco Reitz,Central Midfield,"1,76m",right,"Jun 30, 2028",€15.00m
14,Borussia Mönchengladbach,Philipp Sander,Central Midfield,"1,86m",both,"Jun 30, 2028",€4.00m
15,Borussia Mönchengladbach,Florian Neuhaus,Central Midfield,"1,85m",right,"Jun 30, 2027",€3.50m
16,Borussia Mönchengladbach,Kevin Stöger,Attacking Midfield,"1,75m",left,"Jun 30, 2027",€4.50m
17,Borussia Mönchengladbach,Robin Hack,Left Winger,"1,78m",right,"Jun 30, 2029",€10.00m
18,Borussia Mönchengladbach,Yvandro Borges Sanches,Left Winger,"1,80m",right,"Jun 30, 2026",€500k
19,Borussia Mönchengladbach,Franck Honorat,Right Winger,"1,80m",right,"Jun 30, 2028",€12.00m
20,Borussia Mönchengladbach,Nathan Ngoumou,Right Winger,"1,85m",right,"Jun 30, 2027",€4.00m
21,Borussia Mönchengladbach,Tim Kleindienst,Centre-Forward,"1,94m",both,"Jun 30, 2028",€17.00m
22,Borussia Mönchengladbach,Alassane Pléa,Centre-Forward,"1,81m",right,"Jun 30, 2026",€6.00m
23,Borussia Mönchengladbach,Tomas Cvancara,Centre-Forward,"1,90m",right,"Jun 30, 2028",€4.00m
24,Borussia Mönchengladbach,Shio Fukuda,Centre-Forward,"1,78m",right,"Jun 30, 2027",€500k
