,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Eintracht Frankfurt,Kevin Trapp,Goalkeeper,"1,89m",right,"Jun 30, 2026",€3.00m
1,Eintracht Frankfurt,Kauã Santos,Goalkeeper,"1,98m",right,"Jun 30, 2030",€2.50m
2,Eintracht Frankfurt,Jens Grahl,Goalkeeper,"1,92m",right,"Jun 30, 2026",€200k
3,Eintracht Frankfurt,Arthur Theate,Centre-Back,"1,85m",left,"Jun 30, 2029",€24.00m
4,Eintracht Frankfurt,Robin Koch,Centre-Back,"1,92m",right,"Jun 30, 2027",€18.00m
5,Eintracht Frankfurt,Tuta,Centre-Back,"1,85m",right,"Jun 30, 2026",€15.00m
6,Eintracht Frankfurt,Nnamdi Collins,Centre-Back,"1,91m",right,"Jun 30, 2030",€10.00m
7,Eintracht Frankfurt,Aurèle Amenda,Centre-Back,"1,97m",right,"Jun 30, 2029",€7.50m
8,Eintracht Frankfurt,Nathaniel Brown,Left-Back,"1,80m",left,"Jun 30, 2030",€15.00m
9,Eintracht Frankfurt,Niels Nkounkou,Left-Back,"1,80m",left,"Jun 30, 2028",€5.00m
10,Eintracht Frankfurt,Rasmus Kristensen,Right-Back,"1,87m",right,"Jun 30, 2025",€10.00m
11,Eintracht Frankfurt,Timothy Chandler,Right-Back,"1,87m",right,"Jun 30, 2025",€350k
12,Eintracht Frankfurt,Ellyes Skhiri,Defensive Midfield,"1,85m",right,"Jun 30, 2027",€9.00m
13,Eintracht Frankfurt,Hugo Larsson,Central Midfield,"1,87m",right,"Jun 30, 2029",€40.00m
14,Eintracht Frankfurt,Oscar Højlund,Central Midfield,"1,87m",right,"Jun 30, 2029",€7.50m
15,Eintracht Frankfurt,Mahmoud Dahoud,Central Midfield,"1,78m",right,"Jun 30, 2026",€5.00m
16,Eintracht Frankfurt,Junior Dina Ebimbe,Right Midfield,"1,84m",right,"Jun 30, 2027",€7.00m
17,Eintracht Frankfurt,Can Uzun,Attacking Midfield,"1,86m",right,"Jun 30, 2029",€18.00m
18,Eintracht Frankfurt,Farès Chaïbi,Attacking Midfield,"1,83m",right,"Jun 30, 2028",€9.00m
19,Eintracht Frankfurt,Mario Götze,Attacking Midfield,"1,76m",right,"Jun 30, 2026",€5.00m
20,Eintracht Frankfurt,Krisztián Lisztes,Attacking Midfield,"1,83m",right,"Jun 30, 2029",€2.00m
21,Eintracht Frankfurt,Jean-Mattéo Bahoya,Left Winger,"1,80m",right,"Jun 30, 2029",€9.00m
22,Eintracht Frankfurt,Ansgar Knauff,Right Winger,"1,80m",right,"Jun 30, 2028",€10.00m
23,Eintracht Frankfurt,Hugo Ekitiké,Centre-Forward,"1,90m",right,"Jun 30, 2029",€55.00m
24,Eintracht Frankfurt,Elye Wahi,Centre-Forward,"1,81m",right,"Jun 30, 2030",€25.00m
25,Eintracht Frankfurt,Igor Matanovic,Centre-Forward,"1,94m",right,"Jun 30, 2029",€6.00m
26,Eintracht Frankfurt,Michy Batshuayi,Centre-Forward,"1,85m",right,"Jun 30, 2027",€5.00m
