,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,FC Augsburg,Finn Dahmen,Goalkeeper,"1,86m",right,"Jun 30, 2027",€6.00m
1,FC Augsburg,Nediljko Labrovic,Goalkeeper,"1,96m",right,"Jun 30, 2029",€3.00m
2,FC Augsburg,Daniel Klein,Goalkeeper,"1,93m",right,"Jun 30, 2026",€150k
3,FC Augsburg,Chrislain Matsima,Centre-Back,"1,93m",right,"Jun 30, 2025",€17.00m
4,FC Augsburg,Keven Schlotterbeck,Centre-Back,"1,88m",left,"Jun 30, 2027",€7.00m
5,FC Augsburg,Noahkai Banks,Centre-Back,"1,93m",right,"Jun 30, 2027",€6.00m
6,FC Augsburg,Cédric Zesiger,Centre-Back,"1,94m",left,"Jun 30, 2025",€5.50m
7,FC Augsburg,Jeffrey Gouweleeuw,Centre-Back,"1,88m",right,"Jun 30, 2026",€1.50m
8,FC Augsburg,Reece Oxford,Centre-Back,"1,90m",right,"Jun 30, 2025",€500k
9,FC Augsburg,Dimitrios Giannoulis,Left-Back,"1,78m",left,"Jun 30, 2028",€2.80m
10,FC Augsburg,Mads Pedersen,Left-Back,"1,78m",left,"Jun 30, 2027",€2.50m
11,FC Augsburg,Marius Wolf,Right-Back,"1,88m",right,"Jun 30, 2027",€3.00m
12,FC Augsburg,Robert Gumny,Right-Back,"1,82m",right,"Jun 30, 2025",€2.00m
13,FC Augsburg,Henri Koudossou,Right-Back,"1,80m",both,"Jun 30, 2026",€1.50m
14,FC Augsburg,Kristijan Jakic,Defensive Midfield,"1,84m",right,"Jun 30, 2028",€6.50m
15,FC Augsburg,Mahmut Kücüksahin,Defensive Midfield,"1,82m",right,"Jun 30, 2027",€175k
16,FC Augsburg,Frank Onyeka,Central Midfield,"1,83m",right,"Jun 30, 2025",€7.00m
17,FC Augsburg,Arne Maier,Central Midfield,"1,86m",right,"Jun 30, 2026",€4.00m
18,FC Augsburg,Elvis Rexhbecaj,Central Midfield,"1,82m",left,"Jun 30, 2026",€3.50m
19,FC Augsburg,Alexis Claude-Maurice,Attacking Midfield,"1,76m",right,"Jun 30, 2027",€12.00m
20,FC Augsburg,Mert Kömür,Attacking Midfield,"1,83m",both,"Jun 30, 2027",€5.00m
21,FC Augsburg,Fredrik Jensen,Attacking Midfield,"1,83m",right,"Jun 30, 2025",€3.50m
22,FC Augsburg,Yusuf Kabadayi,Left Winger,"1,86m",right,"Jun 30, 2028",€1.50m
23,FC Augsburg,Phillip Tietz,Centre-Forward,"1,90m",right,"Jun 30, 2027",€5.00m
24,FC Augsburg,Mergim Berisha,Centre-Forward,"1,88m",right,"Jun 30, 2025",€5.00m
25,FC Augsburg,Samuel Essende,Centre-Forward,"1,93m",right,"Jun 30, 2028",€4.50m
26,FC Augsburg,Steve Mounié,Centre-Forward,"1,89m",right,"Jun 30, 2027",€3.00m
