,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,FC St. Pauli,Nikola Vasilj,Goalkeeper,"1,93m",right,-,€3.00m
1,FC St. Pauli,Ben Voll,Goalkeeper,"1,95m",both,-,€500k
2,FC St. Pauli,Eric Oelschlägel,Goalkeeper,"1,93m",right,-,€300k
3,FC St. Pauli,Sascha Burchert,Goalkeeper,"1,87m",right,-,€200k
4,FC St. Pauli,Sören Ahlers,Goalkeeper,"1,94m",both,-,€50k
5,FC St. Pauli,Eric Smith,Centre-Back,"1,92m",right,-,€5.00m
6,FC St. Pauli,David Nemeth,Centre-Back,"1,91m",both,"Jun 30, 2026",€2.50m
7,FC St. Pauli,Siebe Van der Heyden,Centre-Back,"1,85m",left,"Jun 30, 2025",€2.00m
8,FC St. Pauli,Hauke Wahl,Centre-Back,"1,89m",right,-,€1.50m
9,FC St. Pauli,Karol Mets,Centre-Back,"1,91m",left,"Jun 30, 2026",€1.30m
10,FC St. Pauli,Adam Dzwigala,Centre-Back,"1,85m",right,-,€600k
11,FC St. Pauli,Muhammad Dahaba,Centre-Back,"1,94m",right,-,€125k
12,FC St. Pauli,Philipp Treu,Left-Back,"1,73m",right,-,€5.00m
13,FC St. Pauli,Lars Ritzka,Left-Back,"1,85m",left,-,€900k
14,FC St. Pauli,Manolis Saliakas,Right-Back,"1,77m",right,-,€2.80m
15,FC St. Pauli,Fin Stevens,Right-Back,"1,79m",right,-,€600k
16,FC St. Pauli,James Sands,Defensive Midfield,"1,86m",right,"Jun 30, 2025",€3.00m
17,FC St. Pauli,Marwin Schmitz,Defensive Midfield,"1,80m",right,-,€200k
18,FC St. Pauli,Robert Wagner,Central Midfield,"1,81m",right,"Jun 30, 2025",€3.00m
19,FC St. Pauli,Connor Metcalfe,Central Midfield,"1,83m",left,-,€2.50m
20,FC St. Pauli,Jackson Irvine,Central Midfield,"1,89m",right,-,€2.00m
21,FC St. Pauli,Carlo Boukhalfa,Central Midfield,"1,86m",left,"Jun 30, 2025",€1.00m
22,FC St. Pauli,Erik Ahlstrand,Central Midfield,"1,84m",,-,€500k
23,FC St. Pauli,Danel Sinani,Attacking Midfield,"1,85m",left,-,€750k
24,FC St. Pauli,Noah Weißhaupt,Left Winger,"1,81m",right,"Jun 30, 2025",€5.00m
25,FC St. Pauli,Elias Saad,Left Winger,"1,85m",right,-,€4.00m
26,FC St. Pauli,Romeo Aigbekaen,Left Winger,"1,89m",both,"Jun 30, 2028",€100k
27,FC St. Pauli,Oladapo Afolayan,Right Winger,"1,80m",right,-,€4.00m
28,FC St. Pauli,Morgan Guilavogui,Right Winger,"1,89m",right,"Jun 30, 2025",€4.00m
29,FC St. Pauli,Scott Banks,Right Winger,"1,83m",left,-,€500k
30,FC St. Pauli,Johannes Eggestein,Centre-Forward,"1,83m",right,"Jun 30, 2025",€3.00m
31,FC St. Pauli,Abdoulie Ceesay,Centre-Forward,"1,85m",,-,€500k
32,FC St. Pauli,Andreas Albers,Centre-Forward,"1,93m",right,-,€300k
33,FC St. Pauli,Simon Zoller,Centre-Forward,"1,79m",right,-,€300k
