,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Holstein Kiel,Timon Weiner,Goalkeeper,"1,91m",both,"Jun 30, 2027",€1.50m
1,Holstein Kiel,Thomas Dähne,Goalkeeper,"1,93m",both,"Jun 30, 2026",€400k
2,Holstein Kiel,Marcel Engelhardt,Goalkeeper,"1,91m",right,-,€175k
3,Holstein Kiel,Marko Ivezic,Centre-Back,"1,91m",right,"Jun 30, 2027",€2.50m
4,Holstein Kiel,David Zec,Centre-Back,"1,90m",right,"Jun 30, 2029",€2.50m
5,Holstein Kiel,Colin Kleine-Bekel,Centre-Back,"1,92m",right,"Jun 30, 2025",€2.50m
6,Holstein Kiel,Timo Becker,Centre-Back,"1,90m",right,"Jun 30, 2025",€2.00m
7,Holstein Kiel,Max Geschwill,Centre-Back,"1,85m",left,-,€1.50m
8,Holstein Kiel,Marco Komenda,Centre-Back,"1,84m",left,"Jun 30, 2026",€800k
9,Holstein Kiel,Ivan Nekic,Centre-Back,"1,85m",right,-,€800k
10,Holstein Kiel,Carl Johansson,Centre-Back,"1,94m",right,"Jun 30, 2026",€700k
11,Holstein Kiel,John Tolkin,Left-Back,"1,70m",left,-,€3.00m
12,Holstein Kiel,Dominik Javorcek,Left-Back,"1,83m",left,"Jun 30, 2025",€550k
13,Holstein Kiel,Lasse Rosenboom,Right-Back,"1,90m",right,-,€1.00m
14,Holstein Kiel,Patrick Erras,Defensive Midfield,"1,96m",right,"Jun 30, 2026",€1.00m
15,Holstein Kiel,Marvin Schulz,Defensive Midfield,"1,86m",right,"Jun 30, 2025",€700k
16,Holstein Kiel,Armin Gigovic,Central Midfield,"1,87m",right,-,€3.00m
17,Holstein Kiel,Nicolai Remberg,Central Midfield,"1,88m",right,-,€2.80m
18,Holstein Kiel,Magnus Knudsen,Central Midfield,"1,86m",right,-,€2.50m
19,Holstein Kiel,Lewis Holtby,Central Midfield,"1,76m",left,"Jun 30, 2025",€500k
20,Holstein Kiel,Aurel Wagbe,Left Midfield,"1,91m",left,"Jun 30, 2026",€100k
21,Holstein Kiel,Finn Porath,Attacking Midfield,"1,80m",right,"Jun 30, 2026",€2.00m
22,Holstein Kiel,Steven Skrzybski,Attacking Midfield,"1,74m",right,"Jun 30, 2026",€1.00m
23,Holstein Kiel,Andu Kelati,Left Winger,"1,81m",right,"Jun 30, 2028",€800k
24,Holstein Kiel,Alexander Bernhardsson,Right Winger,"1,85m",left,"Jun 30, 2027",€1.50m
25,Holstein Kiel,Phil Harres,Centre-Forward,"1,93m",right,-,€4.50m
26,Holstein Kiel,Shuto Machino,Centre-Forward,"1,85m",right,"Jun 30, 2027",€3.50m
27,Holstein Kiel,Benedikt Pichler,Centre-Forward,"1,88m",right,"Jun 30, 2027",€2.00m
28,Holstein Kiel,Fiete Arp,Centre-Forward,"1,86m",right,"Jun 30, 2026",€800k
