,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,RB Leipzig,Maarten Vandevoordt,Goalkeeper,"1,92m",right,"Jun 30, 2029",€8.00m
1,RB Leipzig,Péter Gulácsi,Goalkeeper,"1,93m",right,"Jun 30, 2026",€2.50m
2,RB Leipzig,Leopold Zingerle,Goalkeeper,"1,82m",right,"Jun 30, 2026",€400k
3,RB Leipzig,Castello Lukeba,Centre-Back,"1,84m",left,"Jun 30, 2029",€50.00m
4,RB Leipzig,El Chadaille Bitshiabu,Centre-Back,"1,96m",left,"Jun 30, 2028",€12.00m
5,RB Leipzig,Willi Orbán,Centre-Back,"1,86m",right,"Jun 30, 2027",€10.00m
6,RB Leipzig,Lukas Klostermann,Centre-Back,"1,89m",right,"Jun 30, 2028",€8.00m
7,RB Leipzig,David Raum,Left-Back,"1,81m",left,"Jun 30, 2027",€25.00m
8,RB Leipzig,Lutsharel Geertruida,Right-Back,"1,84m",right,"Jun 30, 2029",€27.00m
9,RB Leipzig,Benjamin Henrichs,Right-Back,"1,85m",right,"Jun 30, 2028",€17.00m
10,RB Leipzig,Kosta Nedeljkovic,Right-Back,"1,84m",right,"Jun 30, 2025",€8.50m
11,RB Leipzig,Ridle Baku,Right-Back,"1,76m",right,"Jun 30, 2027",€7.00m
12,RB Leipzig,Arthur Vermeeren,Defensive Midfield,"1,80m",right,"Jun 30, 2025",€22.00m
13,RB Leipzig,Amadou Haidara,Central Midfield,"1,78m",right,"Jun 30, 2026",€20.00m
14,RB Leipzig,Xaver Schlager,Central Midfield,"1,74m",left,"Jun 30, 2026",€18.00m
15,RB Leipzig,Nicolas Seiwald,Central Midfield,"1,80m",right,"Jun 30, 2028",€16.00m
16,RB Leipzig,Assan Ouédraogo,Central Midfield,"1,91m",right,"Jun 30, 2029",€10.00m
17,RB Leipzig,Kevin Kampl,Central Midfield,"1,78m",right,"Jun 30, 2026",€3.00m
18,RB Leipzig,Xavi Simons,Attacking Midfield,"1,79m",right,"Jun 30, 2027",€70.00m
19,RB Leipzig,Christoph Baumgartner,Attacking Midfield,"1,80m",right,"Jun 30, 2028",€15.00m
20,RB Leipzig,Viggo Gebel,Attacking Midfield,"1,75m",,-,€350k
21,RB Leipzig,Antonio Nusa,Left Winger,"1,83m",right,"Jun 30, 2029",€28.00m
22,RB Leipzig,Tidiam Gomis,Left Winger,"1,83m",right,"Jun 30, 2029",€3.00m
23,RB Leipzig,Benjamin Sesko,Centre-Forward,"1,95m",right,"Jun 30, 2029",€65.00m
24,RB Leipzig,Loïs Openda,Centre-Forward,"1,77m",right,"Jun 30, 2028",€60.00m
25,RB Leipzig,Yussuf Poulsen,Centre-Forward,"1,92m",right,"Jun 30, 2026",€5.00m
