,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,SC Freiburg,Noah Atubolu,Goalkeeper,"1,90m",right,-,€15.00m
1,SC Freiburg,Florian Müller,Goalkeeper,"1,90m",left,-,€1.20m
2,SC Freiburg,Jannik Huth,Goalkeeper,"1,85m",right,-,€400k
3,SC Freiburg,Philipp Lienhart,Centre-Back,"1,89m",right,-,€15.00m
4,SC Freiburg,Matthias Ginter,Centre-Back,"1,89m",right,"Jun 30, 2027",€8.00m
5,SC Freiburg,Max Rosenfelder,Centre-Back,"1,86m",right,-,€4.00m
6,SC Freiburg,Bruno Ogbus,Centre-Back,"1,85m",right,-,€1.00m
7,SC Freiburg,Manuel Gulde,Centre-Back,"1,84m",right,-,€800k
8,SC Freiburg,Christian Günter,Left-Back,"1,84m",left,-,€4.00m
9,SC Freiburg,Jordy Makengo,Left-Back,"1,91m",left,-,€3.00m
10,SC Freiburg,Kiliann Sildillia,Right-Back,"1,86m",right,"Jun 30, 2026",€10.00m
11,SC Freiburg,Lukas Kübler,Right-Back,"1,82m",right,-,€2.00m
12,SC Freiburg,Nicolas Höfler,Defensive Midfield,"1,81m",right,-,€700k
13,SC Freiburg,Maximilian Eggestein,Central Midfield,"1,81m",right,-,€10.00m
14,SC Freiburg,Patrick Osterhage,Central Midfield,"1,86m",left,-,€8.50m
15,SC Freiburg,Johan Manzambi,Central Midfield,"1,82m",right,"Jun 30, 2028",€750k
16,SC Freiburg,Merlin Röhl,Attacking Midfield,"1,92m",right,-,€12.00m
17,SC Freiburg,Daniel-Kofi Kyereh,Attacking Midfield,"1,79m",right,-,€1.50m
18,SC Freiburg,Niklas Beste,Left Winger,"1,75m",left,"Jun 30, 2030",€10.00m
19,SC Freiburg,Vincenzo Grifo,Left Winger,"1,80m",right,-,€7.50m
20,SC Freiburg,Florent Muslija,Left Winger,"1,72m",right,"Jun 30, 2028",€2.00m
21,SC Freiburg,Ritsu Doan,Right Winger,"1,72m",left,"Jun 30, 2027",€22.00m
22,SC Freiburg,Eren Dinkçi,Right Winger,"1,88m",right,-,€12.00m
23,SC Freiburg,Maximilian Philipp,Second Striker,"1,83m",right,-,€1.00m
24,SC Freiburg,Junior Adamu,Centre-Forward,"1,83m",right,-,€6.00m
25,SC Freiburg,Michael Gregoritsch,Centre-Forward,"1,93m",left,-,€4.00m
26,SC Freiburg,Lucas Höler,Centre-Forward,"1,84m",right,-,€3.50m
