,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,SV Werder Bremen,Michael Zetterer,Goalkeeper,"1,87m",both,"Jun 30, 2027",€4.50m
1,SV Werder Bremen,Mio Backhaus,Goalkeeper,"1,94m",right,-,€2.00m
2,SV Werder Bremen,Markus Kolke,Goalkeeper,"1,87m",right,-,€300k
3,SV Werder Bremen,Marco Friedl,Centre-Back,"1,87m",left,"Jun 30, 2028",€10.00m
4,SV Werder Bremen,Niklas Stark,Centre-Back,"1,90m",right,"Jun 30, 2026",€5.00m
5,SV Werder Bremen,Amos Pieper,Centre-Back,"1,92m",right,"Jun 30, 2026",€3.00m
6,SV Werder Bremen,Milos Veljkovic,Centre-Back,"1,88m",right,"Jun 30, 2025",€3.00m
7,SV Werder Bremen,Julián Malatini,Centre-Back,"1,91m",right,-,€3.00m
8,SV Werder Bremen,Anthony Jung,Centre-Back,"1,86m",left,"Jun 30, 2025",€1.00m
9,SV Werder Bremen,Derrick Köhn,Left-Back,"1,80m",left,"Jun 30, 2025",€6.00m
10,SV Werder Bremen,Felix Agu,Left-Back,"1,80m",right,"Jun 30, 2027",€6.00m
11,SV Werder Bremen,Issa Kaboré,Right-Back,"1,80m",right,"Jun 30, 2025",€6.00m
12,SV Werder Bremen,Mitchell Weiser,Right-Back,"1,77m",right,-,€5.00m
13,SV Werder Bremen,Senne Lynen,Defensive Midfield,"1,85m",right,-,€9.00m
14,SV Werder Bremen,Skelly Alvero,Defensive Midfield,"2,02m",right,"Jun 30, 2028",€3.00m
15,SV Werder Bremen,Jens Stage,Central Midfield,"1,87m",right,-,€12.00m
16,SV Werder Bremen,Leonardo Bittencourt,Central Midfield,"1,71m",right,"Jun 30, 2026",€2.00m
17,SV Werder Bremen,Romano Schmid,Attacking Midfield,"1,68m",right,-,€15.00m
18,SV Werder Bremen,Leon Opitz,Attacking Midfield,"1,83m",left,-,€600k
19,SV Werder Bremen,Marco Grüll,Left Winger,"1,82m",both,-,€4.00m
20,SV Werder Bremen,Abdenego Nankishi,Left Winger,"1,78m",left,"Jun 30, 2025",€450k
21,SV Werder Bremen,Justin Njinmah,Right Winger,"1,85m",right,"Jun 30, 2027",€7.00m
22,SV Werder Bremen,Marvin Ducksch,Centre-Forward,"1,88m",right,"Jun 30, 2026",€7.50m
23,SV Werder Bremen,André Silva,Centre-Forward,"1,86m",right,"Jun 30, 2025",€5.00m
24,SV Werder Bremen,Keke Topp,Centre-Forward,"1,92m",right,"Jun 30, 2028",€4.00m
25,SV Werder Bremen,Oliver Burke,Centre-Forward,"1,88m",right,"Jun 30, 2025",€1.80m
