,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,TSG 1899 Hoffenheim,Oliver Baumann,Goalkeeper,"1,87m",right,"Jun 30, 2026",€3.00m
1,TSG 1899 Hoffenheim,Luca Philipp,Goalkeeper,"1,92m",,"Jun 30, 2025",€750k
2,TSG 1899 Hoffenheim,Jakob Busk,Goalkeeper,"1,89m",right,"Jun 30, 2025",€250k
3,TSG 1899 Hoffenheim,Lúkas Petersson,Goalkeeper,"1,95m",,"Jun 30, 2027",€150k
4,TSG 1899 Hoffenheim,Ozan Kabak,Centre-Back,"1,87m",right,"Jun 30, 2026",€7.50m
5,TSG 1899 Hoffenheim,Leo Østigård,Centre-Back,"1,83m",right,"Jun 30, 2025",€7.00m
6,TSG 1899 Hoffenheim,Robin Hranac,Centre-Back,"1,90m",right,-,€3.50m
7,TSG 1899 Hoffenheim,Arthur Chaves,Centre-Back,"1,88m",right,-,€3.00m
8,TSG 1899 Hoffenheim,Kevin Akpoguma,Centre-Back,"1,92m",right,"Jun 30, 2026",€2.50m
9,TSG 1899 Hoffenheim,Stanley Nsoki,Centre-Back,"1,84m",left,"Jun 30, 2027",€2.50m
10,TSG 1899 Hoffenheim,David Jurásek,Left-Back,"1,83m",left,"Jun 30, 2025",€7.00m
11,TSG 1899 Hoffenheim,Alexander Prass,Left-Back,"1,80m",left,"Jun 30, 2028",€6.50m
12,TSG 1899 Hoffenheim,Christopher Lenz,Left-Back,"1,80m",left,-,€800k
13,TSG 1899 Hoffenheim,Valentin Gendrey,Right-Back,"1,79m",right,-,€8.50m
14,TSG 1899 Hoffenheim,Pavel Kaderabek,Right-Back,"1,82m",right,"Jun 30, 2025",€2.50m
15,TSG 1899 Hoffenheim,Anton Stach,Defensive Midfield,"1,94m",right,"Jun 30, 2027",€14.00m
16,TSG 1899 Hoffenheim,Diadié Samassékou,Defensive Midfield,"1,77m",right,"Jun 30, 2025",€1.00m
17,TSG 1899 Hoffenheim,Tom Bischof,Central Midfield,"1,76m",left,"Jun 30, 2025",€25.00m
18,TSG 1899 Hoffenheim,Umut Tohumcu,Central Midfield,"1,75m",right,"Jun 30, 2028",€7.00m
19,TSG 1899 Hoffenheim,Grischa Prömel,Central Midfield,"1,84m",right,"Jun 30, 2026",€4.50m
20,TSG 1899 Hoffenheim,Dennis Geiger,Central Midfield,"1,73m",right,"Jun 30, 2027",€3.00m
21,TSG 1899 Hoffenheim,Finn Becker,Central Midfield,"1,77m",left,"Jun 30, 2026",€2.00m
22,TSG 1899 Hoffenheim,Florian Micheler,Central Midfield,"1,85m",right,"Jun 30, 2026",€500k
23,TSG 1899 Hoffenheim,Andrej Kramaric,Attacking Midfield,"1,77m",right,"Jun 30, 2026",€4.00m
24,TSG 1899 Hoffenheim,Bazoumana Touré,Left Winger,-,left,"Jun 30, 2029",€9.00m
25,TSG 1899 Hoffenheim,Marius Bülter,Left Winger,"1,88m",right,"Jun 30, 2026",€2.50m
26,TSG 1899 Hoffenheim,Adam Hlozek,Second Striker,"1,88m",right,"Jun 30, 2029",€18.00m
27,TSG 1899 Hoffenheim,Gift Orban,Centre-Forward,"1,78m",right,"Jun 30, 2029",€10.00m
28,TSG 1899 Hoffenheim,Max Moerstedt,Centre-Forward,"1,94m",right,"Jun 30, 2027",€7.00m
29,TSG 1899 Hoffenheim,Haris Tabakovic,Centre-Forward,"1,94m",right,"Jun 30, 2027",€3.00m
30,TSG 1899 Hoffenheim,Erencan Yardımcı,Centre-Forward,"1,88m",right,-,€3.00m
31,TSG 1899 Hoffenheim,Ihlas Bebou,Centre-Forward,"1,85m",right,"Jun 30, 2026",€2.80m
32,TSG 1899 Hoffenheim,David Mokwa,Centre-Forward,"1,80m",right,"Jun 30, 2027",€1.00m
