,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,VfB Stuttgart,Alexander Nübel,Goalkeeper,"1,93m",right,"Jun 30, 2026",€12.00m
1,VfB Stuttgart,Dennis Seimen,Goalkeeper,"1,92m",left,"Jun 30, 2029",€1.50m
2,VfB Stuttgart,Fabian Bredlow,Goalkeeper,"1,90m",both,"Jun 30, 2026",€1.00m
3,VfB Stuttgart,Stefan Drljaca,Goalkeeper,"1,92m",right,"Jun 30, 2027",€325k
4,VfB Stuttgart,Jeff Chabot,Centre-Back,"1,95m",left,"Jun 30, 2028",€12.00m
5,VfB Stuttgart,Finn Jeltsch,Centre-Back,"1,88m",right,"Jun 30, 2030",€12.00m
6,VfB Stuttgart,Ameen Al-Dakhil,Centre-Back,"1,87m",right,"Jun 30, 2028",€7.50m
7,VfB Stuttgart,Luca Jaquez,Centre-Back,"1,87m",right,"Jun 30, 2029",€6.00m
8,VfB Stuttgart,Dan-Axel Zagadou,Centre-Back,"1,96m",left,"Jun 30, 2026",€6.00m
9,VfB Stuttgart,Anrie Chase,Centre-Back,"1,88m",right,-,€4.00m
10,VfB Stuttgart,Maximilian Mittelstädt,Left-Back,"1,80m",left,"Jun 30, 2028",€20.00m
11,VfB Stuttgart,Ramon Hendriks,Left-Back,"1,89m",left,"Jun 30, 2028",€5.00m
12,VfB Stuttgart,Josha Vagnoman,Right-Back,"1,90m",right,"Jun 30, 2026",€12.00m
13,VfB Stuttgart,Leonidas Stergiou,Right-Back,"1,81m",right,"Jun 30, 2028",€5.00m
14,VfB Stuttgart,Pascal Stenzel,Right-Back,"1,83m",right,"Jun 30, 2026",€2.50m
15,VfB Stuttgart,Angelo Stiller,Defensive Midfield,"1,83m",left,"Jun 30, 2028",€38.00m
16,VfB Stuttgart,Atakan Karazor,Defensive Midfield,"1,91m",right,"Jun 30, 2028",€12.00m
17,VfB Stuttgart,Yannik Keitel,Defensive Midfield,"1,86m",both,"Jun 30, 2028",€3.50m
18,VfB Stuttgart,Nikolas Nartey,Central Midfield,"1,86m",left,"Jun 30, 2025",€400k
19,VfB Stuttgart,Enzo Millot,Attacking Midfield,"1,75m",left,"Jun 30, 2028",€35.00m
20,VfB Stuttgart,Chris Führich,Left Winger,"1,81m",right,"Jun 30, 2028",€18.00m
21,VfB Stuttgart,Jacob Bruun Larsen,Left Winger,"1,83m",right,"Jun 30, 2027",€6.00m
22,VfB Stuttgart,Justin Diehl,Left Winger,"1,74m",right,"Jun 30, 2029",€3.50m
23,VfB Stuttgart,Jamie Leweling,Right Winger,"1,85m",both,"Jun 30, 2029",€20.00m
24,VfB Stuttgart,Fabian Rieder,Right Winger,"1,79m",left,"Jun 30, 2025",€7.00m
25,VfB Stuttgart,Luca Raimund,Right Winger,"1,88m",left,"Jun 30, 2026",€500k
26,VfB Stuttgart,Nick Woltemade,Second Striker,"1,98m",right,"Jun 30, 2028",€17.00m
27,VfB Stuttgart,Ermedin Demirovic,Centre-Forward,"1,85m",right,"Jun 30, 2028",€22.00m
28,VfB Stuttgart,Deniz Undav,Centre-Forward,"1,79m",both,"Jun 30, 2027",€22.00m
29,VfB Stuttgart,El Bilal Touré,Centre-Forward,"1,85m",both,"Jun 30, 2025",€17.00m
30,VfB Stuttgart,Wahid Faghir,Centre-Forward,"1,86m",right,"Jun 30, 2026",€1.00m
31,VfB Stuttgart,Thomas Kastanaras,Centre-Forward,"1,86m",,"Jun 30, 2026",€500k
