,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,VfL Bochum,Timo Horn,Goalkeeper,"1,92m",left,"Jun 30, 2026",€800k
1,VfL Bochum,Patrick Drewes,Goalkeeper,"1,94m",right,"Jun 30, 2026",€800k
2,VfL Bochum,Paul Grave,Goalkeeper,"1,93m",right,"Jun 30, 2025",€50k
3,VfL Bochum,Bernardo,Centre-Back,"1,86m",left,"Jun 30, 2025",€5.50m
4,VfL Bochum,Tim Oermann,Centre-Back,"1,89m",right,"Jun 30, 2026",€5.00m
5,VfL Bochum,Erhan Masovic,Centre-Back,"1,89m",both,"Jun 30, 2026",€3.00m
6,VfL Bochum,Jakov Medic,Centre-Back,"1,93m",right,"Jun 30, 2025",€2.00m
7,VfL Bochum,Ivan Ordets,Centre-Back,"1,95m",right,"Jun 30, 2026",€1.80m
8,VfL Bochum,Mohammed Tolba,Centre-Back,"1,85m",right,"Jun 30, 2025",€200k
9,VfL Bochum,Maximilian Wittek,Left-Back,"1,73m",left,"Jun 30, 2026",€2.00m
10,VfL Bochum,Felix Passlack,Right-Back,"1,70m",right,"Jun 30, 2025",€2.50m
11,VfL Bochum,Cristian Gamboa,Right-Back,"1,75m",right,"Jun 30, 2025",€500k
12,VfL Bochum,Ibrahima Sissoko,Defensive Midfield,"1,93m",right,"Jun 30, 2027",€6.00m
13,VfL Bochum,Anthony Losilla,Defensive Midfield,"1,85m",right,"Jun 30, 2025",€500k
14,VfL Bochum,Niklas Jahn,Defensive Midfield,"1,72m",right,"Jun 30, 2027",€200k
15,VfL Bochum,Tom Krauß,Central Midfield,"1,82m",right,"Jun 30, 2025",€4.00m
16,VfL Bochum,Matus Bero,Central Midfield,"1,81m",right,"Jun 30, 2026",€3.50m
17,VfL Bochum,Mats Pannewig,Central Midfield,"1,95m",,"Jun 30, 2026",€600k
18,VfL Bochum,Koji Miyoshi,Right Midfield,"1,67m",left,"Jun 30, 2028",€1.80m
19,VfL Bochum,Dani de Wit,Attacking Midfield,"1,84m",right,"Jun 30, 2028",€3.00m
20,VfL Bochum,Georgios Masouras,Left Winger,"1,84m",right,"Jun 30, 2025",€3.20m
21,VfL Bochum,Gerrit Holtmann,Left Winger,"1,85m",left,"Jun 30, 2025",€700k
22,VfL Bochum,Samuel Bamba,Right Winger,"1,79m",both,"Jun 30, 2027",€800k
23,VfL Bochum,Myron Boadu,Centre-Forward,"1,81m",right,"Jun 30, 2025",€7.00m
24,VfL Bochum,Moritz Broschinski,Centre-Forward,"1,90m",right,"Jun 30, 2026",€2.50m
25,VfL Bochum,Philipp Hofmann,Centre-Forward,"1,95m",left,"Jun 30, 2026",€1.50m
