,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,VfL Wolfsburg,Kamil Grabara,Goalkeeper,"1,95m",right,-,€14.00m
1,VfL Wolfsburg,Marius Müller,Goalkeeper,"1,92m",right,-,€1.50m
2,VfL Wolfsburg,Pavao Pervan,Goalkeeper,"1,94m",both,"Jun 30, 2026",€300k
3,VfL Wolfsburg,Niklas Klinger,Goalkeeper,"1,87m",right,"Jun 30, 2025",€100k
4,VfL Wolfsburg,Konstantinos Koulierakis,Centre-Back,"1,88m",left,"Jun 30, 2029",€20.00m
5,VfL Wolfsburg,Sebastiaan Bornauw,Centre-Back,"1,91m",right,"Jun 30, 2026",€7.00m
6,VfL Wolfsburg,Denis Vavro,Centre-Back,"1,89m",right,"Jun 30, 2025",€7.00m
7,VfL Wolfsburg,David Odogu,Centre-Back,"1,91m",right,-,€700k
8,VfL Wolfsburg,Mathys Angély,Centre-Back,"1,90m",left,-,€600k
9,VfL Wolfsburg,Joakim Maehle,Left-Back,"1,85m",right,"Jun 30, 2027",€14.00m
10,VfL Wolfsburg,Rogério,Left-Back,"1,78m",left,"Jun 30, 2027",€3.50m
11,VfL Wolfsburg,Mads Roerslev,Right-Back,"1,84m",right,"Jun 30, 2025",€8.00m
12,VfL Wolfsburg,Kilian Fischer,Right-Back,"1,82m",both,"Jun 30, 2027",€6.00m
13,VfL Wolfsburg,Mattias Svanberg,Central Midfield,"1,85m",right,"Jun 30, 2027",€12.00m
14,VfL Wolfsburg,Aster Vranckx,Central Midfield,"1,83m",right,"Jun 30, 2029",€9.00m
15,VfL Wolfsburg,Maximilian Arnold,Central Midfield,"1,84m",left,"Jun 30, 2026",€7.00m
16,VfL Wolfsburg,Yannick Gerhardt,Central Midfield,"1,84m",left,-,€3.00m
17,VfL Wolfsburg,Kevin Paredes,Left Midfield,"1,75m",left,"Jun 30, 2026",€7.50m
18,VfL Wolfsburg,Lovro Majer,Attacking Midfield,"1,78m",left,"Jun 30, 2028",€20.00m
19,VfL Wolfsburg,Bence Dárdai,Attacking Midfield,"1,89m",right,-,€9.00m
20,VfL Wolfsburg,Bennit Bröger,Attacking Midfield,"1,81m",,"Jun 30, 2025",€500k
21,VfL Wolfsburg,Jakub Kaminski,Left Winger,"1,79m",right,"Jun 30, 2027",€6.00m
22,VfL Wolfsburg,Andreas Skov Olsen,Right Winger,"1,87m",left,"Jun 30, 2029",€16.00m
23,VfL Wolfsburg,Patrick Wimmer,Right Winger,"1,82m",right,"Jun 30, 2027",€15.00m
24,VfL Wolfsburg,Mohamed Amoura,Centre-Forward,"1,70m",right,"Jun 30, 2025",€32.00m
25,VfL Wolfsburg,Jonas Wind,Centre-Forward,"1,90m",right,"Jun 30, 2026",€15.00m
26,VfL Wolfsburg,Tiago Tomás,Centre-Forward,"1,80m",right,"Jun 30, 2027",€12.00m
27,VfL Wolfsburg,Lukas Nmecha,Centre-Forward,"1,85m",right,"Jun 30, 2025",€3.00m
28,VfL Wolfsburg,Kevin Behrens,Centre-Forward,"1,85m",both,"Jun 30, 2025",€1.50m
29,VfL Wolfsburg,Bartosz Bialek,Centre-Forward,"1,91m",right,"Jun 30, 2025",€800k
