,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,AFC Bournemouth,Kepa Arrizabalaga,Goalkeeper,"1,88m",right,"May 31, 2025",€11.00m
1,AFC Bournemouth,Will Dennis,Goalkeeper,"1,88m",right,"Jun 30, 2028",€350k
2,AFC Bournemouth,Dean Huijsen,Centre-Back,"1,97m",both,"Jun 30, 2030",€42.00m
3,AFC Bournemouth,Ilya Zabarnyi,Centre-Back,"1,89m",right,"Jun 30, 2029",€40.00m
4,AFC Bournemouth,Marcos Senesi,Centre-Back,"1,85m",left,"Jun 30, 2026",€24.00m
5,AFC Bournemouth,James Hill,Centre-Back,"1,84m",right,"Jun 30, 2026",€2.00m
6,AFC Bournemouth,Matai Akinmboni,Centre-Back,"1,88m",left,-,€1.00m
7,AFC Bournemouth,Milos Kerkez,Left-Back,"1,80m",left,"Jun 30, 2028",€35.00m
8,AFC Bournemouth,Julio Soler,Left-Back,"1,75m",left,-,€8.00m
9,AFC Bournemouth,Julián Araujo,Right-Back,"1,76m",right,"Jun 30, 2029",€10.00m
10,AFC Bournemouth,Adam Smith,Right-Back,"1,74m",right,"Jun 30, 2026",€1.00m
11,AFC Bournemouth,Tyler Adams,Defensive Midfield,"1,75m",right,"Jun 30, 2028",€18.00m
12,AFC Bournemouth,Ryan Christie,Defensive Midfield,"1,78m",left,"Jun 30, 2027",€12.00m
13,AFC Bournemouth,Alex Scott,Central Midfield,"1,78m",right,"Jun 30, 2028",€20.00m
14,AFC Bournemouth,Lewis Cook,Central Midfield,"1,75m",right,"Jun 30, 2028",€15.00m
15,AFC Bournemouth,Antoine Semenyo,Left Midfield,"1,85m",right,"Jun 30, 2029",€35.00m
16,AFC Bournemouth,Marcus Tavernier,Left Midfield,"1,78m",left,"Jun 30, 2028",€20.00m
17,AFC Bournemouth,Justin Kluivert,Attacking Midfield,"1,72m",both,"Jun 30, 2028",€35.00m
18,AFC Bournemouth,Dango Ouattara,Left Winger,"1,77m",left,"Jun 30, 2028",€25.00m
19,AFC Bournemouth,Luis Sinisterra,Left Winger,"1,72m",right,-,€17.00m
20,AFC Bournemouth,David Brooks,Right Winger,"1,73m",left,"Jun 30, 2026",€12.00m
21,AFC Bournemouth,Evanilson,Centre-Forward,"1,83m",both,-,€35.00m
22,AFC Bournemouth,Enes Ünal,Centre-Forward,"1,87m",right,"Jun 30, 2028",€13.00m
23,AFC Bournemouth,Daniel Jebbison,Centre-Forward,"1,90m",right,"Jun 30, 2028",€4.00m
