,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Arsenal FC,David Raya,Goalkeeper,"1,83m",right,"Jun 30, 2028",€40.00m
1,Arsenal FC,Neto,Goalkeeper,"1,90m",right,"Jun 30, 2025",€2.00m
2,Arsenal FC,William Saliba,Centre-Back,"1,92m",right,"Jun 30, 2027",€80.00m
3,Arsenal FC,Gabriel Magalhães,Centre-Back,"1,90m",left,"Jun 30, 2027",€75.00m
4,Arsenal FC,Jakub Kiwior,Centre-Back,"1,89m",left,"Jun 30, 2028",€22.00m
5,Arsenal FC,Riccardo Calafiori,Left-Back,"1,88m",left,"Jun 30, 2029",€40.00m
6,Arsenal FC,Myles Lewis-Skelly,Left-Back,"1,78m",left,-,€28.00m
7,Arsenal FC,Oleksandr Zinchenko,Left-Back,"1,75m",left,"Jun 30, 2026",€22.00m
8,Arsenal FC,Kieran Tierney,Left-Back,"1,80m",left,"Jun 30, 2025",€10.00m
9,Arsenal FC,Ben White,Right-Back,"1,86m",right,"Jun 30, 2028",€50.00m
10,Arsenal FC,Jurrien Timber,Right-Back,"1,79m",right,"Jun 30, 2028",€50.00m
11,Arsenal FC,Takehiro Tomiyasu,Right-Back,"1,88m",right,"Jun 30, 2026",€25.00m
12,Arsenal FC,Thomas Partey,Defensive Midfield,"1,85m",right,"Jun 30, 2025",€15.00m
13,Arsenal FC,Jorginho,Defensive Midfield,"1,78m",right,"Jun 30, 2025",€8.00m
14,Arsenal FC,Declan Rice,Central Midfield,"1,88m",right,"Jun 30, 2028",€110.00m
15,Arsenal FC,Mikel Merino,Central Midfield,"1,89m",left,"Jun 30, 2028",€35.00m
16,Arsenal FC,Martin Ødegaard,Attacking Midfield,"1,78m",left,"Jun 30, 2028",€100.00m
17,Arsenal FC,Gabriel Martinelli,Left Winger,"1,78m",right,"Jun 30, 2027",€55.00m
18,Arsenal FC,Leandro Trossard,Left Winger,"1,72m",right,"Jun 30, 2026",€30.00m
19,Arsenal FC,Bukayo Saka,Right Winger,"1,78m",left,"Jun 30, 2027",€150.00m
20,Arsenal FC,Ethan Nwaneri,Right Winger,"1,76m",left,"Jun 30, 2030",€55.00m
21,Arsenal FC,Raheem Sterling,Right Winger,"1,70m",right,"May 31, 2025",€15.00m
22,Arsenal FC,Kai Havertz,Centre-Forward,"1,93m",left,"Jun 30, 2028",€70.00m
23,Arsenal FC,Gabriel Jesus,Centre-Forward,"1,75m",right,"Jun 30, 2027",€40.00m
