,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Aston Villa,Emiliano Martínez,Goalkeeper,"1,95m",right,"Jun 30, 2029",€25.00m
1,Aston Villa,Robin Olsen,Goalkeeper,"1,96m",right,"Jun 30, 2025",€1.50m
2,Aston Villa,Pau Torres,Centre-Back,"1,92m",left,"Jun 30, 2028",€40.00m
3,Aston Villa,Ezri Konsa,Centre-Back,"1,83m",right,"Jun 30, 2028",€35.00m
4,Aston Villa,Axel Disasi,Centre-Back,"1,91m",right,"Jun 30, 2025",€25.00m
5,Aston Villa,Tyrone Mings,Centre-Back,"1,96m",left,"Jun 30, 2026",€6.00m
6,Aston Villa,Kortney Hause,Centre-Back,"1,91m",left,"Jun 30, 2025",€2.00m
7,Aston Villa,Ian Maatsen,Left-Back,"1,78m",left,"Jun 30, 2030",€28.00m
8,Aston Villa,Lucas Digne,Left-Back,"1,78m",left,"Jun 30, 2026",€12.00m
9,Aston Villa,Matty Cash,Right-Back,"1,85m",right,"Jun 30, 2027",€28.00m
10,Aston Villa,Andrés García,Right-Back,"1,85m",right,-,€7.00m
11,Aston Villa,Amadou Onana,Defensive Midfield,"1,95m",right,"Jun 30, 2029",€55.00m
12,Aston Villa,Boubacar Kamara,Defensive Midfield,"1,84m",right,"Jun 30, 2027",€38.00m
13,Aston Villa,Lamare Bogarde,Defensive Midfield,"1,85m",right,-,€5.00m
14,Aston Villa,Youri Tielemans,Central Midfield,"1,77m",right,"Jun 30, 2027",€35.00m
15,Aston Villa,John McGinn,Central Midfield,"1,78m",left,"Jun 30, 2027",€18.00m
16,Aston Villa,Ross Barkley,Central Midfield,"1,89m",right,"Jun 30, 2026",€8.00m
17,Aston Villa,Jacob Ramsey,Left Midfield,"1,80m",right,"Jun 30, 2027",€32.00m
18,Aston Villa,Morgan Rogers,Attacking Midfield,"1,87m",right,"Jun 30, 2030",€50.00m
19,Aston Villa,Marcus Rashford,Left Winger,"1,85m",right,"Jun 30, 2025",€50.00m
20,Aston Villa,Leon Bailey,Right Winger,"1,78m",left,"Jun 30, 2027",€32.00m
21,Aston Villa,Donyell Malen,Right Winger,"1,76m",right,-,€25.00m
22,Aston Villa,Marco Asensio,Right Winger,"1,82m",left,"Jun 30, 2025",€20.00m
23,Aston Villa,Ollie Watkins,Centre-Forward,"1,80m",right,"Jun 30, 2028",€50.00m
