,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Brentford FC,Mark Flekken,Goalkeeper,"1,95m",both,"Jun 30, 2027",€10.00m
1,Brentford FC,Hákon Rafn Valdimarsson,Goalkeeper,"1,95m",right,"Jun 30, 2028",€2.50m
2,Brentford FC,Nathan Collins,Centre-Back,"1,93m",right,"Jun 30, 2029",€28.00m
3,Brentford FC,Sepp van den Berg,Centre-Back,"1,92m",right,"Jun 30, 2029",€20.00m
4,Brentford FC,Kristoffer Ajer,Centre-Back,"1,98m",right,"Jun 30, 2028",€18.00m
5,Brentford FC,Ethan Pinnock,Centre-Back,"1,94m",left,"Jun 30, 2027",€8.00m
6,Brentford FC,Ben Mee,Centre-Back,"1,80m",left,"Jun 30, 2025",€900k
7,Brentford FC,Ji-soo Kim,Centre-Back,"1,92m",both,"Jun 30, 2027",€600k
8,Brentford FC,Rico Henry,Left-Back,"1,70m",left,"Jun 30, 2026",€17.00m
9,Brentford FC,Aaron Hickey,Right-Back,"1,85m",both,"Jun 30, 2028",€18.00m
10,Brentford FC,Michael Kayode,Right-Back,"1,79m",right,"Jun 30, 2025",€18.00m
11,Brentford FC,Vitaly Janelt,Defensive Midfield,"1,84m",left,"Jun 30, 2026",€22.00m
12,Brentford FC,Christian Nørgaard,Defensive Midfield,"1,87m",right,"Jun 30, 2027",€12.00m
13,Brentford FC,Yunus Emre Konak,Defensive Midfield,"1,81m",right,"Jun 30, 2029",€4.50m
14,Brentford FC,Mathias Jensen,Central Midfield,"1,80m",right,"Jun 30, 2026",€16.00m
15,Brentford FC,Josh Dasilva,Central Midfield,"1,84m",left,"Jun 30, 2025",€7.00m
16,Brentford FC,Paris Maghoma,Central Midfield,"1,84m",right,"Jun 30, 2027",€600k
17,Brentford FC,Mikkel Damsgaard,Attacking Midfield,"1,80m",right,"Jun 30, 2030",€25.00m
18,Brentford FC,Fábio Carvalho,Attacking Midfield,"1,70m",right,"Jun 30, 2029",€15.00m
19,Brentford FC,Yegor Yarmolyuk,Attacking Midfield,"1,80m",right,"Jun 30, 2028",€12.00m
20,Brentford FC,Kevin Schade,Left Winger,"1,85m",right,"Jun 30, 2028",€27.00m
21,Brentford FC,Keane Lewis-Potter,Left Winger,"1,70m",right,"Jun 30, 2031",€23.00m
22,Brentford FC,Gustavo Nunes,Left Winger,"1,73m",right,"Jun 30, 2030",€10.00m
23,Brentford FC,Bryan Mbeumo,Right Winger,"1,71m",left,"Jun 30, 2026",€50.00m
24,Brentford FC,Yoane Wissa,Centre-Forward,"1,76m",right,"Jun 30, 2026",€30.00m
25,Brentford FC,Igor Thiago,Centre-Forward,"1,91m",right,"Jun 30, 2029",€22.00m
