,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Brighton & Hove Albion,Bart Verbruggen,Goalkeeper,"1,94m",right,"Jun 30, 2028",€25.00m
1,Brighton & Hove Albion,Carl Rushworth,Goalkeeper,"1,91m",,"Jun 30, 2027",€3.00m
2,Brighton & Hove Albion,Jason Steele,Goalkeeper,"1,88m",right,"Jun 30, 2026",€2.00m
3,Brighton & Hove Albion,Tom McGill,Goalkeeper,"1,85m",right,"Jun 30, 2025",€600k
4,Brighton & Hove Albion,Jan Paul van Hecke,Centre-Back,"1,89m",right,"Jun 30, 2027",€32.00m
5,Brighton & Hove Albion,Igor,Centre-Back,"1,88m",left,"Jun 30, 2027",€22.00m
6,Brighton & Hove Albion,Adam Webster,Centre-Back,"1,90m",right,"Jun 30, 2026",€12.00m
7,Brighton & Hove Albion,Lewis Dunk,Centre-Back,"1,92m",right,"Jun 30, 2026",€8.00m
8,Brighton & Hove Albion,Eiran Cashin,Centre-Back,"1,84m",left,"Jun 30, 2030",€8.00m
9,Brighton & Hove Albion,Ferdi Kadıoğlu,Left-Back,"1,74m",right,"Jun 30, 2028",€30.00m
10,Brighton & Hove Albion,Pervis Estupiñán,Left-Back,"1,75m",left,"Jun 30, 2027",€30.00m
11,Brighton & Hove Albion,Tariq Lamptey,Right-Back,"1,63m",right,"Jun 30, 2025",€12.00m
12,Brighton & Hove Albion,Joël Veltman,Right-Back,"1,84m",right,"Jun 30, 2025",€7.00m
13,Brighton & Hove Albion,Carlos Baleba,Defensive Midfield,"1,79m",left,"Jun 30, 2028",€35.00m
14,Brighton & Hove Albion,Mats Wieffer,Defensive Midfield,"1,88m",right,"Jun 30, 2029",€27.00m
15,Brighton & Hove Albion,Jack Hinshelwood,Central Midfield,"1,82m",right,"Jun 30, 2028",€24.00m
16,Brighton & Hove Albion,Matt O'Riley,Central Midfield,"1,89m",left,"Jun 30, 2029",€22.00m
17,Brighton & Hove Albion,Yasin Ayari,Central Midfield,"1,72m",right,"Jun 30, 2027",€17.00m
18,Brighton & Hove Albion,Diego Gómez,Central Midfield,"1,85m",right,-,€13.00m
19,Brighton & Hove Albion,James Milner,Central Midfield,"1,75m",right,"Jun 30, 2025",€1.00m
20,Brighton & Hove Albion,Kaoru Mitoma,Left Winger,"1,78m",right,"Jun 30, 2027",€45.00m
21,Brighton & Hove Albion,Simon Adingra,Left Winger,"1,75m",right,"Jun 30, 2026",€30.00m
22,Brighton & Hove Albion,Yankuba Minteh,Right Winger,"1,80m",left,"Jun 30, 2029",€30.00m
23,Brighton & Hove Albion,Brajan Gruda,Right Winger,"1,78m",left,"Jun 30, 2028",€25.00m
24,Brighton & Hove Albion,Solly March,Right Winger,"1,80m",left,"Jun 30, 2026",€8.00m
25,Brighton & Hove Albion,João Pedro,Centre-Forward,"1,82m",right,"Jun 30, 2028",€50.00m
26,Brighton & Hove Albion,Georginio Rutter,Centre-Forward,"1,82m",left,"Jun 30, 2028",€32.00m
27,Brighton & Hove Albion,Danny Welbeck,Centre-Forward,"1,85m",right,"Jun 30, 2026",€5.00m
