,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Chelsea FC,Robert Sánchez,Goalkeeper,"1,97m",right,"Jun 30, 2030",€20.00m
1,Chelsea FC,Filip Jørgensen,Goalkeeper,"1,92m",right,"Jun 30, 2031",€20.00m
2,Chelsea FC,Marcus Bettinelli,Goalkeeper,"1,93m",right,"Jun 30, 2026",€800k
3,Chelsea FC,Lucas Bergström,Goalkeeper,"2,05m",right,"Jun 30, 2025",€700k
4,Chelsea FC,Levi Colwill,Centre-Back,"1,87m",left,"Jun 30, 2029",€55.00m
5,Chelsea FC,Wesley Fofana,Centre-Back,"1,85m",right,"Jun 30, 2029",€27.00m
6,Chelsea FC,Benoît Badiashile,Centre-Back,"1,94m",left,"Jun 30, 2030",€25.00m
7,Chelsea FC,Tosin Adarabioyo,Centre-Back,"1,97m",right,"Jun 30, 2028",€20.00m
8,Chelsea FC,Trevoh Chalobah,Centre-Back,"1,92m",right,"Jun 30, 2028",€17.00m
9,Chelsea FC,Aarón Anselmino,Centre-Back,"1,86m",right,"Jun 30, 2031",€8.00m
10,Chelsea FC,Marc Cucurella,Left-Back,"1,73m",left,"Jun 30, 2028",€30.00m
11,Chelsea FC,Malo Gusto,Right-Back,"1,78m",right,"Jun 30, 2030",€35.00m
12,Chelsea FC,Reece James,Right-Back,"1,80m",right,"Jun 30, 2028",€30.00m
13,Chelsea FC,Josh Acheampong,Right-Back,"1,85m",right,"Jun 30, 2029",€5.00m
14,Chelsea FC,Moisés Caicedo,Defensive Midfield,"1,78m",right,"Jun 30, 2031",€80.00m
15,Chelsea FC,Roméo Lavia,Defensive Midfield,"1,81m",right,"Jun 30, 2030",€40.00m
16,Chelsea FC,Enzo Fernández,Central Midfield,"1,78m",right,"Jun 30, 2032",€75.00m
17,Chelsea FC,Kiernan Dewsbury-Hall,Central Midfield,"1,76m",left,"Jun 30, 2029",€22.00m
18,Chelsea FC,Mathis Amougou,Central Midfield,"1,77m",right,"Jun 30, 2033",€10.00m
19,Chelsea FC,Cole Palmer,Attacking Midfield,"1,85m",left,"Jun 30, 2033",€130.00m
20,Chelsea FC,Omari Kellyman,Attacking Midfield,"1,91m",left,"Jun 30, 2030",€1.50m
21,Chelsea FC,Mykhaylo Mudryk,Left Winger,"1,75m",right,"Jun 30, 2031",€30.00m
22,Chelsea FC,Jadon Sancho,Left Winger,"1,80m",right,"Jun 30, 2025",€30.00m
23,Chelsea FC,Tyrique George,Left Winger,"1,81m",right,"Jun 30, 2027",€3.50m
24,Chelsea FC,Pedro Neto,Right Winger,"1,74m",left,"Jun 30, 2031",€50.00m
25,Chelsea FC,Noni Madueke,Right Winger,"1,82m",left,"Jun 30, 2030",€40.00m
26,Chelsea FC,Nicolas Jackson,Centre-Forward,"1,87m",right,"Jun 30, 2033",€55.00m
27,Chelsea FC,Christopher Nkunku,Centre-Forward,"1,77m",right,"Jun 30, 2029",€45.00m
28,Chelsea FC,David Datro Fofana,Centre-Forward,"1,82m",right,"Jun 30, 2029",€8.50m
29,Chelsea FC,Marc Guiu,Centre-Forward,"1,87m",right,"Jun 30, 2029",€8.00m
