,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Crystal Palace,Dean Henderson,Goalkeeper,"1,88m",right,"Jun 30, 2028",€15.00m
1,Crystal Palace,Matt Turner,Goalkeeper,"1,91m",right,"Jun 30, 2025",€4.00m
2,Crystal Palace,Remi Matthews,Goalkeeper,"1,92m",right,"Jun 30, 2025",€500k
3,Crystal Palace,Marc Guéhi,Centre-Back,"1,82m",right,"Jun 30, 2026",€45.00m
4,Crystal Palace,Maxence Lacroix,Centre-Back,"1,90m",right,"Jun 30, 2029",€22.00m
5,Crystal Palace,Chadi Riad,Centre-Back,"1,87m",left,"Jun 30, 2029",€15.00m
6,Crystal Palace,Chris Richards,Centre-Back,"1,88m",right,"Jun 30, 2027",€12.00m
7,Crystal Palace,Tyrick Mitchell,Left-Back,"1,81m",left,"Jun 30, 2025",€25.00m
8,Crystal Palace,Ben Chilwell,Left-Back,"1,80m",left,"May 31, 2025",€18.00m
9,Crystal Palace,Daniel Muñoz,Right-Back,"1,81m",right,"Jun 30, 2028",€25.00m
10,Crystal Palace,Nathaniel Clyne,Right-Back,"1,75m",right,"Jun 30, 2025",€1.50m
11,Crystal Palace,Caleb Kporha,Right-Back,-,right,"Jun 30, 2029",€1.00m
12,Crystal Palace,Joel Ward,Right-Back,"1,86m",right,"Jun 30, 2025",€600k
13,Crystal Palace,Adam Wharton,Defensive Midfield,"1,82m",left,"Jun 30, 2029",€35.00m
14,Crystal Palace,Cheick Doucouré,Defensive Midfield,"1,80m",right,"Jun 30, 2029",€30.00m
15,Crystal Palace,Jefferson Lerma,Defensive Midfield,"1,79m",right,"Jun 30, 2026",€12.00m
16,Crystal Palace,Kaden Rodney,Defensive Midfield,-,right,-,€200k
17,Crystal Palace,Will Hughes,Central Midfield,"1,85m",left,"Jun 30, 2027",€9.00m
18,Crystal Palace,Justin Devenny,Central Midfield,"1,84m",left,"Jun 30, 2027",€3.00m
19,Crystal Palace,Eberechi Eze,Attacking Midfield,"1,78m",right,"Jun 30, 2027",€55.00m
20,Crystal Palace,Daichi Kamada,Attacking Midfield,"1,80m",right,"Jun 30, 2026",€15.00m
21,Crystal Palace,Matheus França,Attacking Midfield,"1,84m",right,"Jun 30, 2028",€10.00m
22,Crystal Palace,Ismaïla Sarr,Right Winger,"1,85m",right,"Jun 30, 2029",€22.00m
23,Crystal Palace,Romain Esse,Right Winger,"1,78m",left,"Jun 30, 2030",€12.00m
24,Crystal Palace,Malcolm Ebiowei,Right Winger,"1,85m",left,"Jun 30, 2027",€1.20m
25,Crystal Palace,Jean-Philippe Mateta,Centre-Forward,"1,92m",right,"Jun 30, 2026",€30.00m
26,Crystal Palace,Eddie Nketiah,Centre-Forward,"1,75m",right,"Jun 30, 2029",€22.00m
