,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Everton FC,Jordan Pickford,Goalkeeper,"1,85m",left,"Jun 30, 2027",€20.00m
1,Everton FC,João Virgínia,Goalkeeper,"1,92m",left,"Jun 30, 2025",€800k
2,Everton FC,Asmir Begovic,Goalkeeper,"1,99m",right,"Jun 30, 2025",€300k
3,Everton FC,Jarrad Branthwaite,Centre-Back,"1,95m",left,"Jun 30, 2027",€50.00m
4,Everton FC,James Tarkowski,Centre-Back,"1,85m",right,"Jun 30, 2026",€10.00m
5,Everton FC,Michael Keane,Centre-Back,"1,88m",right,"Jun 30, 2025",€6.00m
6,Everton FC,Vitaliy Mykolenko,Left-Back,"1,80m",left,"Jun 30, 2026",€28.00m
7,Everton FC,Nathan Patterson,Right-Back,"1,89m",right,"Jun 30, 2027",€15.00m
8,Everton FC,Jake O'Brien,Right-Back,"1,97m",right,"Jun 30, 2028",€15.00m
9,Everton FC,Ashley Young,Right-Back,"1,75m",both,"Jun 30, 2025",€500k
10,Everton FC,Séamus Coleman,Right-Back,"1,77m",right,"Jun 30, 2025",€500k
11,Everton FC,Orel Mangala,Defensive Midfield,"1,78m",right,"Jun 30, 2025",€20.00m
12,Everton FC,James Garner,Defensive Midfield,"1,82m",right,"Jun 30, 2026",€20.00m
13,Everton FC,Idrissa Gueye,Defensive Midfield,"1,74m",right,"Jun 30, 2025",€2.00m
14,Everton FC,Carlos Alcaraz,Central Midfield,"1,76m",right,"Jun 30, 2025",€14.00m
15,Everton FC,Tim Iroegbunam,Central Midfield,"1,83m",right,"Jun 30, 2027",€10.00m
16,Everton FC,Abdoulaye Doucouré,Central Midfield,"1,83m",right,"Jun 30, 2025",€8.00m
17,Everton FC,Dwight McNeil,Attacking Midfield,"1,83m",left,"Jun 30, 2027",€25.00m
18,Everton FC,Iliman Ndiaye,Left Winger,"1,80m",right,"Jun 30, 2029",€22.00m
19,Everton FC,Jesper Lindstrøm,Right Winger,"1,82m",right,"Jun 30, 2025",€20.00m
20,Everton FC,Jack Harrison,Right Winger,"1,75m",left,"May 31, 2025",€16.00m
21,Everton FC,Dominic Calvert-Lewin,Centre-Forward,"1,89m",right,"Jun 30, 2025",€20.00m
22,Everton FC,Beto,Centre-Forward,"1,94m",right,"Jun 30, 2027",€20.00m
23,Everton FC,Armando Broja,Centre-Forward,"1,91m",right,"May 31, 2025",€13.00m
24,Everton FC,Chermiti,Centre-Forward,"1,92m",right,"Jun 30, 2027",€9.00m
