,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Fulham FC,Bernd Leno,Goalkeeper,"1,90m",right,"Jun 30, 2027",€11.00m
1,Fulham FC,Steven Benda,Goalkeeper,"1,92m",right,"Jun 30, 2026",€1.00m
2,Fulham FC,Joachim Andersen,Centre-Back,"1,92m",right,"Jun 30, 2029",€32.00m
3,Fulham FC,Calvin Bassey,Centre-Back,"1,85m",left,"Jun 30, 2027",€25.00m
4,Fulham FC,Issa Diop,Centre-Back,"1,94m",right,"Jun 30, 2027",€16.00m
5,Fulham FC,Jorge Cuenca,Centre-Back,"1,90m",left,"Jun 30, 2028",€6.00m
6,Fulham FC,Antonee Robinson,Left-Back,"1,83m",left,"Jun 30, 2028",€35.00m
7,Fulham FC,Ryan Sessegnon,Left-Back,"1,78m",left,"Jun 30, 2026",€9.00m
8,Fulham FC,Kenny Tete,Right-Back,"1,80m",right,"Jun 30, 2025",€15.00m
9,Fulham FC,Timothy Castagne,Right-Back,"1,85m",right,"Jun 30, 2027",€15.00m
10,Fulham FC,Sander Berge,Defensive Midfield,"1,95m",right,"Jun 30, 2029",€25.00m
11,Fulham FC,Saša Lukić,Central Midfield,"1,82m",right,"Jun 30, 2027",€10.00m
12,Fulham FC,Harrison Reed,Central Midfield,"1,81m",right,"Jun 30, 2027",€7.00m
13,Fulham FC,Tom Cairney,Central Midfield,"1,85m",left,"Jun 30, 2025",€2.00m
14,Fulham FC,Josh King,Central Midfield,"1,73m",right,-,€1.00m
15,Fulham FC,Emile Smith Rowe,Attacking Midfield,"1,82m",right,"Jun 30, 2029",€32.00m
16,Fulham FC,Andreas Pereira,Attacking Midfield,"1,78m",right,"Jun 30, 2026",€20.00m
17,Fulham FC,Alex Iwobi,Left Winger,"1,83m",right,"Jun 30, 2028",€25.00m
18,Fulham FC,Willian,Left Winger,"1,75m",right,"Jun 30, 2025",€1.00m
19,Fulham FC,Martial Godo,Left Winger,"1,69m",right,"Jun 30, 2028",€600k
20,Fulham FC,Reiss Nelson,Right Winger,"1,75m",right,"Jun 30, 2025",€18.00m
21,Fulham FC,Harry Wilson,Right Winger,"1,73m",left,"Jun 30, 2026",€17.00m
22,Fulham FC,Adama Traoré,Right Winger,"1,78m",right,"Jun 30, 2025",€10.00m
23,Fulham FC,Rodrigo Muniz,Centre-Forward,"1,86m",right,"Jun 30, 2026",€20.00m
24,Fulham FC,Raúl Jiménez,Centre-Forward,"1,87m",right,"Jun 30, 2025",€5.00m
25,Fulham FC,Carlos Vinícius,Centre-Forward,"1,90m",left,"Jun 30, 2025",€4.00m
