,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Ipswich Town,Arijanet Muric,Goalkeeper,"1,98m",right,"Jun 30, 2028",€6.00m
1,Ipswich Town,Christian Walton,Goalkeeper,"1,95m",left,"Jun 30, 2026",€1.50m
2,Ipswich Town,Alex Palmer,Goalkeeper,"1,91m",right,"Jun 30, 2028",€1.20m
3,Ipswich Town,Cieran Slicker,Goalkeeper,-,,"Jun 30, 2028",€300k
4,Ipswich Town,Jacob Greaves,Centre-Back,"1,93m",left,"Jun 30, 2029",€20.00m
5,Ipswich Town,Dara O'Shea,Centre-Back,"1,89m",right,"Jun 30, 2029",€14.00m
6,Ipswich Town,Ben Godfrey,Centre-Back,"1,84m",right,"Jun 30, 2025",€8.00m
7,Ipswich Town,Cameron Burgess,Centre-Back,"1,94m",left,"Jun 30, 2025",€2.50m
8,Ipswich Town,Luke Woolfenden,Centre-Back,"1,93m",right,"Jun 30, 2027",€2.00m
9,Ipswich Town,Leif Davis,Left-Back,"1,82m",left,"Jun 30, 2028",€25.00m
10,Ipswich Town,Conor Townsend,Left-Back,"1,83m",left,"Jun 30, 2026",€1.20m
11,Ipswich Town,Ben Johnson,Right-Back,"1,84m",right,"Jun 30, 2028",€9.00m
12,Ipswich Town,Axel Tuanzebe,Right-Back,"1,85m",right,"Jun 30, 2025",€5.00m
13,Ipswich Town,Kalvin Phillips,Defensive Midfield,"1,79m",right,"Jun 30, 2025",€15.00m
14,Ipswich Town,Jens Cajuste,Defensive Midfield,"1,88m",right,"Jun 30, 2025",€12.00m
15,Ipswich Town,Jack Taylor,Central Midfield,"1,85m",right,"Jun 30, 2026",€3.00m
16,Ipswich Town,Sam Morsy,Central Midfield,"1,75m",right,"Jun 30, 2026",€900k
17,Ipswich Town,Massimo Luongo,Central Midfield,"1,76m",right,"Jun 30, 2025",€500k
18,Ipswich Town,Julio Enciso,Attacking Midfield,"1,73m",right,"Jun 30, 2025",€22.00m
19,Ipswich Town,Omari Hutchinson,Attacking Midfield,"1,74m",left,"Jun 30, 2029",€22.00m
20,Ipswich Town,Sammie Szmodics,Attacking Midfield,"1,68m",right,"Jun 30, 2028",€12.00m
21,Ipswich Town,Jaden Philogene,Left Winger,"1,81m",right,"Jun 30, 2029",€18.00m
22,Ipswich Town,Jack Clarke,Left Winger,"1,81m",right,"Jun 30, 2029",€15.00m
23,Ipswich Town,Nathan Broadhead,Left Winger,"1,78m",right,"Jun 30, 2026",€5.00m
24,Ipswich Town,Chiedozie Ogbene,Right Winger,"1,81m",right,"Jun 30, 2028",€8.00m
25,Ipswich Town,Wes Burns,Right Winger,"1,73m",right,"Jun 30, 2026",€2.50m
26,Ipswich Town,Conor Chaplin,Second Striker,"1,68m",left,"Jun 30, 2026",€8.00m
27,Ipswich Town,Liam Delap,Centre-Forward,"1,86m",right,"Jun 30, 2029",€35.00m
28,Ipswich Town,George Hirst,Centre-Forward,"1,91m",right,"Jun 30, 2027",€5.00m
