,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Leicester City,Mads Hermansen,Goalkeeper,"1,87m",right,"Jun 30, 2028",€15.00m
1,Leicester City,Daniel Iversen,Goalkeeper,"1,93m",right,"Jun 30, 2025",€3.00m
2,Leicester City,Danny Ward,Goalkeeper,"1,91m",right,"Jun 30, 2025",€1.50m
3,Leicester City,Jakub Stolarczyk,Goalkeeper,"1,94m",right,"Jun 30, 2026",€400k
4,Leicester City,Wout Faes,Centre-Back,"1,87m",right,"Jun 30, 2027",€20.00m
5,Leicester City,Caleb Okoli,Centre-Back,"1,91m",right,"Jun 30, 2029",€12.00m
6,Leicester City,Harry Souttar,Centre-Back,"1,98m",right,"Jun 30, 2028",€8.00m
7,Leicester City,Conor Coady,Centre-Back,"1,85m",right,"Jun 30, 2026",€3.00m
8,Leicester City,Jannik Vestergaard,Centre-Back,"1,99m",both,"Jun 30, 2027",€3.00m
9,Leicester City,Victor Kristiansen,Left-Back,"1,81m",left,"Jun 30, 2028",€16.00m
10,Leicester City,Luke Thomas,Left-Back,"1,81m",left,"Jun 30, 2026",€6.00m
11,Leicester City,James Justin,Right-Back,"1,83m",both,"Jun 30, 2026",€15.00m
12,Leicester City,Ricardo Pereira,Right-Back,"1,75m",right,"Jun 30, 2026",€5.00m
13,Leicester City,Woyo Coulibaly,Right-Back,"1,82m",both,"Jun 30, 2029",€2.00m
14,Leicester City,Wilfred Ndidi,Defensive Midfield,"1,83m",right,"Jun 30, 2027",€18.00m
15,Leicester City,Boubakary Soumaré,Defensive Midfield,"1,88m",right,"Jun 30, 2026",€14.00m
16,Leicester City,Oliver Skipp,Defensive Midfield,"1,75m",right,"Jun 30, 2029",€12.00m
17,Leicester City,Harry Winks,Defensive Midfield,"1,78m",right,"Jun 30, 2026",€10.00m
18,Leicester City,Michael Golding,Central Midfield,"1,80m",right,"Jun 30, 2028",€2.00m
19,Leicester City,Bilal El Khannouss,Attacking Midfield,"1,80m",right,"Jun 30, 2028",€30.00m
20,Leicester City,Facundo Buonanotte,Attacking Midfield,"1,74m",left,"Jun 30, 2025",€22.00m
21,Leicester City,Stephy Mavididi,Left Winger,"1,82m",right,"Jun 30, 2028",€11.00m
22,Leicester City,Issahaku Fatawu,Right Winger,"1,77m",left,"Jun 30, 2029",€13.00m
23,Leicester City,Bobby De Cordova-Reid,Right Winger,"1,70m",right,"Jun 30, 2027",€4.00m
24,Leicester City,Jordan Ayew,Right Winger,"1,82m",right,"Jun 30, 2026",€3.50m
25,Leicester City,Kasey McAteer,Right Winger,"1,77m",right,"Jun 30, 2028",€900k
26,Leicester City,Patson Daka,Centre-Forward,"1,83m",right,"Jun 30, 2026",€12.00m
27,Leicester City,Odsonne Edouard,Centre-Forward,"1,87m",right,"Jun 30, 2025",€10.00m
28,Leicester City,Jamie Vardy,Centre-Forward,"1,79m",right,"Jun 30, 2025",€1.00m
