,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Liverpool FC,Alisson,Goalkeeper,"1,93m",right,"Jun 30, 2027",€25.00m
1,Liverpool FC,Caoimhín Kelleher,Goalkeeper,"1,88m",right,"Jun 30, 2026",€22.00m
2,Liverpool FC,Vitezslav Jaros,Goalkeeper,"1,90m",right,"Jun 30, 2026",€5.00m
3,Liverpool FC,Harvey Davies,Goalkeeper,"1,90m",left,"Jun 30, 2025",€500k
4,Liverpool FC,Ibrahima Konaté,Centre-Back,"1,94m",right,"Jun 30, 2026",€60.00m
5,Liverpool FC,Virgil van Dijk,Centre-Back,"1,95m",right,"Jun 30, 2027",€28.00m
6,Liverpool FC,Joe Gomez,Centre-Back,"1,88m",right,"Jun 30, 2027",€25.00m
7,Liverpool FC,Jarell Quansah,Centre-Back,"1,90m",right,"Jun 30, 2029",€22.00m
8,Liverpool FC,Konstantinos Tsimikas,Left-Back,"1,79m",left,"Jun 30, 2027",€20.00m
9,Liverpool FC,Andrew Robertson,Left-Back,"1,78m",left,"Jun 30, 2026",€20.00m
10,Liverpool FC,Trent Alexander-Arnold,Right-Back,"1,75m",right,"Jun 30, 2025",€75.00m
11,Liverpool FC,Conor Bradley,Right-Back,"1,81m",right,"Jun 30, 2027",€25.00m
12,Liverpool FC,Ryan Gravenberch,Defensive Midfield,"1,90m",right,"Jun 30, 2028",€70.00m
13,Liverpool FC,Wataru Endo,Defensive Midfield,"1,78m",right,"Jun 30, 2027",€10.00m
14,Liverpool FC,Tyler Morton,Defensive Midfield,"1,85m",right,-,€8.00m
15,Liverpool FC,Alexis Mac Allister,Central Midfield,"1,76m",right,"Jun 30, 2028",€90.00m
16,Liverpool FC,Dominik Szoboszlai,Central Midfield,"1,87m",right,"Jun 30, 2028",€80.00m
17,Liverpool FC,Curtis Jones,Central Midfield,"1,85m",right,"Jun 30, 2027",€50.00m
18,Liverpool FC,Harvey Elliott,Central Midfield,"1,70m",left,"Jun 30, 2027",€35.00m
19,Liverpool FC,Luis Díaz,Left Winger,"1,80m",right,"Jun 30, 2027",€85.00m
20,Liverpool FC,Cody Gakpo,Left Winger,"1,93m",right,"Jun 30, 2028",€70.00m
21,Liverpool FC,Mohamed Salah,Right Winger,"1,75m",left,"Jun 30, 2027",€55.00m
22,Liverpool FC,Federico Chiesa,Right Winger,"1,75m",right,"Jun 30, 2028",€18.00m
23,Liverpool FC,Darwin Núñez,Centre-Forward,"1,87m",right,"Jun 30, 2028",€50.00m
24,Liverpool FC,Diogo Jota,Centre-Forward,"1,78m",right,"Jun 30, 2027",€45.00m
