,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Manchester City,Ederson,Goalkeeper,"1,88m",left,"Jun 30, 2026",€25.00m
1,Manchester City,Stefan Ortega,Goalkeeper,"1,85m",right,"Jun 30, 2026",€9.00m
2,Manchester City,Scott Carson,Goalkeeper,"1,88m",right,"Jun 30, 2025",€200k
3,Manchester City,Rúben Dias,Centre-Back,"1,87m",right,"Jun 30, 2027",€70.00m
4,Manchester City,Abdukodir Khusanov,Centre-Back,"1,86m",right,"Jun 30, 2029",€35.00m
5,Manchester City,Nathan Aké,Centre-Back,"1,80m",left,"Jun 30, 2027",€32.00m
6,Manchester City,Manuel Akanji,Centre-Back,"1,88m",right,"Jun 30, 2027",€32.00m
7,Manchester City,John Stones,Centre-Back,"1,88m",right,"Jun 30, 2026",€30.00m
8,Manchester City,Vitor Reis,Centre-Back,"1,86m",right,"Jun 30, 2029",€30.00m
9,Manchester City,Josko Gvardiol,Left-Back,"1,85m",left,"Jun 30, 2028",€75.00m
10,Manchester City,Rico Lewis,Right-Back,"1,70m",right,"Jun 30, 2028",€40.00m
11,Manchester City,Rodri,Defensive Midfield,"1,91m",right,"Jun 30, 2027",€130.00m
12,Manchester City,Nico González,Central Midfield,"1,88m",right,"Jun 30, 2029",€40.00m
13,Manchester City,Matheus Nunes,Central Midfield,"1,83m",right,"Jun 30, 2028",€35.00m
14,Manchester City,Mateo Kovacic,Central Midfield,"1,77m",right,"Jun 30, 2027",€25.00m
15,Manchester City,İlkay Gündoğan,Central Midfield,"1,80m",right,"Jun 30, 2026",€7.00m
16,Manchester City,Bernardo Silva,Attacking Midfield,"1,73m",left,"Jun 30, 2026",€45.00m
17,Manchester City,Kevin De Bruyne,Attacking Midfield,"1,81m",right,"Jun 30, 2025",€27.00m
18,Manchester City,Claudio Echeverri,Attacking Midfield,"1,70m",right,"Jun 30, 2028",€18.00m
19,Manchester City,James McAtee,Attacking Midfield,"1,80m",left,"Jun 30, 2026",€18.00m
20,Manchester City,Nico O'Reilly,Attacking Midfield,"1,93m",left,"Jun 30, 2028",€7.00m
21,Manchester City,Jérémy Doku,Left Winger,"1,73m",right,"Jun 30, 2028",€55.00m
22,Manchester City,Jack Grealish,Left Winger,"1,80m",right,"Jun 30, 2027",€35.00m
23,Manchester City,Phil Foden,Right Winger,"1,71m",left,"Jun 30, 2027",€130.00m
24,Manchester City,Savinho,Right Winger,"1,76m",left,"Jun 30, 2029",€55.00m
25,Manchester City,Oscar Bobb,Right Winger,"1,75m",left,"Jun 30, 2029",€25.00m
26,Manchester City,Erling Haaland,Centre-Forward,"1,95m",left,"Jun 30, 2034",€200.00m
27,Manchester City,Omar Marmoush,Centre-Forward,"1,83m",right,"Jun 30, 2029",€75.00m
