,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Manchester United,André Onana,Goalkeeper,"1,90m",right,"Jun 30, 2028",€32.00m
1,Manchester United,Altay Bayındır,Goalkeeper,"1,98m",right,"Jun 30, 2027",€10.00m
2,Manchester United,Tom Heaton,Goalkeeper,"1,88m",right,"Jun 30, 2025",€250k
3,Manchester United,Leny Yoro,Centre-Back,"1,90m",right,"Jun 30, 2029",€55.00m
4,Manchester United,Lisandro Martínez,Centre-Back,"1,75m",left,"Jun 30, 2027",€45.00m
5,Manchester United,Matthijs de Ligt,Centre-Back,"1,89m",right,"Jun 30, 2029",€40.00m
6,Manchester United,Harry Maguire,Centre-Back,"1,94m",right,"Jun 30, 2026",€15.00m
7,Manchester United,Victor Lindelöf,Centre-Back,"1,87m",right,"Jun 30, 2025",€10.00m
8,Manchester United,Ayden Heaven,Centre-Back,"1,89m",left,"Jun 30, 2029",€1.50m
9,Manchester United,Jonny Evans,Centre-Back,"1,88m",both,"Jun 30, 2025",€1.50m
10,Manchester United,Patrick Dorgu,Left-Back,"1,85m",left,"Jun 30, 2030",€25.00m
11,Manchester United,Luke Shaw,Left-Back,"1,78m",left,"Jun 30, 2027",€16.00m
12,Manchester United,Diogo Dalot,Right-Back,"1,83m",right,"Jun 30, 2028",€35.00m
13,Manchester United,Noussair Mazraoui,Right-Back,"1,83m",right,"Jun 30, 2028",€32.00m
14,Manchester United,Manuel Ugarte,Defensive Midfield,"1,82m",right,"Jun 30, 2029",€50.00m
15,Manchester United,Casemiro,Defensive Midfield,"1,85m",right,"Jun 30, 2026",€12.00m
16,Manchester United,Toby Collyer,Defensive Midfield,"1,80m",right,"Jun 30, 2027",€5.00m
17,Manchester United,Kobbie Mainoo,Central Midfield,"1,80m",right,"Jun 30, 2027",€55.00m
18,Manchester United,Christian Eriksen,Central Midfield,"1,82m",right,"Jun 30, 2025",€6.00m
19,Manchester United,Bruno Fernandes,Attacking Midfield,"1,79m",right,"Jun 30, 2027",€55.00m
20,Manchester United,Alejandro Garnacho,Attacking Midfield,"1,80m",right,"Jun 30, 2028",€45.00m
21,Manchester United,Mason Mount,Attacking Midfield,"1,81m",right,"Jun 30, 2028",€28.00m
22,Manchester United,Amad Diallo,Right Winger,"1,73m",left,"Jun 30, 2030",€40.00m
23,Manchester United,Rasmus Højlund,Centre-Forward,"1,91m",left,"Jun 30, 2028",€45.00m
24,Manchester United,Joshua Zirkzee,Centre-Forward,"1,93m",right,"Jun 30, 2029",€35.00m
25,Manchester United,Chido Obi-Martin,Centre-Forward,"1,88m",right,-,€5.00m
