,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Newcastle United,Nick Pope,Goalkeeper,"1,98m",right,"Jun 30, 2026",€10.00m
1,Newcastle United,Odysseas Vlachodimos,Goalkeeper,"1,91m",right,-,€7.00m
2,Newcastle United,Martin Dúbravka,Goalkeeper,"1,91m",right,"Jun 30, 2026",€1.00m
3,Newcastle United,Mark Gillespie,Goalkeeper,"1,91m",right,"Jun 30, 2025",€300k
4,Newcastle United,John Ruddy,Goalkeeper,"1,92m",right,"Jun 30, 2025",€200k
5,Newcastle United,Sven Botman,Centre-Back,"1,93m",left,"Jun 30, 2027",€45.00m
6,Newcastle United,Fabian Schär,Centre-Back,"1,86m",right,"Jun 30, 2026",€9.00m
7,Newcastle United,Dan Burn,Centre-Back,"2,01m",left,"Jun 30, 2026",€7.00m
8,Newcastle United,Jamaal Lascelles,Centre-Back,"1,88m",right,"Jun 30, 2025",€6.00m
9,Newcastle United,Lewis Hall,Left-Back,"1,79m",left,-,€30.00m
10,Newcastle United,Matt Targett,Left-Back,"1,83m",left,"Jun 30, 2026",€8.00m
11,Newcastle United,Jamal Lewis,Left-Back,"1,78m",left,"Jun 30, 2025",€3.00m
12,Newcastle United,Tino Livramento,Right-Back,"1,82m",right,"Jun 30, 2028",€35.00m
13,Newcastle United,Kieran Trippier,Right-Back,"1,73m",right,"Jun 30, 2026",€5.00m
14,Newcastle United,Emil Krafth,Right-Back,"1,84m",right,"Jun 30, 2026",€2.50m
15,Newcastle United,Bruno Guimarães,Defensive Midfield,"1,82m",right,"Jun 30, 2028",€80.00m
16,Newcastle United,Sandro Tonali,Central Midfield,"1,81m",right,"Jun 30, 2028",€45.00m
17,Newcastle United,Joelinton,Central Midfield,"1,86m",right,"Jun 30, 2028",€40.00m
18,Newcastle United,Joe Willock,Central Midfield,"1,86m",right,"Jun 30, 2027",€28.00m
19,Newcastle United,Sean Longstaff,Central Midfield,"1,87m",right,"Jun 30, 2026",€22.00m
20,Newcastle United,Lewis Miley,Central Midfield,"1,89m",right,"Jun 30, 2029",€22.00m
21,Newcastle United,Anthony Gordon,Left Winger,"1,83m",right,-,€65.00m
22,Newcastle United,Harvey Barnes,Left Winger,"1,82m",right,"Jun 30, 2028",€30.00m
23,Newcastle United,Jacob Murphy,Right Winger,"1,79m",right,"Jun 30, 2027",€16.00m
24,Newcastle United,Alexander Isak,Centre-Forward,"1,92m",right,"Jun 30, 2028",€100.00m
25,Newcastle United,Callum Wilson,Centre-Forward,"1,80m",right,"Jun 30, 2025",€11.00m
26,Newcastle United,William Osula,Centre-Forward,"1,91m",right,"Jun 30, 2029",€7.00m
