,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Nottingham Forest,Matz Sels,Goalkeeper,"1,88m",right,"Jun 30, 2027",€7.00m
1,Nottingham Forest,Carlos Miguel,Goalkeeper,"2,04m",left,"Jun 30, 2028",€4.00m
2,Nottingham Forest,Wayne Hennessey,Goalkeeper,"1,98m",right,"Jun 30, 2025",€175k
3,Nottingham Forest,Murillo,Centre-Back,"1,80m",left,"Jun 30, 2029",€55.00m
4,Nottingham Forest,Nikola Milenković,Centre-Back,"1,95m",right,"Jun 30, 2029",€28.00m
5,Nottingham Forest,Morato,Centre-Back,"1,92m",left,"Jun 30, 2029",€15.00m
6,Nottingham Forest,Willy Boly,Centre-Back,"1,95m",right,"Jun 30, 2025",€2.00m
7,Nottingham Forest,Álex Moreno,Left-Back,"1,79m",left,"May 31, 2025",€11.00m
8,Nottingham Forest,Harry Toffolo,Left-Back,"1,83m",left,"Jun 30, 2025",€4.00m
9,Nottingham Forest,Neco Williams,Right-Back,"1,83m",right,"Jun 30, 2026",€20.00m
10,Nottingham Forest,Ola Aina,Right-Back,"1,84m",right,"Jun 30, 2025",€20.00m
11,Nottingham Forest,Ibrahim Sangaré,Defensive Midfield,"1,91m",right,"Jun 30, 2028",€28.00m
12,Nottingham Forest,Danilo,Defensive Midfield,"1,77m",left,"Jun 30, 2029",€28.00m
13,Nottingham Forest,Elliot Anderson,Central Midfield,"1,79m",right,"Jun 30, 2029",€30.00m
14,Nottingham Forest,Nicolás Domínguez,Central Midfield,"1,79m",right,"Jun 30, 2028",€17.00m
15,Nottingham Forest,Ryan Yates,Central Midfield,"1,90m",right,"Jun 30, 2028",€13.00m
16,Nottingham Forest,Eric da Silva Moreira,Right Midfield,"1,85m",right,"Jun 30, 2028",€1.00m
17,Nottingham Forest,Morgan Gibbs-White,Attacking Midfield,"1,71m",right,"Jun 30, 2027",€50.00m
18,Nottingham Forest,Callum Hudson-Odoi,Left Winger,"1,78m",right,"Jun 30, 2026",€24.00m
19,Nottingham Forest,Ramón Sosa,Left Winger,"1,79m",right,"Jun 30, 2029",€13.00m
20,Nottingham Forest,Anthony Elanga,Right Winger,"1,78m",right,"Jun 30, 2028",€35.00m
21,Nottingham Forest,Jota Silva,Right Winger,"1,79m",right,"Jun 30, 2028",€14.00m
22,Nottingham Forest,Taiwo Awoniyi,Centre-Forward,"1,83m",right,"Jun 30, 2027",€18.00m
23,Nottingham Forest,Chris Wood,Centre-Forward,"1,91m",right,"Jun 30, 2027",€10.00m
