,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Southampton FC,Aaron Ramsdale,Goalkeeper,"1,90m",right,"Jun 30, 2028",€16.00m
1,Southampton FC,Gavin Bazunu,Goalkeeper,"1,88m",right,"Jun 30, 2027",€11.00m
2,Southampton FC,Joe Lumley,Goalkeeper,"1,90m",right,"Jun 30, 2025",€600k
3,Southampton FC,Alex McCarthy,Goalkeeper,"1,93m",right,"Jun 30, 2026",€500k
4,Southampton FC,Taylor Harwood-Bellis,Centre-Back,"1,88m",right,"Jun 30, 2028",€25.00m
5,Southampton FC,Armel Bella-Kotchap,Centre-Back,"1,90m",right,"Jun 30, 2026",€12.00m
6,Southampton FC,Jan Bednarek,Centre-Back,"1,89m",right,"Jun 30, 2027",€11.00m
7,Southampton FC,Nathan Wood,Centre-Back,"1,88m",right,"Jun 30, 2028",€3.80m
8,Southampton FC,Jack Stephens,Centre-Back,"1,85m",right,"Jun 30, 2025",€2.00m
9,Southampton FC,Joachim Kayi Sanda,Centre-Back,"1,86m",right,"Jun 30, 2029",€1.50m
10,Southampton FC,Juan Larios,Left-Back,"1,70m",left,"Jun 30, 2027",€4.50m
11,Southampton FC,Ryan Manning,Left-Back,"1,73m",left,"Jun 30, 2027",€3.50m
12,Southampton FC,Welington,Left-Back,"1,70m",left,-,€3.50m
13,Southampton FC,Charlie Taylor,Left-Back,"1,83m",left,"Jun 30, 2026",€2.80m
14,Southampton FC,Kyle Walker-Peters,Right-Back,"1,73m",right,"Jun 30, 2025",€18.00m
15,Southampton FC,Yukinari Sugawara,Right-Back,"1,79m",right,"Jun 30, 2028",€12.00m
16,Southampton FC,James Bree,Right-Back,"1,78m",right,"Jun 30, 2026",€2.50m
17,Southampton FC,Lesley Ugochukwu,Defensive Midfield,"1,90m",right,"May 31, 2025",€20.00m
18,Southampton FC,Flynn Downes,Defensive Midfield,"1,78m",right,"Jun 30, 2028",€15.00m
19,Southampton FC,Mateus Fernandes,Central Midfield,"1,78m",right,"Jun 30, 2029",€15.00m
20,Southampton FC,Will Smallbone,Central Midfield,"1,83m",right,"Jun 30, 2026",€7.00m
21,Southampton FC,Joe Aribo,Central Midfield,"1,83m",left,"Jun 30, 2026",€6.00m
22,Southampton FC,Albert Grønbæk,Attacking Midfield,"1,81m",right,"Jun 30, 2025",€12.00m
23,Southampton FC,Adam Lallana,Attacking Midfield,"1,72m",both,"Jun 30, 2025",€900k
24,Southampton FC,Kamaldeen Sulemana,Left Winger,"1,75m",right,"Jun 30, 2027",€13.00m
25,Southampton FC,Ryan Fraser,Left Winger,"1,63m",right,"Jun 30, 2026",€3.00m
26,Southampton FC,Tyler Dibling,Right Winger,"1,78m",left,"Jun 30, 2027",€25.00m
27,Southampton FC,Cameron Archer,Centre-Forward,"1,75m",right,"Jun 30, 2028",€14.00m
28,Southampton FC,Paul Onuachu,Centre-Forward,"2,01m",right,"Jun 30, 2026",€8.00m
29,Southampton FC,Ross Stewart,Centre-Forward,"1,88m",right,"Jun 30, 2026",€4.50m
