,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Tottenham Hotspur,Guglielmo Vicario,Goalkeeper,"1,94m",right,"Jun 30, 2028",€35.00m
1,Tottenham Hotspur,Antonín Kinský,Goalkeeper,"1,90m",right,"Jun 30, 2031",€15.00m
2,Tottenham Hotspur,Fraser Forster,Goalkeeper,"2,01m",right,"Jun 30, 2025",€1.20m
3,Tottenham Hotspur,Brandon Austin,Goalkeeper,"1,88m",right,"Jun 30, 2029",€600k
4,Tottenham Hotspur,Alfie Whiteman,Goalkeeper,"1,88m",right,"Jun 30, 2025",€500k
5,Tottenham Hotspur,Cristian Romero,Centre-Back,"1,85m",right,"Jun 30, 2027",€55.00m
6,Tottenham Hotspur,Micky van de Ven,Centre-Back,"1,93m",left,"Jun 30, 2029",€55.00m
7,Tottenham Hotspur,Kevin Danso,Centre-Back,"1,90m",right,"Jun 30, 2025",€25.00m
8,Tottenham Hotspur,Radu Drăgușin,Centre-Back,"1,91m",right,"Jun 30, 2030",€25.00m
9,Tottenham Hotspur,Ben Davies,Centre-Back,"1,81m",left,"Jun 30, 2025",€8.00m
10,Tottenham Hotspur,Destiny Udogie,Left-Back,"1,88m",left,"Jun 30, 2030",€45.00m
11,Tottenham Hotspur,Sergio Reguilón,Left-Back,"1,78m",left,"Jun 30, 2025",€8.00m
12,Tottenham Hotspur,Pedro Porro,Right-Back,"1,73m",right,"Jun 30, 2028",€45.00m
13,Tottenham Hotspur,Archie Gray,Right-Back,"1,87m",right,"Jun 30, 2030",€35.00m
14,Tottenham Hotspur,Djed Spence,Right-Back,"1,84m",right,"Jun 30, 2028",€15.00m
15,Tottenham Hotspur,Rodrigo Bentancur,Defensive Midfield,"1,87m",right,"Jun 30, 2026",€30.00m
16,Tottenham Hotspur,Yves Bissouma,Defensive Midfield,"1,82m",right,"Jun 30, 2026",€28.00m
17,Tottenham Hotspur,Pape Matar Sarr,Central Midfield,"1,84m",right,"Jun 30, 2030",€40.00m
18,Tottenham Hotspur,Lucas Bergvall,Central Midfield,"1,87m",right,"Jun 30, 2031",€25.00m
19,Tottenham Hotspur,Dejan Kulusevski,Attacking Midfield,"1,86m",left,"Jun 30, 2028",€60.00m
20,Tottenham Hotspur,James Maddison,Attacking Midfield,"1,75m",right,"Jun 30, 2028",€50.00m
21,Tottenham Hotspur,Heung-min Son,Left Winger,"1,84m",both,"Jun 30, 2026",€30.00m
22,Tottenham Hotspur,Wilson Odobert,Left Winger,"1,82m",right,"Jun 30, 2029",€18.00m
23,Tottenham Hotspur,Mikey Moore,Left Winger,"1,80m",right,"Jun 30, 2027",€15.00m
24,Tottenham Hotspur,Timo Werner,Left Winger,"1,80m",right,"Jun 30, 2025",€10.00m
25,Tottenham Hotspur,Brennan Johnson,Right Winger,"1,86m",right,"Jun 30, 2028",€50.00m
26,Tottenham Hotspur,Dominic Solanke,Centre-Forward,"1,86m",right,"Jun 30, 2030",€45.00m
27,Tottenham Hotspur,Mathys Tel,Centre-Forward,"1,83m",right,"Jun 30, 2025",€40.00m
28,Tottenham Hotspur,Richarlison,Centre-Forward,"1,84m",right,"Jun 30, 2027",€25.00m
29,Tottenham Hotspur,Dane Scarlett,Centre-Forward,"1,80m",right,"Jun 30, 2027",€1.80m
