,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,West Ham United,Alphonse Areola,Goalkeeper,"1,95m",right,"Jun 30, 2027",€10.00m
1,West Ham United,Wes Foderingham,Goalkeeper,"1,85m",left,"Jun 30, 2026",€900k
2,West Ham United,Lukasz Fabianski,Goalkeeper,"1,90m",right,"Jun 30, 2025",€700k
3,West Ham United,Maximilian Kilman,Centre-Back,"1,94m",left,"Jun 30, 2031",€30.00m
4,West Ham United,Jean-Clair Todibo,Centre-Back,"1,90m",right,"Jun 30, 2025",€28.00m
5,West Ham United,Konstantinos Mavropanos,Centre-Back,"1,94m",right,"Jun 30, 2028",€17.00m
6,West Ham United,Kaelan Casey,Centre-Back,"1,85m",right,"Jun 30, 2027",€1.00m
7,West Ham United,Emerson,Left-Back,"1,76m",left,"Jun 30, 2026",€12.00m
8,West Ham United,Oliver Scarles,Left-Back,"1,80m",left,"Jun 30, 2028",€4.00m
9,West Ham United,Aaron Cresswell,Left-Back,"1,70m",left,"Jun 30, 2025",€700k
10,West Ham United,Aaron Wan-Bissaka,Right-Back,"1,83m",right,"Jun 30, 2031",€22.00m
11,West Ham United,Vladimír Coufal,Right-Back,"1,74m",right,"Jun 30, 2025",€7.00m
12,West Ham United,Edson Álvarez,Defensive Midfield,"1,90m",right,"Jun 30, 2028",€30.00m
13,West Ham United,Tomas Soucek,Defensive Midfield,"1,92m",right,"Jun 30, 2027",€22.00m
14,West Ham United,Guido Rodríguez,Defensive Midfield,"1,85m",right,"Jun 30, 2027",€12.00m
15,West Ham United,Carlos Soler,Central Midfield,"1,80m",right,"Jun 30, 2025",€20.00m
16,West Ham United,James Ward-Prowse,Central Midfield,"1,77m",right,"Jun 30, 2027",€10.00m
17,West Ham United,Andrew Irving,Central Midfield,"1,90m",left,"Jun 30, 2026",€5.00m
18,West Ham United,Lucas Paquetá,Attacking Midfield,"1,80m",left,"Jun 30, 2027",€35.00m
19,West Ham United,Crysencio Summerville,Left Winger,"1,74m",right,"Jun 30, 2029",€22.00m
20,West Ham United,Mohammed Kudus,Right Winger,"1,77m",left,"Jun 30, 2028",€50.00m
21,West Ham United,Jarrod Bowen,Right Winger,"1,76m",left,"Jun 30, 2030",€45.00m
22,West Ham United,Luis Guilherme,Right Winger,"1,75m",left,"Jun 30, 2029",€18.00m
23,West Ham United,Evan Ferguson,Centre-Forward,"1,88m",right,"Jun 30, 2025",€32.00m
24,West Ham United,Niclas Füllkrug,Centre-Forward,"1,89m",right,"Jun 30, 2028",€12.00m
25,West Ham United,Danny Ings,Centre-Forward,"1,77m",right,"Jun 30, 2025",€7.00m
26,West Ham United,Michail Antonio,Centre-Forward,"1,80m",right,"Jun 30, 2025",€1.00m
