,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Wolverhampton Wanderers,José Sá,Goalkeeper,"1,92m",right,"Jun 30, 2027",€8.00m
1,Wolverhampton Wanderers,Sam Johnstone,Goalkeeper,"1,93m",right,"Jun 30, 2028",€8.00m
2,Wolverhampton Wanderers,Daniel Bentley,Goalkeeper,"1,93m",,"Jun 30, 2027",€2.00m
3,Wolverhampton Wanderers,Tom King,Goalkeeper,"1,94m",right,"Jun 30, 2027",€200k
4,Wolverhampton Wanderers,Toti,Centre-Back,"1,87m",left,"Jun 30, 2029",€25.00m
5,Wolverhampton Wanderers,Emmanuel Agbadou,Centre-Back,"1,92m",right,"Jun 30, 2029",€17.00m
6,Wolverhampton Wanderers,Nasser Djiga,Centre-Back,"1,92m",right,"Jun 30, 2030",€10.00m
7,Wolverhampton Wanderers,Santiago Bueno,Centre-Back,"1,90m",right,"Jun 30, 2028",€8.00m
8,Wolverhampton Wanderers,Yerson Mosquera,Centre-Back,"1,88m",right,"Jun 30, 2030",€8.00m
9,Wolverhampton Wanderers,Bastien Meupiyou,Centre-Back,"1,91m",left,"Jun 30, 2029",€2.50m
10,Wolverhampton Wanderers,Craig Dawson,Centre-Back,"1,88m",right,"Jun 30, 2025",€2.00m
11,Wolverhampton Wanderers,Rayan Aït-Nouri,Left-Back,"1,80m",left,"Jun 30, 2026",€35.00m
12,Wolverhampton Wanderers,Nélson Semedo,Right-Back,"1,77m",right,"Jun 30, 2025",€10.00m
13,Wolverhampton Wanderers,Pedro Lima,Right-Back,"1,74m",right,"Jun 30, 2029",€5.00m
14,Wolverhampton Wanderers,Matt Doherty,Right-Back,"1,85m",right,"Jun 30, 2026",€2.50m
15,Wolverhampton Wanderers,André,Defensive Midfield,"1,76m",right,"Jun 30, 2029",€25.00m
16,Wolverhampton Wanderers,Boubacar Traoré,Defensive Midfield,"1,83m",right,"Jun 30, 2027",€6.00m
17,Wolverhampton Wanderers,João Gomes,Central Midfield,"1,76m",right,"Jun 30, 2030",€40.00m
18,Wolverhampton Wanderers,Jean-Ricner Bellegarde,Central Midfield,"1,72m",right,"Jun 30, 2028",€18.00m
19,Wolverhampton Wanderers,Marshall Munetsi,Central Midfield,"1,88m",right,"Jun 30, 2028",€15.00m
20,Wolverhampton Wanderers,Tommy Doyle,Central Midfield,"1,72m",right,"Jun 30, 2028",€10.00m
21,Wolverhampton Wanderers,Rodrigo Gomes,Right Midfield,"1,75m",right,"Jun 30, 2029",€15.00m
22,Wolverhampton Wanderers,Gonçalo Guedes,Left Winger,"1,79m",right,"Jun 30, 2027",€13.00m
23,Wolverhampton Wanderers,Carlos Forbs,Left Winger,"1,69m",left,"Jun 30, 2025",€8.00m
24,Wolverhampton Wanderers,Enso González,Left Winger,"1,69m",left,"Jun 30, 2029",€4.00m
25,Wolverhampton Wanderers,Pablo Sarabia,Right Winger,"1,74m",left,"Jun 30, 2025",€7.00m
26,Wolverhampton Wanderers,Matheus Cunha,Centre-Forward,"1,83m",right,"Jun 30, 2029",€55.00m
27,Wolverhampton Wanderers,Jørgen Strand Larsen,Centre-Forward,"1,93m",right,"Jun 30, 2025",€27.00m
28,Wolverhampton Wanderers,Hee-chan Hwang,Centre-Forward,"1,77m",right,"Jun 30, 2028",€17.00m
29,Wolverhampton Wanderers,Sasa Kalajdzic,Centre-Forward,"2,00m",right,"Jun 30, 2027",€5.00m
30,Wolverhampton Wanderers,Nathan Fraser,Centre-Forward,"1,88m",right,"Jun 30, 2028",€600k
