,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Atlético de Madrid,Jan Oblak,Goalkeeper,"1,88m",right,"Jun 30, 2028",€25.00m
1,Atlético de Madrid,Juan Musso,Goalkeeper,"1,91m",right,"Jun 30, 2025",€4.00m
2,Atlético de Madrid,Robin Le Normand,Centre-Back,"1,87m",right,"Jun 30, 2029",€40.00m
3,Atlético de Madrid,José María Giménez,Centre-Back,"1,85m",right,"Jun 30, 2028",€20.00m
4,Atlético de Madrid,Clément Lenglet,Centre-Back,"1,86m",left,"Jun 30, 2025",€7.50m
5,Atlético de Madrid,Axel Witsel,Centre-Back,"1,86m",right,"Jun 30, 2025",€2.50m
6,Atlético de Madrid,César Azpilicueta,Centre-Back,"1,78m",right,"Jun 30, 2025",€1.80m
7,Atlético de Madrid,Reinildo Mandava,Left-Back,"1,80m",left,"Jun 30, 2025",€8.00m
8,Atlético de Madrid,Javi Galán,Left-Back,"1,72m",left,"Jun 30, 2026",€4.00m
9,Atlético de Madrid,Nahuel Molina,Right-Back,"1,75m",right,"Jun 30, 2027",€25.00m
10,Atlético de Madrid,Pablo Barrios,Central Midfield,"1,81m",right,"Jun 30, 2028",€50.00m
11,Atlético de Madrid,Conor Gallagher,Central Midfield,"1,82m",right,"Jun 30, 2029",€40.00m
12,Atlético de Madrid,Rodrigo De Paul,Central Midfield,"1,80m",right,"Jun 30, 2026",€25.00m
13,Atlético de Madrid,Koke,Central Midfield,"1,76m",right,"Jun 30, 2025",€10.00m
14,Atlético de Madrid,Marcos Llorente,Right Midfield,"1,84m",right,"Jun 30, 2027",€28.00m
15,Atlético de Madrid,Thomas Lemar,Attacking Midfield,"1,71m",left,"Jun 30, 2027",€5.00m
16,Atlético de Madrid,Samuel Lino,Left Winger,"1,77m",right,"Jun 30, 2027",€25.00m
17,Atlético de Madrid,Rodrigo Riquelme,Left Winger,"1,74m",right,"Jun 30, 2028",€18.00m
18,Atlético de Madrid,Giuliano Simeone,Right Winger,"1,73m",right,"Jun 30, 2028",€25.00m
19,Atlético de Madrid,Ángel Correa,Right Winger,"1,71m",right,"Jun 30, 2026",€15.00m
20,Atlético de Madrid,Julián Alvarez,Centre-Forward,"1,70m",right,"Jun 30, 2030",€90.00m
21,Atlético de Madrid,Alexander Sørloth,Centre-Forward,"1,95m",left,"Jun 30, 2028",€25.00m
22,Atlético de Madrid,Antoine Griezmann,Centre-Forward,"1,76m",left,"Jun 30, 2026",€22.00m
