,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,CA Osasuna,Sergio Herrera,Goalkeeper,"1,92m",right,"Jun 30, 2026",€4.00m
1,CA Osasuna,Aitor Fernández,Goalkeeper,"1,82m",right,"Jun 30, 2027",€1.50m
2,CA Osasuna,Enzo Boyomo,Centre-Back,"1,84m",right,"May 30, 2029",€20.00m
3,CA Osasuna,Jorge Herrando,Centre-Back,"1,92m",left,"Jun 30, 2027",€4.00m
4,CA Osasuna,Alejandro Catena,Centre-Back,"1,94m",right,"Jun 30, 2028",€4.00m
5,CA Osasuna,Unai García,Centre-Back,"1,86m",right,"Jun 30, 2025",€1.00m
6,CA Osasuna,Abel Bretones,Left-Back,"1,88m",left,"Jun 30, 2029",€3.00m
7,CA Osasuna,Juan Cruz,Left-Back,"1,82m",left,"Jun 30, 2026",€1.80m
8,CA Osasuna,Jesús Areso,Right-Back,"1,82m",right,"Jun 30, 2026",€8.00m
9,CA Osasuna,Rubén Peña,Right-Back,"1,70m",right,"Jun 30, 2025",€1.80m
10,CA Osasuna,Lucas Torró,Defensive Midfield,"1,90m",right,"Jun 30, 2027",€3.50m
11,CA Osasuna,Iker Muñoz,Defensive Midfield,"1,80m",right,"Jun 30, 2027",€3.00m
12,CA Osasuna,Jon Moncayola,Central Midfield,"1,82m",right,"Jun 30, 2031",€7.00m
13,CA Osasuna,Pablo Ibáñez,Central Midfield,"1,79m",right,"Jun 30, 2025",€2.30m
14,CA Osasuna,Aimar Oroz,Attacking Midfield,"1,77m",right,"Jun 30, 2029",€15.00m
15,CA Osasuna,Bryan Zaragoza,Left Winger,"1,64m",right,"Jun 30, 2025",€12.00m
16,CA Osasuna,Moi Gómez,Left Winger,"1,76m",right,"Jun 30, 2027",€3.00m
17,CA Osasuna,José Manuel Arnáiz,Left Winger,"1,73m",right,"Jun 30, 2025",€1.80m
18,CA Osasuna,Rubén García,Right Winger,"1,72m",left,"Jun 30, 2026",€2.00m
19,CA Osasuna,Kike Barja,Right Winger,"1,79m",right,"Jun 30, 2026",€1.80m
20,CA Osasuna,Ante Budimir,Centre-Forward,"1,90m",left,"Jun 30, 2027",€5.00m
21,CA Osasuna,Raúl García,Centre-Forward,"1,92m",right,"Jun 30, 2028",€3.50m
