,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,CD Leganés,Juan Soriano,Goalkeeper,"1,85m",right,"Jun 30, 2027",€1.20m
1,CD Leganés,Marko Dmitrovic,Goalkeeper,"1,89m",left,"Jun 30, 2025",€800k
2,CD Leganés,Sergio González,Centre-Back,"1,89m",right,"Jun 30, 2025",€1.50m
3,CD Leganés,Jorge Sáenz,Centre-Back,"1,88m",right,"Jun 30, 2025",€1.20m
4,CD Leganés,Matija Nastasić,Centre-Back,"1,87m",left,"Jun 30, 2026",€1.00m
5,CD Leganés,Javi Hernández,Left-Back,"1,80m",left,"Jun 30, 2027",€2.00m
6,CD Leganés,Enric Franquesa,Left-Back,"1,75m",left,"Jun 30, 2026",€1.50m
7,CD Leganés,Borna Barisic,Left-Back,"1,86m",left,"Jun 30, 2025",€1.00m
8,CD Leganés,Valentin Rosier,Right-Back,"1,75m",right,"Jun 30, 2025",€3.00m
9,CD Leganés,Adrià Altimira,Right-Back,"1,70m",right,"Jun 30, 2025",€1.50m
10,CD Leganés,Renato Tapia,Defensive Midfield,"1,85m",right,"Jun 30, 2026",€3.50m
11,CD Leganés,Yvan Neyou,Defensive Midfield,"1,80m",right,"Jun 30, 2025",€2.50m
12,CD Leganés,Julián Chicco,Defensive Midfield,"1,87m",right,"Jun 30, 2025",€600k
13,CD Leganés,Seydouba Cissé,Central Midfield,"1,78m",right,"Jun 30, 2026",€3.00m
14,CD Leganés,Darko Brasanac,Central Midfield,"1,78m",right,"Jun 30, 2025",€600k
15,CD Leganés,Óscar Rodríguez,Attacking Midfield,"1,74m",right,"Jun 30, 2026",€2.00m
16,CD Leganés,Roberto López,Attacking Midfield,"1,79m",left,"Jun 30, 2027",€1.50m
17,CD Leganés,Juan Cruz,Left Winger,"1,80m",left,"Jun 30, 2028",€4.00m
18,CD Leganés,Duk,Left Winger,"1,82m",right,"Jun 30, 2025",€1.20m
19,CD Leganés,Dani Raba,Right Winger,"1,85m",left,"Jun 30, 2025",€1.80m
20,CD Leganés,Munir El Haddadi,Right Winger,"1,77m",left,"Jun 30, 2026",€1.50m
21,CD Leganés,Miguel de la Fuente,Centre-Forward,"1,82m",right,"Jun 30, 2028",€2.00m
22,CD Leganés,Diego García,Centre-Forward,"1,88m",right,"Jun 30, 2027",€1.50m
