,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Celta de Vigo,Iván Villar,Goalkeeper,"1,86m",right,"Jun 30, 2027",€900k
1,Celta de Vigo,Vicente Guaita,Goalkeeper,"1,90m",right,"Jun 30, 2025",€800k
2,Celta de Vigo,Javi Rodríguez,Centre-Back,"1,78m",right,"Jun 30, 2028",€10.00m
3,Celta de Vigo,Carl Starfelt,Centre-Back,"1,87m",right,"Jun 30, 2027",€6.00m
4,Celta de Vigo,Carlos Domínguez,Centre-Back,"1,87m",left,"Jun 30, 2026",€2.50m
5,Celta de Vigo,Yoel Lago,Centre-Back,"1,85m",right,"Jun 30, 2027",€200k
6,Celta de Vigo,Marcos Alonso,Left-Back,"1,88m",left,"Jun 30, 2025",€1.80m
7,Celta de Vigo,Mihailo Ristic,Left-Back,"1,80m",left,"Jun 30, 2026",€900k
8,Celta de Vigo,Óscar Mingueza,Right-Back,"1,84m",right,"Jun 30, 2026",€20.00m
9,Celta de Vigo,Sergio Carreira,Right-Back,"1,70m",right,"Jun 30, 2025",€3.00m
10,Celta de Vigo,Javier Manquillo,Right-Back,"1,78m",right,"Jun 30, 2025",€1.80m
11,Celta de Vigo,Damián Rodríguez,Defensive Midfield,"1,80m",left,"Jun 30, 2028",€3.00m
12,Celta de Vigo,Jailson,Defensive Midfield,"1,87m",right,"Jun 30, 2025",€1.50m
13,Celta de Vigo,Fran Beltrán,Central Midfield,"1,65m",right,"Jun 30, 2026",€6.00m
14,Celta de Vigo,Hugo Sotelo,Central Midfield,"1,80m",right,"Jun 30, 2028",€5.00m
15,Celta de Vigo,Ilaix Moriba,Central Midfield,"1,85m",right,"Jun 30, 2025",€4.00m
16,Celta de Vigo,Hugo Álvarez,Left Winger,"1,76m",right,"Jun 30, 2028",€7.50m
17,Celta de Vigo,Williot Swedberg,Left Winger,"1,87m",right,"Jun 30, 2027",€5.00m
18,Celta de Vigo,Alfon González,Left Winger,"1,72m",,"Jun 30, 2025",€2.00m
19,Celta de Vigo,Franco Cervi,Left Winger,"1,66m",left,"Jun 30, 2026",€900k
20,Celta de Vigo,Fer López,Right Winger,"1,88m",left,"Jun 30, 2028",€1.50m
21,Celta de Vigo,Iker Losada,Second Striker,"1,75m",right,"Jun 30, 2025",€1.80m
22,Celta de Vigo,Pablo Durán,Centre-Forward,"1,76m",right,"Jun 30, 2027",€3.50m
23,Celta de Vigo,Borja Iglesias,Centre-Forward,"1,87m",right,"Jun 30, 2025",€3.00m
24,Celta de Vigo,Iago Aspas,Centre-Forward,"1,76m",left,"Jun 30, 2026",€2.50m
