,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Deportivo Alavés,Antonio Sivera,Goalkeeper,"1,85m",right,"Jun 30, 2027",€6.00m
1,Deportivo Alavés,Jesús Owono,Goalkeeper,"1,86m",both,"Jun 30, 2026",€1.00m
2,Deportivo Alavés,Adrián Rodríguez,Goalkeeper,"1,95m",right,"Jun 30, 2027",€100k
3,Deportivo Alavés,Abdel Abqar,Centre-Back,"1,88m",right,"Jun 30, 2025",€7.50m
4,Deportivo Alavés,Santiago Mouriño,Centre-Back,"1,86m",right,"Jun 30, 2029",€2.00m
5,Deportivo Alavés,Moussa Diarra,Centre-Back,"1,85m",left,"Jun 30, 2028",€2.00m
6,Deportivo Alavés,Adrián Pica,Centre-Back,"1,90m",,"Jun 30, 2026",€1.50m
7,Deportivo Alavés,Facundo Garcés,Centre-Back,"1,89m",right,"Jun 30, 2028",€1.20m
8,Deportivo Alavés,Aleksandar Sedlar,Centre-Back,"1,80m",right,"Jun 30, 2025",€400k
9,Deportivo Alavés,Manu Sánchez,Left-Back,"1,71m",left,"Jun 30, 2025",€6.00m
10,Deportivo Alavés,Nahuel Tenaglia,Right-Back,"1,81m",right,"Jun 30, 2027",€3.00m
11,Deportivo Alavés,Hugo Novoa,Right-Back,"1,82m",right,"Jun 30, 2029",€2.00m
12,Deportivo Alavés,Antonio Blanco,Defensive Midfield,"1,76m",right,"Jun 30, 2027",€7.50m
13,Deportivo Alavés,Carlos Protesoni,Defensive Midfield,"1,85m",right,"Jun 30, 2026",€1.50m
14,Deportivo Alavés,Ander Guevara,Central Midfield,"1,80m",right,"Jun 30, 2027",€4.00m
15,Deportivo Alavés,Jon Guridi,Central Midfield,"1,79m",left,"Jun 30, 2026",€3.00m
16,Deportivo Alavés,Carles Aleñá,Central Midfield,"1,80m",left,"Jun 30, 2025",€2.50m
17,Deportivo Alavés,Joan Jordán,Central Midfield,"1,85m",right,"Jun 30, 2025",€2.50m
18,Deportivo Alavés,Carlos Martín,Left Winger,"1,80m",right,"Jun 30, 2025",€3.00m
19,Deportivo Alavés,Tomás Conechny,Left Winger,"1,76m",left,"Jun 30, 2028",€2.00m
20,Deportivo Alavés,Carlos Vicente,Right Winger,"1,79m",right,"Jun 30, 2027",€8.00m
21,Deportivo Alavés,Toni Martínez,Centre-Forward,"1,87m",right,"Jun 30, 2028",€2.80m
22,Deportivo Alavés,Asier Villalibre,Centre-Forward,"1,82m",left,"Jun 30, 2028",€1.80m
23,Deportivo Alavés,Kike García,Centre-Forward,"1,86m",right,"Jun 30, 2025",€900k
24,Deportivo Alavés,Pau Cabanes,Centre-Forward,"1,79m",right,"Jun 30, 2025",€800k
