,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,FC Barcelona,Marc-André ter Stegen,Goalkeeper,"1,87m",right,"Jun 30, 2028",€15.00m
1,FC Barcelona,Iñaki Peña,Goalkeeper,"1,84m",right,"Jun 30, 2026",€10.00m
2,FC Barcelona,Wojciech Szczesny,Goalkeeper,"1,95m",right,"Jun 30, 2025",€1.00m
3,FC Barcelona,Pau Cubarsí,Centre-Back,"1,84m",right,"Jun 30, 2029",€70.00m
4,FC Barcelona,Ronald Araujo,Centre-Back,"1,92m",right,"Jun 30, 2031",€50.00m
5,FC Barcelona,Andreas Christensen,Centre-Back,"1,87m",right,"Jun 30, 2026",€15.00m
6,FC Barcelona,Eric García,Centre-Back,"1,82m",right,"Jun 30, 2026",€15.00m
7,FC Barcelona,Iñigo Martínez,Centre-Back,"1,82m",left,"Jun 30, 2026",€5.00m
8,FC Barcelona,Alejandro Balde,Left-Back,"1,75m",left,"Jun 30, 2028",€60.00m
9,FC Barcelona,Gerard Martín,Left-Back,"1,86m",left,"Jun 30, 2028",€7.50m
10,FC Barcelona,Jules Koundé,Right-Back,"1,80m",right,"Jun 30, 2027",€60.00m
11,FC Barcelona,Héctor Fort,Right-Back,"1,85m",right,"Jun 30, 2026",€10.00m
12,FC Barcelona,Marc Casadó,Defensive Midfield,"1,72m",right,"Jun 30, 2028",€30.00m
13,FC Barcelona,Marc Bernal,Defensive Midfield,"1,91m",left,"Jun 30, 2026",€5.00m
14,FC Barcelona,Pedri,Central Midfield,"1,74m",right,"Jun 30, 2030",€120.00m
15,FC Barcelona,Gavi,Central Midfield,"1,73m",right,"Jun 30, 2030",€70.00m
16,FC Barcelona,Frenkie de Jong,Central Midfield,"1,81m",right,"Jun 30, 2026",€45.00m
17,FC Barcelona,Dani Olmo,Attacking Midfield,"1,79m",right,"Jun 30, 2030",€60.00m
18,FC Barcelona,Fermín López,Attacking Midfield,"1,74m",right,"Jun 30, 2029",€50.00m
19,FC Barcelona,Pablo Torre,Attacking Midfield,"1,73m",right,"Jun 30, 2026",€7.50m
20,FC Barcelona,Raphinha,Left Winger,"1,76m",left,"Jun 30, 2027",€80.00m
21,FC Barcelona,Ansu Fati,Left Winger,"1,78m",right,"Jun 30, 2027",€5.00m
22,FC Barcelona,Lamine Yamal,Right Winger,"1,80m",left,"Jun 30, 2026",€180.00m
23,FC Barcelona,Ferran Torres,Right Winger,"1,84m",right,"Jun 30, 2027",€28.00m
24,FC Barcelona,Robert Lewandowski,Centre-Forward,"1,85m",right,"Jun 30, 2026",€15.00m
25,FC Barcelona,Pau Víctor,Centre-Forward,"1,84m",right,"Jun 30, 2029",€5.00m
