,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Getafe CF,David Soria,Goalkeeper,"1,92m",right,"Jun 30, 2026",€4.00m
1,Getafe CF,Jiri Letacek,Goalkeeper,"1,96m",right,"Jun 30, 2028",€2.00m
2,Getafe CF,Omar Alderete,Centre-Back,"1,88m",left,"Jun 30, 2028",€8.00m
3,Getafe CF,Djené,Centre-Back,"1,78m",right,"Jun 30, 2025",€2.00m
4,Getafe CF,Juan Berrocal,Centre-Back,"1,87m",both,"Jun 30, 2027",€1.80m
5,Getafe CF,Domingos Duarte,Centre-Back,"1,92m",right,"Jun 30, 2026",€800k
6,Getafe CF,Juan Bernat,Left-Back,"1,70m",left,"Jun 30, 2025",€2.50m
7,Getafe CF,Diego Rico,Left-Back,"1,83m",left,"Jun 30, 2026",€1.30m
8,Getafe CF,Juan Iglesias,Right-Back,"1,87m",right,"Jun 30, 2026",€3.50m
9,Getafe CF,Allan Nyom,Right-Back,"1,89m",right,"Jun 30, 2025",€400k
10,Getafe CF,Mauro Arambarri,Central Midfield,"1,75m",right,"Jun 30, 2028",€7.00m
11,Getafe CF,Ramón Terrats,Central Midfield,"1,81m",left,"Jun 30, 2025",€4.00m
12,Getafe CF,Luis Milla,Central Midfield,"1,75m",right,"Jun 30, 2027",€3.50m
13,Getafe CF,Yellu Santiago,Central Midfield,"1,92m",right,"Jun 30, 2025",€1.00m
14,Getafe CF,Christantus Uche,Attacking Midfield,"1,90m",both,"Jun 30, 2028",€8.00m
15,Getafe CF,Alberto Risco,Attacking Midfield,-,,"Jun 30, 2026",€200k
16,Getafe CF,Coba da Costa,Left Winger,"1,82m",right,"Jun 30, 2026",€3.00m
17,Getafe CF,Juanmi,Left Winger,"1,72m",right,"Jun 30, 2025",€2.80m
18,Getafe CF,Álex Sola,Right Winger,"1,78m",right,"Jun 30, 2027",€3.00m
19,Getafe CF,Carles Pérez,Right Winger,"1,73m",left,"Jun 30, 2025",€2.50m
20,Getafe CF,Peter Federico,Right Winger,"1,80m",left,"Jun 30, 2028",€1.50m
21,Getafe CF,Borja Mayoral,Centre-Forward,"1,82m",right,"Jun 30, 2027",€9.00m
22,Getafe CF,Bertuğ Yıldırım,Centre-Forward,"1,91m",right,"Jun 30, 2025",€2.50m
23,Getafe CF,Álvaro Rodríguez,Centre-Forward,"1,93m",left,"Jun 30, 2025",€2.50m
