,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Girona FC,Paulo Gazzaniga,Goalkeeper,"1,95m",right,"Jun 30, 2027",€3.50m
1,Girona FC,Vladyslav Krapyvtsov,Goalkeeper,"1,88m",right,"Jun 30, 2029",€200k
2,Girona FC,Juan Carlos,Goalkeeper,"1,87m",,"Jun 30, 2025",€100k
3,Girona FC,Ladislav Krejci,Centre-Back,"1,91m",left,"Jun 30, 2029",€12.00m
4,Girona FC,David López,Centre-Back,"1,85m",right,"Jun 30, 2026",€2.00m
5,Girona FC,Daley Blind,Centre-Back,"1,80m",left,"Jun 30, 2026",€2.00m
6,Girona FC,Juanpe,Centre-Back,"1,90m",right,"Jun 30, 2025",€900k
7,Girona FC,Miguel Gutiérrez,Left-Back,"1,80m",left,"Jun 30, 2027",€25.00m
8,Girona FC,Arnau Martínez,Right-Back,"1,82m",right,"Jun 30, 2027",€10.00m
9,Girona FC,Alejandro Francés,Right-Back,"1,82m",right,"Jun 30, 2029",€2.50m
10,Girona FC,Arthur Melo,Defensive Midfield,"1,72m",right,"Jun 30, 2025",€5.00m
11,Girona FC,Oriol Romeu,Defensive Midfield,"1,83m",right,"Jun 30, 2025",€1.80m
12,Girona FC,Yangel Herrera,Central Midfield,"1,84m",right,"Jun 30, 2027",€20.00m
13,Girona FC,Donny van de Beek,Central Midfield,"1,84m",right,"Jun 30, 2028",€7.50m
14,Girona FC,Jhon Solís,Central Midfield,"1,86m",right,"Jun 30, 2028",€3.50m
15,Girona FC,Iván Martín,Attacking Midfield,"1,78m",left,"Jun 30, 2028",€10.00m
16,Girona FC,Gabriel Misehouy,Attacking Midfield,"1,73m",right,"Jun 30, 2028",€1.00m
17,Girona FC,Bryan Gil,Left Winger,"1,75m",left,"Jun 30, 2025",€15.00m
18,Girona FC,Arnaut Danjuma,Left Winger,"1,78m",right,"Jun 30, 2025",€5.00m
19,Girona FC,Min-su Kim,Left Winger,"1,77m",right,"Jun 30, 2027",€1.00m
20,Girona FC,Viktor Tsygankov,Right Winger,"1,78m",left,"Jun 30, 2027",€22.00m
21,Girona FC,Yáser Asprilla,Right Winger,"1,76m",left,"Jun 30, 2030",€18.00m
22,Girona FC,Portu,Right Winger,"1,67m",right,"Jun 30, 2027",€2.50m
23,Girona FC,Abel Ruiz,Centre-Forward,"1,82m",right,"Jun 30, 2029",€6.00m
24,Girona FC,Bojan Miovski,Centre-Forward,"1,89m",left,"Jun 30, 2028",€3.00m
25,Girona FC,Cristhian Stuani,Centre-Forward,"1,84m",right,"Jun 30, 2026",€1.20m
