,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,RCD Espanyol Barcelona,Joan García,Goalkeeper,"1,91m",right,"Jun 30, 2028",€20.00m
1,RCD Espanyol Barcelona,Fernando Pacheco,Goalkeeper,"1,87m",left,"Jun 30, 2026",€900k
2,RCD Espanyol Barcelona,Ángel Fortuño,Goalkeeper,"1,83m",right,"Jun 30, 2027",€300k
3,RCD Espanyol Barcelona,Marash Kumbulla,Centre-Back,"1,91m",right,"Jun 30, 2025",€6.00m
4,RCD Espanyol Barcelona,Fernando Calero,Centre-Back,"1,84m",right,"Jun 30, 2026",€1.50m
5,RCD Espanyol Barcelona,Leandro Cabrera,Centre-Back,"1,90m",left,"Jun 30, 2025",€1.00m
6,RCD Espanyol Barcelona,Sergi Gómez,Centre-Back,"1,85m",right,"Jun 30, 2025",€900k
7,RCD Espanyol Barcelona,Pablo Ramón,Centre-Back,"1,84m",right,"Jun 30, 2028",€200k
8,RCD Espanyol Barcelona,Carlos Romero,Left-Back,"1,74m",left,"Jun 30, 2025",€3.00m
9,RCD Espanyol Barcelona,Brian Oliván,Left-Back,"1,75m",left,"Jun 30, 2025",€2.00m
10,RCD Espanyol Barcelona,Omar El Hilali,Right-Back,"1,83m",right,"Jun 30, 2027",€10.00m
11,RCD Espanyol Barcelona,Álvaro Tejero,Right-Back,"1,74m",both,"Jun 30, 2025",€2.00m
12,RCD Espanyol Barcelona,Urko González de Zárate,Defensive Midfield,"1,89m",right,"Jun 30, 2025",€1.50m
13,RCD Espanyol Barcelona,Alex Král,Central Midfield,"1,86m",right,"Jun 30, 2025",€6.00m
14,RCD Espanyol Barcelona,Pol Lozano,Central Midfield,"1,76m",right,"Jun 30, 2027",€4.00m
15,RCD Espanyol Barcelona,José Gragera,Central Midfield,"1,86m",right,"Jun 30, 2028",€2.00m
16,RCD Espanyol Barcelona,Álvaro Aguado,Central Midfield,"1,75m",right,"Jun 30, 2025",€2.00m
17,RCD Espanyol Barcelona,Edu Expósito,Central Midfield,"1,78m",right,"Jun 30, 2027",€1.50m
18,RCD Espanyol Barcelona,Justin Smith,Central Midfield,"1,89m",right,"Jun 30, 2026",€300k
19,RCD Espanyol Barcelona,Rafel Bauzà,Central Midfield,"1,83m",right,"Jun 30, 2028",€200k
20,RCD Espanyol Barcelona,Javi Puado,Left Winger,"1,77m",right,"Jun 30, 2025",€8.00m
21,RCD Espanyol Barcelona,Pere Milla,Left Winger,"1,80m",left,"Jun 30, 2027",€1.50m
22,RCD Espanyol Barcelona,Jofre Carreras,Right Winger,"1,75m",right,"Jun 30, 2029",€4.00m
23,RCD Espanyol Barcelona,Antoniu Roca,Right Winger,"1,80m",right,"Jun 30, 2026",€1.50m
24,RCD Espanyol Barcelona,Roberto Fernández,Centre-Forward,"1,86m",right,"Jun 30, 2025",€4.00m
25,RCD Espanyol Barcelona,Walid Cheddira,Centre-Forward,"1,87m",right,"Jun 30, 2025",€3.00m
26,RCD Espanyol Barcelona,Alejo Veliz,Centre-Forward,"1,86m",right,"Jun 30, 2025",€2.80m
27,RCD Espanyol Barcelona,Omar Sadik,Centre-Forward,-,left,"Jun 30, 2028",€500k
