,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,RCD Mallorca,Dominik Greif,Goalkeeper,"1,97m",right,"Jun 30, 2026",€6.00m
1,RCD Mallorca,Leo Román,Goalkeeper,"1,89m",right,"Jun 30, 2026",€2.50m
2,RCD Mallorca,Iván Cuéllar,Goalkeeper,"1,87m",left,"Jun 30, 2025",€100k
3,RCD Mallorca,Martin Valjent,Centre-Back,"1,87m",right,"Jun 30, 2029",€6.00m
4,RCD Mallorca,José Copete,Centre-Back,"1,90m",left,"Jun 30, 2026",€2.80m
5,RCD Mallorca,Antonio Raíllo,Centre-Back,"1,87m",,"Jun 30, 2026",€2.00m
6,RCD Mallorca,David López,Centre-Back,"1,95m",,"Jun 30, 2027",€500k
7,RCD Mallorca,Johan Mojica,Left-Back,"1,85m",left,"Jun 30, 2027",€2.20m
8,RCD Mallorca,Toni Lato,Left-Back,"1,71m",left,"Jun 30, 2027",€2.00m
9,RCD Mallorca,Pablo Maffeo,Right-Back,"1,72m",right,"Jun 30, 2027",€5.00m
10,RCD Mallorca,Mateu Morey,Right-Back,"1,73m",right,"Jun 30, 2025",€800k
11,RCD Mallorca,Samú Costa,Defensive Midfield,"1,85m",left,"Jun 30, 2028",€15.00m
12,RCD Mallorca,Omar Mascarell,Defensive Midfield,"1,81m",right,"Jun 30, 2026",€900k
13,RCD Mallorca,Sergi Darder,Central Midfield,"1,80m",right,"Jun 30, 2028",€4.00m
14,RCD Mallorca,Manu Morlanes,Central Midfield,"1,78m",right,"Jun 30, 2028",€2.50m
15,RCD Mallorca,Antonio Sánchez,Central Midfield,"1,79m",right,"Jun 30, 2027",€2.50m
16,RCD Mallorca,Robert Navarro,Attacking Midfield,"1,78m",right,"Jun 30, 2025",€6.00m
17,RCD Mallorca,Dani Rodríguez,Attacking Midfield,"1,78m",right,"Jun 30, 2026",€900k
18,RCD Mallorca,Chiquinho,Left Winger,"1,79m",right,"Jun 30, 2025",€2.50m
19,RCD Mallorca,Takuma Asano,Right Winger,"1,73m",right,"Jun 30, 2026",€2.50m
20,RCD Mallorca,Valery Fernández,Right Winger,"1,82m",right,"Jun 30, 2025",€2.50m
21,RCD Mallorca,Vedat Muriqi,Centre-Forward,"1,94m",left,"Jun 30, 2027",€8.00m
22,RCD Mallorca,Cyle Larin,Centre-Forward,"1,88m",right,"Jun 30, 2028",€3.50m
23,RCD Mallorca,Abdón Prats,Centre-Forward,"1,81m",left,"Jun 30, 2028",€1.50m
