,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Rayo Vallecano,Augusto Batalla,Goalkeeper,"1,86m",right,"Jun 30, 2025",€6.00m
1,Rayo Vallecano,Dani Cárdenas,Goalkeeper,"1,86m",right,"Jun 30, 2027",€1.80m
2,Rayo Vallecano,Abdul Mumin,Centre-Back,"1,88m",right,"Jun 30, 2026",€5.00m
3,Rayo Vallecano,Florian Lejeune,Centre-Back,"1,90m",right,"Jun 30, 2027",€2.80m
4,Rayo Vallecano,Pelayo Fernández,Centre-Back,"1,93m",right,"Jun 30, 2028",€500k
5,Rayo Vallecano,Aridane Hernández,Centre-Back,"1,88m",right,"Jun 30, 2025",€400k
6,Rayo Vallecano,Pep Chavarría,Left-Back,"1,74m",left,"Jun 30, 2027",€3.50m
7,Rayo Vallecano,Alfonso Espino,Left-Back,"1,72m",left,"Jun 30, 2026",€1.50m
8,Rayo Vallecano,Andrei Rațiu,Right-Back,"1,83m",right,"Jun 30, 2028",€12.00m
9,Rayo Vallecano,Iván Balliu,Right-Back,"1,72m",right,"Jun 30, 2027",€1.50m
10,Rayo Vallecano,Gerard Gumbau,Defensive Midfield,"1,88m",left,"Jun 30, 2025",€2.00m
11,Rayo Vallecano,Óscar Valentín,Central Midfield,"1,77m",right,"Jun 30, 2027",€3.50m
12,Rayo Vallecano,Unai López,Central Midfield,"1,70m",right,"Jun 30, 2026",€2.80m
13,Rayo Vallecano,Pedro Díaz,Central Midfield,"1,80m",right,"Jun 30, 2028",€2.50m
14,Rayo Vallecano,Pathé Ciss,Central Midfield,"1,86m",right,"Jun 30, 2027",€2.00m
15,Rayo Vallecano,Randy Nteka,Attacking Midfield,"1,89m",left,"Jun 30, 2028",€1.50m
16,Rayo Vallecano,Joni Montiel,Attacking Midfield,"1,73m",left,"Jun 30, 2025",€900k
17,Rayo Vallecano,Oscar Trejo,Attacking Midfield,"1,80m",right,"Jun 30, 2025",€800k
18,Rayo Vallecano,Álvaro García,Left Winger,"1,67m",both,"Jun 30, 2028",€2.50m
19,Rayo Vallecano,Jorge de Frutos,Right Winger,"1,73m",right,"Jun 30, 2028",€4.00m
20,Rayo Vallecano,Adrián Embarba,Right Winger,"1,73m",right,"Jun 30, 2025",€1.50m
21,Rayo Vallecano,Isi Palazón,Second Striker,"1,69m",left,"Jun 30, 2028",€4.00m
22,Rayo Vallecano,Sergio Camello,Centre-Forward,"1,82m",right,"Jun 30, 2027",€3.50m
23,Rayo Vallecano,Raúl de Tomás,Centre-Forward,"1,80m",right,"Jun 30, 2027",€800k
24,Rayo Vallecano,Sergi Guardiola,Centre-Forward,"1,85m",left,"Jun 30, 2025",€600k
