,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Real Betis Balompié,Fran Vieites,Goalkeeper,"1,96m",left,"Jun 30, 2026",€800k
1,Real Betis Balompié,Adrián,Goalkeeper,"1,90m",right,"Jun 30, 2026",€500k
2,Real Betis Balompié,Natan,Centre-Back,"1,88m",left,"Jun 30, 2025",€9.00m
3,Real Betis Balompié,Diego Llorente,Centre-Back,"1,86m",right,"Jun 30, 2028",€6.00m
4,Real Betis Balompié,Marc Bartra,Centre-Back,"1,84m",right,"Jun 30, 2027",€1.00m
5,Real Betis Balompié,Romain Perraud,Left-Back,"1,73m",left,"Jun 30, 2029",€5.00m
6,Real Betis Balompié,Ricardo Rodríguez,Left-Back,"1,82m",left,"Jun 30, 2026",€2.50m
7,Real Betis Balompié,Aitor Ruibal,Right-Back,"1,76m",right,"Jun 30, 2028",€3.50m
8,Real Betis Balompié,Héctor Bellerín,Right-Back,"1,78m",right,"Jun 30, 2028",€3.00m
9,Real Betis Balompié,Ángel Ortiz,Right-Back,"1,67m",right,"Jun 30, 2025",€2.50m
10,Real Betis Balompié,Youssouf Sabaly,Right-Back,"1,73m",right,"Jun 30, 2026",€2.00m
11,Real Betis Balompié,Johnny Cardoso,Defensive Midfield,"1,86m",right,"Jun 30, 2030",€20.00m
12,Real Betis Balompié,Marc Roca,Defensive Midfield,"1,84m",left,"Jun 30, 2029",€8.00m
13,Real Betis Balompié,William Carvalho,Defensive Midfield,"1,87m",right,"Jun 30, 2026",€2.00m
14,Real Betis Balompié,Giovani Lo Celso,Central Midfield,"1,77m",left,"Jun 30, 2028",€20.00m
15,Real Betis Balompié,Sergi Altimira,Central Midfield,"1,88m",right,"Jun 30, 2029",€10.00m
16,Real Betis Balompié,Mateo Flores,Central Midfield,"1,78m",left,"Jun 30, 2029",€1.00m
17,Real Betis Balompié,Pablo Fornals,Attacking Midfield,"1,78m",right,"Jun 30, 2029",€6.00m
18,Real Betis Balompié,Isco,Attacking Midfield,"1,76m",right,"Jun 30, 2027",€6.00m
19,Real Betis Balompié,Abde Ezzalzouli,Left Winger,"1,77m",right,"Jun 30, 2029",€12.00m
20,Real Betis Balompié,Jesús Rodríguez,Left Winger,"1,85m",right,"Jun 30, 2029",€10.00m
21,Real Betis Balompié,Antony,Right Winger,"1,72m",left,"Jun 30, 2025",€20.00m
22,Real Betis Balompié,Cucho Hernández,Centre-Forward,"1,76m",right,"Jun 30, 2030",€18.00m
23,Real Betis Balompié,Chimy Ávila,Centre-Forward,"1,72m",right,"Jun 30, 2027",€2.50m
24,Real Betis Balompié,Cédric Bakambu,Centre-Forward,"1,82m",right,"Jun 30, 2026",€1.80m
