,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Real Madrid,Thibaut Courtois,Goalkeeper,"2,00m",left,"Jun 30, 2026",€25.00m
1,Real Madrid,Andriy Lunin,Goalkeeper,"1,91m",right,"Jun 30, 2030",€20.00m
2,Real Madrid,Fran González,Goalkeeper,"1,99m",right,"Jun 30, 2026",€400k
3,Real Madrid,Éder Militão,Centre-Back,"1,86m",right,"Jun 30, 2028",€40.00m
4,Real Madrid,Raúl Asencio,Centre-Back,"1,84m",right,"Jun 30, 2026",€30.00m
5,Real Madrid,Antonio Rüdiger,Centre-Back,"1,90m",right,"Jun 30, 2026",€24.00m
6,Real Madrid,David Alaba,Centre-Back,"1,80m",left,"Jun 30, 2026",€10.00m
7,Real Madrid,Jesús Vallejo,Centre-Back,"1,84m",right,"Jun 30, 2025",€1.00m
8,Real Madrid,Ferland Mendy,Left-Back,"1,80m",left,"Jun 30, 2028",€18.00m
9,Real Madrid,Fran García,Left-Back,"1,69m",left,"Jun 30, 2027",€15.00m
10,Real Madrid,Daniel Carvajal,Right-Back,"1,73m",right,"Jun 30, 2026",€10.00m
11,Real Madrid,Lucas Vázquez,Right-Back,"1,73m",right,"Jun 30, 2025",€3.50m
12,Real Madrid,Aurélien Tchouaméni,Defensive Midfield,"1,88m",right,"Jun 30, 2028",€80.00m
13,Real Madrid,Federico Valverde,Central Midfield,"1,82m",right,"Jun 30, 2029",€130.00m
14,Real Madrid,Eduardo Camavinga,Central Midfield,"1,82m",left,"Jun 30, 2029",€70.00m
15,Real Madrid,Dani Ceballos,Central Midfield,"1,79m",right,"Jun 30, 2027",€10.00m
16,Real Madrid,Luka Modrić,Central Midfield,"1,72m",right,"Jun 30, 2025",€5.00m
17,Real Madrid,Jude Bellingham,Attacking Midfield,"1,86m",right,"Jun 30, 2029",€180.00m
18,Real Madrid,Vinicius Junior,Left Winger,"1,76m",right,"Jun 30, 2027",€200.00m
19,Real Madrid,Rodrygo,Right Winger,"1,74m",right,"Jun 30, 2028",€100.00m
20,Real Madrid,Arda Güler,Right Winger,"1,75m",left,"Jun 30, 2029",€45.00m
21,Real Madrid,Brahim Díaz,Right Winger,"1,70m",both,"Jun 30, 2027",€45.00m
22,Real Madrid,Kylian Mbappé,Centre-Forward,"1,78m",right,"Jun 30, 2029",€170.00m
23,Real Madrid,Endrick,Centre-Forward,"1,73m",left,"Jun 30, 2030",€40.00m
