,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Real Sociedad,Álex Remiro,Goalkeeper,"1,91m",right,"Jun 30, 2027",€25.00m
1,Real Sociedad,Unai Marrero,Goalkeeper,"1,89m",right,"Jun 30, 2027",€600k
2,Real Sociedad,Nayef Aguerd,Centre-Back,"1,90m",left,"Jun 30, 2025",€25.00m
3,Real Sociedad,Igor Zubeldia,Centre-Back,"1,81m",right,"Jun 30, 2029",€18.00m
4,Real Sociedad,Jon Pacheco,Centre-Back,"1,84m",left,"Jun 30, 2030",€7.50m
5,Real Sociedad,Aritz Elustondo,Centre-Back,"1,80m",right,"Jun 30, 2026",€4.00m
6,Real Sociedad,Jon Martín,Centre-Back,"1,87m",right,"Jun 30, 2030",€2.00m
7,Real Sociedad,Javi López,Left-Back,"1,83m",left,"Jun 30, 2030",€7.50m
8,Real Sociedad,Aihen Muñoz,Left-Back,"1,75m",left,"Jun 30, 2027",€5.00m
9,Real Sociedad,Jon Aramburu,Right-Back,"1,76m",right,"Jun 30, 2030",€12.00m
10,Real Sociedad,Hamari Traoré,Right-Back,"1,75m",right,"Jun 30, 2026",€3.00m
11,Real Sociedad,Álvaro Odriozola,Right-Back,"1,76m",right,"Jun 30, 2029",€1.20m
12,Real Sociedad,Martín Zubimendi,Defensive Midfield,"1,81m",right,"Jun 30, 2027",€60.00m
13,Real Sociedad,Luka Sucic,Central Midfield,"1,85m",left,"Jun 30, 2029",€18.00m
14,Real Sociedad,Beñat Turrientes,Central Midfield,"1,81m",right,"Jun 30, 2030",€16.00m
15,Real Sociedad,Jon Ander Olasagasti,Central Midfield,"1,76m",left,"Jun 30, 2027",€2.50m
16,Real Sociedad,Brais Méndez,Attacking Midfield,"1,84m",left,"Jun 30, 2028",€28.00m
17,Real Sociedad,Arsen Zakharyan,Attacking Midfield,"1,83m",right,"Jun 30, 2029",€15.00m
18,Real Sociedad,Pablo Marín,Attacking Midfield,"1,78m",right,"Jun 30, 2028",€3.00m
19,Real Sociedad,Ander Barrenetxea,Left Winger,"1,75m",right,"Jun 30, 2030",€18.00m
20,Real Sociedad,Sheraldo Becker,Left Winger,"1,80m",right,"Jun 30, 2026",€4.00m
21,Real Sociedad,Arkaitz Mariezkurrena,Left Winger,-,,"Jun 30, 2029",€500k
22,Real Sociedad,Takefusa Kubo,Right Winger,"1,73m",left,"Jun 30, 2029",€40.00m
23,Real Sociedad,Sergio Gómez,Right Winger,"1,71m",left,"Jun 30, 2030",€20.00m
24,Real Sociedad,Mikel Oyarzabal,Centre-Forward,"1,81m",left,"Jun 30, 2028",€30.00m
25,Real Sociedad,Orri Óskarsson,Centre-Forward,"1,86m",right,"Jun 30, 2030",€18.00m
