,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Real Valladolid CF,Karl Hein,Goalkeeper,"1,93m",right,"Jun 30, 2025",€3.00m
1,Real Valladolid CF,André Ferreira,Goalkeeper,"1,93m",right,"Jun 30, 2027",€800k
2,Real Valladolid CF,Eray Cömert,Centre-Back,"1,83m",right,"Jun 30, 2025",€2.50m
3,Real Valladolid CF,Javi Sánchez,Centre-Back,"1,89m",right,"Jun 30, 2026",€1.80m
4,Real Valladolid CF,Cenk Özkacar,Centre-Back,"1,90m",left,"Jun 30, 2025",€1.50m
5,Real Valladolid CF,David Torres,Centre-Back,"1,82m",left,"Jun 30, 2026",€1.40m
6,Real Valladolid CF,Joseph Aidoo,Centre-Back,"1,81m",right,"Jun 30, 2025",€1.40m
7,Real Valladolid CF,Adam Aznou,Left-Back,"1,78m",left,"Jun 30, 2025",€3.00m
8,Real Valladolid CF,Henrique Silva,Left-Back,"1,73m",left,"Jun 30, 2025",€600k
9,Real Valladolid CF,Antonio Candela,Right-Back,"1,85m",right,"Jun 30, 2025",€2.00m
10,Real Valladolid CF,Luis Pérez,Right-Back,"1,73m",right,"Jun 30, 2025",€1.50m
11,Real Valladolid CF,Florian Grillitsch,Defensive Midfield,"1,87m",right,"Jun 30, 2025",€3.00m
12,Real Valladolid CF,Mario Martín,Defensive Midfield,"1,77m",right,"Jun 30, 2025",€1.50m
13,Real Valladolid CF,Stanko Juric,Defensive Midfield,"1,88m",right,"Jun 30, 2027",€1.50m
14,Real Valladolid CF,Tamás Nikitscher,Central Midfield,"1,93m",right,"Jun 30, 2028",€1.00m
15,Real Valladolid CF,Selim Amallah,Attacking Midfield,"1,85m",right,"Jun 30, 2027",€1.80m
16,Real Valladolid CF,Chuki,Attacking Midfield,-,left,"Jun 30, 2025",€1.00m
17,Real Valladolid CF,Raúl Moro,Left Winger,"1,69m",right,"Jun 30, 2028",€5.00m
18,Real Valladolid CF,Darwin Machís,Left Winger,"1,71m",right,"Jun 30, 2026",€1.00m
19,Real Valladolid CF,Kenedy,Left Winger,"1,80m",left,"Jun 30, 2027",€300k
20,Real Valladolid CF,Amath Ndiaye,Right Winger,"1,73m",right,"Jun 30, 2027",€1.00m
21,Real Valladolid CF,Anuar,Right Winger,"1,73m",right,"Jun 30, 2025",€900k
22,Real Valladolid CF,Iván Sánchez,Right Winger,"1,69m",left,"Jun 30, 2025",€600k
23,Real Valladolid CF,Juanmi Latasa,Centre-Forward,"1,92m",left,"Jun 30, 2029",€2.50m
24,Real Valladolid CF,Mamadou Sylla,Centre-Forward,"1,80m",right,"Jun 30, 2026",€1.50m
25,Real Valladolid CF,Marcos André,Centre-Forward,"1,85m",right,"Jun 30, 2029",€1.20m
