,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Sevilla FC,Álvaro Fernández,Goalkeeper,"1,85m",right,"Jun 30, 2025",€2.50m
1,Sevilla FC,Ørjan Nyland,Goalkeeper,"1,92m",right,"Jun 30, 2026",€1.00m
2,Sevilla FC,Loïc Badé,Centre-Back,"1,91m",right,"Jun 30, 2029",€30.00m
3,Sevilla FC,Kike Salas,Centre-Back,"1,88m",left,"Jun 30, 2029",€8.00m
4,Sevilla FC,Marcão,Centre-Back,"1,85m",left,"Jun 30, 2027",€3.00m
5,Sevilla FC,Tanguy Nianzou,Centre-Back,"1,91m",right,"Jun 30, 2027",€3.00m
6,Sevilla FC,Adrià Pedrosa,Left-Back,"1,72m",left,"Jun 30, 2028",€7.00m
7,Sevilla FC,José Ángel Carmona,Right-Back,"1,84m",right,"Jun 30, 2028",€12.00m
8,Sevilla FC,Juanlu Sánchez,Right-Back,"1,86m",right,"Jun 30, 2029",€12.00m
9,Sevilla FC,Lucien Agoumé,Defensive Midfield,"1,85m",right,"Jun 30, 2028",€7.00m
10,Sevilla FC,Nemanja Gudelj,Defensive Midfield,"1,87m",right,"Jun 30, 2026",€3.50m
11,Sevilla FC,Albert Sambi Lokonga,Central Midfield,"1,83m",right,"Jun 30, 2025",€9.00m
12,Sevilla FC,Djibril Sow,Central Midfield,"1,84m",right,"Jun 30, 2028",€7.50m
13,Sevilla FC,Saúl Ñíguez,Central Midfield,"1,84m",left,"Jun 30, 2025",€3.50m
14,Sevilla FC,Manu Bueno,Central Midfield,"1,78m",left,"Jun 30, 2026",€1.50m
15,Sevilla FC,Stanis Idumbo,Attacking Midfield,"1,71m",right,"Jun 30, 2028",€2.50m
16,Sevilla FC,Rubén Vargas,Left Winger,"1,79m",right,"Jun 30, 2029",€7.00m
17,Sevilla FC,Chidera Ejuke,Left Winger,"1,76m",right,"Jun 30, 2027",€6.00m
18,Sevilla FC,Dodi Lukébakio,Right Winger,"1,87m",left,"Jun 30, 2028",€25.00m
19,Sevilla FC,Suso,Right Winger,"1,77m",left,"Jun 30, 2025",€2.50m
20,Sevilla FC,Peque Fernández,Second Striker,"1,72m",right,"Jun 30, 2028",€3.50m
21,Sevilla FC,Isaac Romero,Centre-Forward,"1,83m",left,"Jun 30, 2028",€10.00m
22,Sevilla FC,Akor Adams,Centre-Forward,"1,90m",right,"Jun 30, 2029",€7.50m
