,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,UD Las Palmas,Dinko Horkas,Goalkeeper,"1,89m",right,"Jun 30, 2028",€1.20m
1,UD Las Palmas,Jasper Cillessen,Goalkeeper,"1,87m",right,"Jun 30, 2026",€900k
2,UD Las Palmas,Mika Mármol,Centre-Back,"1,81m",left,"Jun 30, 2026",€12.00m
3,UD Las Palmas,Scott McKenna,Centre-Back,"1,89m",left,"Jun 30, 2027",€5.00m
4,UD Las Palmas,Juanma Herzog,Centre-Back,"1,86m",right,"Jun 30, 2025",€1.50m
5,UD Las Palmas,Alex Suárez,Centre-Back,"1,80m",right,"Jun 30, 2026",€1.00m
6,UD Las Palmas,Álex Muñoz,Left-Back,"1,87m",left,"Jun 30, 2026",€1.20m
7,UD Las Palmas,Andy Pelmard,Right-Back,"1,80m",right,"Jun 30, 2025",€2.50m
8,UD Las Palmas,Viti Rozada,Right-Back,"1,72m",right,"Jun 30, 2027",€2.50m
9,UD Las Palmas,Marvin Park,Right-Back,"1,77m",right,"Jun 30, 2028",€1.50m
10,UD Las Palmas,Dário Essugo,Defensive Midfield,"1,78m",right,"Jun 30, 2025",€15.00m
11,UD Las Palmas,Stefan Bajcetic,Defensive Midfield,"1,85m",right,"Jun 30, 2025",€9.00m
12,UD Las Palmas,Javi Muñoz,Central Midfield,"1,77m",right,"Jun 30, 2025",€2.50m
13,UD Las Palmas,Enzo Loiodice,Central Midfield,"1,77m",left,"Jun 30, 2026",€1.50m
14,UD Las Palmas,José Campaña,Central Midfield,"1,79m",right,"Jun 30, 2025",€1.00m
15,UD Las Palmas,Alberto Moleiro,Attacking Midfield,"1,71m",right,"Jun 30, 2026",€25.00m
16,UD Las Palmas,Kirian Rodríguez,Attacking Midfield,"1,78m",right,"Jun 30, 2028",€12.00m
17,UD Las Palmas,Manu Fuster,Left Winger,"1,69m",right,"Jun 30, 2028",€1.50m
18,UD Las Palmas,Benito Ramírez,Left Winger,"1,79m",left,"Jun 30, 2025",€800k
19,UD Las Palmas,Adnan Januzaj,Right Winger,"1,86m",left,"Jun 30, 2025",€1.20m
20,UD Las Palmas,Fábio Silva,Centre-Forward,"1,85m",right,"Jun 30, 2025",€20.00m
21,UD Las Palmas,Oli McBurnie,Centre-Forward,"1,88m",right,"Jun 30, 2027",€2.50m
22,UD Las Palmas,Sandro Ramírez,Centre-Forward,"1,74m",right,"Jun 30, 2026",€2.50m
23,UD Las Palmas,Marc Cardona,Centre-Forward,"1,82m",right,"Jun 30, 2026",€900k
24,UD Las Palmas,Jaime Mata,Centre-Forward,"1,86m",right,"Jun 30, 2025",€600k
