,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Valencia CF,Giorgi Mamardashvili,Goalkeeper,"1,97m",left,"Jun 30, 2025",€30.00m
1,Valencia CF,Stole Dimitrievski,Goalkeeper,"1,88m",right,"Jun 30, 2026",€3.00m
2,Valencia CF,Jaume Doménech,Goalkeeper,"1,85m",right,"Jun 30, 2025",€600k
3,Valencia CF,Cristhian Mosquera,Centre-Back,"1,91m",right,"Jun 30, 2026",€30.00m
4,Valencia CF,Yarek Gasiorowski,Centre-Back,"1,92m",left,"Jun 30, 2027",€12.00m
5,Valencia CF,César Tárrega,Centre-Back,"1,94m",right,"Jun 30, 2028",€6.00m
6,Valencia CF,Mouctar Diakhaby,Centre-Back,"1,92m",right,"Jun 30, 2027",€2.00m
7,Valencia CF,José Gayà,Left-Back,"1,72m",left,"Jun 30, 2027",€15.00m
8,Valencia CF,Jesús Vázquez,Left-Back,"1,82m",left,"Jun 30, 2026",€3.00m
9,Valencia CF,Max Aarons,Right-Back,"1,77m",right,"Jun 30, 2025",€12.00m
10,Valencia CF,Thierry Correia,Right-Back,"1,76m",right,"Jun 30, 2026",€6.00m
11,Valencia CF,Dimitri Foulquier,Right-Back,"1,83m",right,"Jun 30, 2025",€2.00m
12,Valencia CF,Pepelu,Defensive Midfield,"1,86m",right,"Jun 30, 2028",€12.00m
13,Valencia CF,Enzo Barrenechea,Defensive Midfield,"1,86m",right,"Jun 30, 2025",€7.50m
14,Valencia CF,Hugo Guillamón,Defensive Midfield,"1,78m",right,"Jun 30, 2026",€5.00m
15,Valencia CF,Javi Guerra,Central Midfield,"1,87m",right,"Jun 30, 2027",€20.00m
16,Valencia CF,André Almeida,Attacking Midfield,"1,76m",right,"Jun 30, 2028",€8.00m
17,Valencia CF,Iván Jaime,Attacking Midfield,"1,80m",right,"Jun 30, 2025",€7.00m
18,Valencia CF,Martín Tejón,Attacking Midfield,"1,65m",right,"Jun 30, 2026",€500k
19,Valencia CF,Luis Rioja,Left Winger,"1,76m",left,"Jun 30, 2026",€2.00m
20,Valencia CF,Sergi Canós,Left Winger,"1,77m",right,"Jun 30, 2027",€1.50m
21,Valencia CF,Diego López,Right Winger,"1,72m",right,"Jun 30, 2027",€10.00m
22,Valencia CF,Fran Pérez,Right Winger,"1,76m",right,"Jun 30, 2026",€4.00m
23,Valencia CF,Hugo Duro,Centre-Forward,"1,77m",left,"Jun 30, 2028",€10.00m
24,Valencia CF,Umar Sadiq,Centre-Forward,"1,91m",right,"Jun 30, 2025",€5.00m
25,Valencia CF,Rafa Mir,Centre-Forward,"1,91m",right,"Jun 30, 2025",€800k
