,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Villarreal CF,Diego Conde,Goalkeeper,"1,88m",right,"Jun 30, 2029",€10.00m
1,Villarreal CF,Luiz Júnior,Goalkeeper,"1,92m",left,"Jun 30, 2030",€5.00m
2,Villarreal CF,Iker Álvarez,Goalkeeper,"1,90m",right,"Jun 30, 2026",€800k
3,Villarreal CF,Logan Costa,Centre-Back,"1,90m",right,"Jun 30, 2030",€15.00m
4,Villarreal CF,Willy Kambwala,Centre-Back,"1,92m",right,"Jun 30, 2029",€4.00m
5,Villarreal CF,Eric Bailly,Centre-Back,"1,87m",right,"Jun 30, 2025",€2.50m
6,Villarreal CF,Raúl Albiol,Centre-Back,"1,90m",right,"Jun 30, 2025",€1.30m
7,Villarreal CF,Pau Navarro,Centre-Back,"1,85m",right,"Jun 30, 2030",€1.00m
8,Villarreal CF,Sergi Cardona,Left-Back,"1,86m",both,"Jun 30, 2027",€8.00m
9,Villarreal CF,Alfonso Pedraza,Left-Back,"1,84m",left,"Jun 30, 2026",€2.50m
10,Villarreal CF,Juan Foyth,Right-Back,"1,87m",right,"Jun 30, 2026",€10.00m
11,Villarreal CF,Kiko Femenía,Right-Back,"1,74m",right,"Jun 30, 2025",€1.20m
12,Villarreal CF,Pape Gueye,Defensive Midfield,"1,89m",left,"Jun 30, 2028",€10.00m
13,Villarreal CF,Santi Comesaña,Central Midfield,"1,88m",both,"Jun 30, 2028",€8.00m
14,Villarreal CF,Dani Parejo,Central Midfield,"1,82m",right,"Jun 30, 2026",€2.00m
15,Villarreal CF,Denis Suárez,Attacking Midfield,"1,76m",right,"Jun 30, 2026",€1.30m
16,Villarreal CF,Álex Baena,Left Winger,"1,74m",right,"Jun 30, 2028",€50.00m
17,Villarreal CF,Yéremy Pino,Right Winger,"1,72m",right,"Jun 30, 2027",€30.00m
18,Villarreal CF,Ilias Akhomach,Right Winger,"1,75m",left,"Jun 30, 2026",€15.00m
19,Villarreal CF,Tajon Buchanan,Right Winger,"1,83m",right,"Jun 30, 2025",€6.00m
20,Villarreal CF,Nicolas Pépé,Right Winger,"1,83m",left,"Jun 30, 2026",€6.00m
21,Villarreal CF,Thierno Barry,Centre-Forward,"1,95m",right,"Jun 30, 2029",€14.00m
22,Villarreal CF,Ayoze Pérez,Centre-Forward,"1,78m",right,"Jun 30, 2028",€10.00m
23,Villarreal CF,Gerard Moreno,Centre-Forward,"1,80m",left,"Jun 30, 2027",€5.00m
