,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,AJ Auxerre,Donovan Léon,Goalkeeper,"1,87m",right,"Jun 30, 2027",€800k
1,AJ Auxerre,Théo De Percin,Goalkeeper,"1,85m",right,"Jun 30, 2028",€300k
2,AJ Auxerre,Raphaël Adiceam,Goalkeeper,"1,79m",left,"Jun 30, 2025",€50k
3,AJ Auxerre,Sinaly Diomandé,Centre-Back,"1,84m",right,"Jun 30, 2027",€5.00m
4,AJ Auxerre,Gabriel Osho,Centre-Back,"1,85m",right,"Jun 30, 2025",€3.00m
5,AJ Auxerre,Clément Akpa,Centre-Back,"1,81m",left,"Jun 30, 2027",€3.00m
6,AJ Auxerre,Jubal,Centre-Back,"1,90m",right,"Jun 30, 2025",€2.00m
7,AJ Auxerre,Gideon Mensah,Left-Back,"1,78m",left,"Jun 30, 2026",€3.50m
8,AJ Auxerre,Fredrik Oppegård,Left-Back,"1,75m",left,"Jun 30, 2028",€600k
9,AJ Auxerre,Ki-Jana Hoever,Right-Back,"1,83m",right,"Jun 30, 2025",€4.50m
10,AJ Auxerre,Paul Joly,Right-Back,"1,82m",right,"Jun 30, 2027",€2.00m
11,AJ Auxerre,Ange Loïc N'Gatta,Right-Back,"1,75m",right,"Jun 30, 2025",€100k
12,AJ Auxerre,Elisha Owusu,Defensive Midfield,"1,82m",right,"Jun 30, 2027",€3.00m
13,AJ Auxerre,Assane Dioussé,Defensive Midfield,"1,75m",left,"Jun 30, 2026",€800k
14,AJ Auxerre,Nathan Buayi-Kiala,Defensive Midfield,"1,77m",right,"Jun 30, 2026",€150k
15,AJ Auxerre,Han-Noah Massengo,Central Midfield,"1,78m",right,"Jun 30, 2025",€5.00m
16,AJ Auxerre,Kévin Danois,Central Midfield,"1,83m",right,"Jun 30, 2028",€4.00m
17,AJ Auxerre,Hamed Junior Traoré,Attacking Midfield,"1,77m",right,"Jun 30, 2025",€18.00m
18,AJ Auxerre,Lassine Sinayoko,Left Winger,"1,86m",right,"Jun 30, 2026",€3.50m
19,AJ Auxerre,Aristide Zossou,Left Winger,"1,78m",right,"Jun 30, 2029",€100k
20,AJ Auxerre,Gaëtan Perrin,Right Winger,"1,69m",right,"Jun 30, 2026",€6.00m
21,AJ Auxerre,Lasso Coulibaly,Right Winger,"1,76m",right,"Jun 30, 2028",€1.50m
22,AJ Auxerre,Eros Maddy,Right Winger,"1,77m",right,"Jun 30, 2027",€200k
23,AJ Auxerre,Theo Bair,Centre-Forward,"1,91m",right,"Jun 30, 2028",€1.80m
24,AJ Auxerre,Ado Onaiwu,Centre-Forward,"1,80m",right,"Jun 30, 2026",€1.80m
25,AJ Auxerre,Florian Ayé,Centre-Forward,"1,84m",right,"Jun 30, 2026",€1.50m
