,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,AS Monaco,Radoslaw Majecki,Goalkeeper,"1,93m",right,"Jun 30, 2028",€7.00m
1,AS Monaco,Philipp Köhn,Goalkeeper,"1,90m",right,"Jun 30, 2028",€4.00m
2,AS Monaco,Yann Lienard,Goalkeeper,"1,94m",right,"Jun 30, 2027",€200k
3,AS Monaco,Wilfried Singo,Centre-Back,"1,90m",right,"Jun 30, 2028",€25.00m
4,AS Monaco,Thilo Kehrer,Centre-Back,"1,86m",both,"Jun 30, 2028",€15.00m
5,AS Monaco,Mohammed Salisu,Centre-Back,"1,88m",left,"Jun 30, 2028",€15.00m
6,AS Monaco,Christian Mawissa,Centre-Back,"1,84m",left,"Jun 30, 2029",€12.00m
7,AS Monaco,Caio Henrique,Left-Back,"1,78m",left,"Jun 30, 2027",€15.00m
8,AS Monaco,Kassoum Ouattara,Left-Back,"1,76m",left,"Jun 30, 2028",€8.00m
9,AS Monaco,Vanderson,Right-Back,"1,73m",right,"Jun 30, 2028",€20.00m
10,AS Monaco,Jordan Teze,Right-Back,"1,83m",right,"Jun 30, 2029",€12.00m
11,AS Monaco,Denis Zakaria,Defensive Midfield,"1,90m",right,"Jun 30, 2028",€30.00m
12,AS Monaco,Soungoutou Magassa,Defensive Midfield,"1,90m",right,"Jun 30, 2029",€12.00m
13,AS Monaco,Moatasem Al-Musrati,Defensive Midfield,"1,89m",right,"Jun 30, 2025",€10.00m
14,AS Monaco,Lamine Camara,Central Midfield,"1,73m",right,"Jun 30, 2029",€20.00m
15,AS Monaco,Edan Diop,Central Midfield,"1,73m",right,"Jun 30, 2028",€1.50m
16,AS Monaco,Aleksandr Golovin,Attacking Midfield,"1,78m",right,"Jun 30, 2029",€25.00m
17,AS Monaco,Eliesse Ben Seghir,Left Winger,"1,78m",right,"Jun 30, 2027",€30.00m
18,AS Monaco,Takumi Minamino,Left Winger,"1,72m",right,"Jun 30, 2027",€15.00m
19,AS Monaco,Lucas Michal,Left Winger,-,right,"Jun 30, 2029",€500k
20,AS Monaco,Maghnes Akliouche,Right Winger,"1,83m",left,"Jun 30, 2028",€40.00m
21,AS Monaco,Krépin Diatta,Right Winger,"1,75m",right,"Jun 30, 2025",€10.00m
22,AS Monaco,Mika Biereth,Centre-Forward,"1,87m",right,"Jun 30, 2029",€25.00m
23,AS Monaco,Folarin Balogun,Centre-Forward,"1,78m",right,"Jun 30, 2028",€20.00m
24,AS Monaco,George Ilenikhena,Centre-Forward,"1,85m",left,"Jun 30, 2029",€15.00m
25,AS Monaco,Breel Embolo,Centre-Forward,"1,87m",right,"Jun 30, 2026",€12.00m
