,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Angers SCO,Yahia Fofana,Goalkeeper,"1,94m",right,"Jun 30, 2026",€6.00m
1,Angers SCO,Melvin Zinga,Goalkeeper,"1,87m",left,"Jun 30, 2026",€250k
2,Angers SCO,Emmanuel Biumla,Centre-Back,"1,85m",right,"Jun 30, 2027",€4.00m
3,Angers SCO,Cédric Hountondji,Centre-Back,"1,94m",right,"Jun 30, 2026",€1.50m
4,Angers SCO,Jordan Lefort,Centre-Back,"1,84m",left,"Jun 30, 2026",€1.20m
5,Angers SCO,Ousmane Camara,Centre-Back,"1,97m",right,"Jun 30, 2026",€500k
6,Angers SCO,Abdoulaye Bamba,Centre-Back,"1,82m",right,"Jun 30, 2025",€350k
7,Angers SCO,Jacques Ekomié,Left-Back,"1,79m",right,"Jun 30, 2027",€800k
8,Angers SCO,Florent Hanin,Left-Back,"1,77m",left,"Jun 30, 2025",€350k
9,Angers SCO,Carlens Arcus,Right-Back,"1,76m",right,"Jun 30, 2026",€1.50m
10,Angers SCO,Lilian Raolisoa,Right-Back,"1,78m",right,"Jun 30, 2026",€700k
11,Angers SCO,Halid Sabanovic,Right-Back,"1,82m",right,"Jun 30, 2025",€200k
12,Angers SCO,Jean-Eudes Aholou,Defensive Midfield,"1,86m",left,"Jun 30, 2026",€2.00m
13,Angers SCO,Zinédine Ould Khaled,Defensive Midfield,"1,95m",right,"Jun 30, 2025",€300k
14,Angers SCO,Haris Belkebla,Central Midfield,"1,77m",right,"Jun 30, 2026",€2.00m
15,Angers SCO,Yassin Belkhdim,Central Midfield,"1,75m",right,"Jun 30, 2027",€800k
16,Angers SCO,Pierrick Capelle,Central Midfield,"1,81m",left,"Jun 30, 2025",€200k
17,Angers SCO,Himad Abdelli,Attacking Midfield,"1,85m",right,"Jun 30, 2026",€7.00m
18,Angers SCO,Farid El Melali,Left Winger,"1,68m",both,"Jun 30, 2025",€4.00m
19,Angers SCO,Jim Allevinah,Right Winger,"1,72m",right,"Jun 30, 2027",€1.80m
20,Angers SCO,Zinedine Ferhat,Right Winger,"1,80m",right,"Jun 30, 2025",€1.20m
21,Angers SCO,Justin Kalumba,Right Winger,"1,71m",left,"Jun 30, 2026",€600k
22,Angers SCO,Estéban Lepaul,Centre-Forward,"1,81m",right,"Jun 30, 2027",€5.00m
23,Angers SCO,Bamba Dieng,Centre-Forward,"1,78m",right,"Jun 30, 2025",€3.50m
24,Angers SCO,Ibrahima Niane,Centre-Forward,"1,87m",right,"Jun 30, 2025",€1.50m
25,Angers SCO,Sidiki Chérif,Centre-Forward,"1,85m",right,"Jun 30, 2028",€1.00m
26,Angers SCO,Adrien Hunou,Centre-Forward,"1,79m",right,"Jun 30, 2025",€500k
