,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,FC Nantes,Alban Lafont,Goalkeeper,"1,96m",right,"Jun 30, 2027",€4.00m
1,FC Nantes,Anthony Lopes,Goalkeeper,"1,84m",left,"Jun 30, 2025",€1.50m
2,FC Nantes,Patrik Carlgren,Goalkeeper,"1,89m",right,"Jun 30, 2026",€800k
3,FC Nantes,Hugo Barbet,Goalkeeper,"1,89m",right,"Jun 30, 2026",€100k
4,FC Nantes,Nathan Zézé,Centre-Back,"1,90m",left,"Jun 30, 2028",€12.00m
5,FC Nantes,Saïdou Sow,Centre-Back,"1,87m",right,"Jun 30, 2025",€6.00m
6,FC Nantes,Jean-Charles Castelletto,Centre-Back,"1,86m",both,"Jun 30, 2028",€3.50m
7,FC Nantes,Nicolas Pallois,Centre-Back,"1,89m",left,"Jun 30, 2025",€500k
8,FC Nantes,Nicolas Cozza,Left-Back,"1,78m",left,"Jun 30, 2025",€3.50m
9,FC Nantes,Kelvin Amian,Right-Back,"1,80m",right,"Jun 30, 2028",€2.50m
10,FC Nantes,Fabien Centonze,Right-Back,"1,82m",right,"Jun 30, 2027",€2.00m
11,FC Nantes,Marcus Coco,Right-Back,"1,84m",right,"Jun 30, 2025",€1.50m
12,FC Nantes,Johann Lepenant,Defensive Midfield,"1,76m",right,"Jun 30, 2025",€7.00m
13,FC Nantes,Pedro Chirivella,Defensive Midfield,"1,78m",right,"Jun 30, 2026",€5.00m
14,FC Nantes,Francis Coquelin,Defensive Midfield,"1,77m",right,"Jun 30, 2025",€1.00m
15,FC Nantes,Douglas Augusto,Central Midfield,"1,73m",left,"Jun 30, 2027",€6.00m
16,FC Nantes,Dehmaine Tabibou,Central Midfield,"1,83m",left,"Jun 30, 2026",€100k
17,FC Nantes,Louis Leroux,Attacking Midfield,"1,84m",left,"Jun 30, 2028",€2.00m
18,FC Nantes,Florent Mollet,Attacking Midfield,"1,75m",right,"Jun 30, 2025",€1.50m
19,FC Nantes,Moses Simon,Left Winger,"1,68m",right,"Jun 30, 2026",€12.00m
20,FC Nantes,Herba Guirassy,Left Winger,"1,86m",,"Jun 30, 2028",€1.00m
21,FC Nantes,Sorba Thomas,Right Winger,"1,85m",right,"Jun 30, 2025",€4.00m
22,FC Nantes,Matthis Abline,Centre-Forward,"1,82m",right,"Jun 30, 2028",€12.00m
23,FC Nantes,Mostafa Mohamed,Centre-Forward,"1,85m",right,"Jun 30, 2027",€6.00m
24,FC Nantes,Meschack Elia,Centre-Forward,"1,73m",right,"Jun 30, 2025",€5.00m
25,FC Nantes,Tino Kadewere,Centre-Forward,"1,83m",right,"Jun 30, 2027",€3.00m
