,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,FC Toulouse,Guillaume Restes,Goalkeeper,"1,88m",left,"Jun 30, 2028",€20.00m
1,FC Toulouse,Kjetil Haug,Goalkeeper,"1,87m",right,"Jun 30, 2026",€600k
2,FC Toulouse,Justin Lacombe,Goalkeeper,"1,92m",right,"Jun 30, 2026",€50k
3,FC Toulouse,Charlie Cresswell,Centre-Back,"1,90m",right,"Jun 30, 2028",€7.00m
4,FC Toulouse,Mark McKenzie,Centre-Back,"1,84m",right,"Jun 30, 2027",€6.00m
5,FC Toulouse,Rasmus Nicolaisen,Centre-Back,"1,91m",left,"Jun 30, 2025",€5.00m
6,FC Toulouse,Jaydee Canvot,Centre-Back,"1,88m",right,"Jun 30, 2029",€2.50m
7,FC Toulouse,Ümit Akdağ,Centre-Back,"1,92m",left,"Jun 30, 2025",€800k
8,FC Toulouse,Gabriel Suazo,Left-Back,"1,78m",left,"Jun 30, 2026",€4.00m
9,FC Toulouse,Warren Kamanzi,Right-Back,"1,77m",right,"Jun 30, 2026",€2.00m
10,FC Toulouse,Djibril Sidibé,Right-Back,"1,83m",right,"Jun 30, 2025",€1.20m
11,FC Toulouse,Cristian Cásseres Jr.,Central Midfield,"1,76m",right,"Jun 30, 2027",€5.00m
12,FC Toulouse,Vincent Sierro,Central Midfield,"1,85m",right,"Jun 30, 2026",€4.00m
13,FC Toulouse,Niklas Schmidt,Central Midfield,"1,84m",both,"Jun 30, 2027",€2.00m
14,FC Toulouse,Miha Zajc,Central Midfield,"1,78m",right,"Jun 30, 2025",€1.80m
15,FC Toulouse,Rafik Messali,Right Midfield,"1,77m",right,"Jun 30, 2026",€800k
16,FC Toulouse,Aron Dønnum,Left Midfield,"1,78m",left,"Jun 30, 2028",€4.00m
17,FC Toulouse,Yann Gboho,Left Winger,"1,78m",right,"Jun 30, 2026",€8.00m
18,FC Toulouse,Zakaria Aboukhlal,Right Winger,"1,79m",both,"Jun 30, 2026",€12.00m
19,FC Toulouse,Shavy Babicka,Right Winger,"1,79m",right,"Jun 30, 2027",€3.00m
20,FC Toulouse,Noah Edjouma,Right Winger,"1,82m",right,"Jun 30, 2027",€500k
21,FC Toulouse,Frank Magri,Centre-Forward,"1,78m",right,"Jun 30, 2026",€2.50m
22,FC Toulouse,Joshua King,Centre-Forward,"1,80m",right,"Jun 30, 2025",€2.00m
