,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,LOSC Lille,Lucas Chevalier,Goalkeeper,"1,89m",right,"Jun 30, 2027",€30.00m
1,LOSC Lille,Vito Mannone,Goalkeeper,"1,88m",right,"Jun 30, 2025",€200k
2,LOSC Lille,Marc-Aurèle Caillard,Goalkeeper,"1,92m",right,"Jun 30, 2025",€150k
3,LOSC Lille,Bafodé Diakité,Centre-Back,"1,84m",right,"Jun 30, 2028",€25.00m
4,LOSC Lille,Alexsandro,Centre-Back,"1,91m",right,"Jun 30, 2028",€15.00m
5,LOSC Lille,Samuel Umtiti,Centre-Back,"1,82m",left,"Jun 30, 2025",€2.00m
6,LOSC Lille,Aïssa Mandi,Centre-Back,"1,86m",right,"Jun 30, 2026",€1.50m
7,LOSC Lille,Gabriel Gudmundsson,Left-Back,"1,80m",left,"Jun 30, 2026",€9.00m
8,LOSC Lille,Mitchel Bakker,Left-Back,"1,89m",left,"Jun 30, 2025",€7.00m
9,LOSC Lille,Ismaily,Left-Back,"1,77m",left,"Jun 30, 2025",€1.50m
10,LOSC Lille,Tiago Santos,Right-Back,"1,75m",right,"Jun 30, 2029",€15.00m
11,LOSC Lille,Thomas Meunier,Right-Back,"1,91m",right,"Jun 30, 2026",€2.00m
12,LOSC Lille,Ngal'ayel Mukau,Defensive Midfield,"1,86m",left,"Jun 30, 2028",€15.00m
13,LOSC Lille,Nabil Bentaleb,Defensive Midfield,"1,87m",left,"Jun 30, 2026",€8.00m
14,LOSC Lille,Benjamin André,Defensive Midfield,"1,80m",right,"Jun 30, 2026",€6.00m
15,LOSC Lille,Ayyoub Bouaddi,Central Midfield,"1,86m",right,"Jun 30, 2027",€30.00m
16,LOSC Lille,André Gomes,Central Midfield,"1,90m",right,"Jun 30, 2026",€8.00m
17,LOSC Lille,Ethan Mbappé,Central Midfield,"1,80m",left,"Jun 30, 2027",€5.00m
18,LOSC Lille,Angel Gomes,Attacking Midfield,"1,66m",right,"Jun 30, 2025",€20.00m
19,LOSC Lille,Hákon Arnar Haraldsson,Attacking Midfield,"1,78m",right,"Jun 30, 2028",€15.00m
20,LOSC Lille,Rémy Cabella,Attacking Midfield,"1,72m",right,"Jun 30, 2025",€3.00m
21,LOSC Lille,Osame Sahraoui,Left Winger,"1,70m",right,"Jun 30, 2029",€12.00m
22,LOSC Lille,Edon Zhegrova,Right Winger,"1,80m",left,"Jun 30, 2026",€25.00m
23,LOSC Lille,Jonathan David,Centre-Forward,"1,78m",both,"Jun 30, 2025",€45.00m
24,LOSC Lille,Matías Fernández-Pardo,Centre-Forward,"1,88m",right,"Jun 30, 2029",€10.00m
25,LOSC Lille,Chuba Akpom,Centre-Forward,"1,83m",right,"Jun 30, 2025",€8.00m
