,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Le Havre AC,Arthur Desmas,Goalkeeper,"1,96m",right,"Jun 30, 2025",€1.50m
1,Le Havre AC,Mathieu Gorgelin,Goalkeeper,"1,87m",left,"Jun 30, 2025",€200k
2,Le Havre AC,Arouna Sangante,Centre-Back,"1,89m",right,"Jun 30, 2026",€10.00m
3,Le Havre AC,Étienne Youté Kinkoué,Centre-Back,"1,96m",right,"Jun 30, 2026",€8.00m
4,Le Havre AC,Gautier Lloris,Centre-Back,"1,91m",left,"Jun 30, 2026",€3.00m
5,Le Havre AC,Fodé Ballo-Touré,Left-Back,"1,82m",left,"Jun 30, 2025",€1.50m
6,Le Havre AC,Yanis Zouaoui,Left-Back,"1,83m",left,"Jun 30, 2027",€800k
7,Le Havre AC,Timothée Pembélé,Right-Back,"1,83m",right,"Jun 30, 2025",€2.50m
8,Le Havre AC,Loïc Nego,Right-Back,"1,81m",right,"Jun 30, 2025",€800k
9,Le Havre AC,Oualid El Hajjam,Right-Back,"1,81m",right,"Jun 30, 2026",€400k
10,Le Havre AC,Junior Mwanga,Defensive Midfield,"1,84m",both,"Jun 30, 2025",€6.00m
11,Le Havre AC,Abdoulaye Touré,Defensive Midfield,"1,88m",right,"Jun 30, 2025",€3.00m
12,Le Havre AC,Rassoul Ndiaye,Defensive Midfield,"1,79m",right,"Jun 30, 2026",€2.50m
13,Le Havre AC,Aloïs Confais,Defensive Midfield,"1,74m",right,"Jun 30, 2025",€200k
14,Le Havre AC,Yassine Kechta,Central Midfield,"1,74m",left,"Jun 30, 2026",€5.00m
15,Le Havre AC,Daler Kuzyaev,Central Midfield,"1,82m",right,"Jun 30, 2025",€5.00m
16,Le Havre AC,Mahamadou Diawara,Central Midfield,"1,87m",left,"Jun 30, 2025",€2.50m
17,Le Havre AC,Ismaïl Bouneb,Attacking Midfield,"1,82m",right,"Jun 30, 2028",€50k
18,Le Havre AC,Antoine Joujou,Left Winger,"1,89m",right,"Jun 30, 2025",€2.50m
19,Le Havre AC,Issa Soumaré,Left Winger,"1,82m",right,"Jun 30, 2026",€1.50m
20,Le Havre AC,Josué Casimir,Right Winger,"1,78m",right,"Jun 30, 2025",€3.50m
21,Le Havre AC,Ilyes Housni,Centre-Forward,"1,72m",right,"Jun 30, 2025",€2.00m
22,Le Havre AC,Ahmed Hassan,Centre-Forward,"1,91m",right,"Jun 30, 2025",€900k
23,Le Havre AC,André Ayew,Centre-Forward,"1,75m",left,"Jun 30, 2025",€700k
24,Le Havre AC,Elysée Logbo,Centre-Forward,"1,88m",left,"Jun 30, 2027",€600k
25,Le Havre AC,Yann Kitala,Centre-Forward,"1,86m",left,"Jun 30, 2025",€500k
