,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Montpellier HSC,Benjamin Lecomte,Goalkeeper,"1,86m",left,"Jun 30, 2027",€2.00m
1,Montpellier HSC,Dimitry Bertaud,Goalkeeper,"1,80m",right,"Jun 30, 2025",€1.20m
2,Montpellier HSC,Belmin Dizdarevic,Goalkeeper,"1,89m",right,"Jun 30, 2028",€150k
3,Montpellier HSC,Bamo Meïté,Centre-Back,"1,84m",right,"Jun 30, 2025",€5.00m
4,Montpellier HSC,Becir Omeragic,Centre-Back,"1,87m",right,"Jun 30, 2028",€5.00m
5,Montpellier HSC,Kiki Kouyaté,Centre-Back,"1,92m",right,"Jun 30, 2026",€3.50m
6,Montpellier HSC,Modibo Sagnan,Centre-Back,"1,87m",left,"Jun 30, 2028",€3.00m
7,Montpellier HSC,Christopher Jullien,Centre-Back,"1,96m",right,"Jun 30, 2025",€1.50m
8,Montpellier HSC,Nikola Maksimović,Centre-Back,"1,93m",right,-,€400k
9,Montpellier HSC,Issiaga Sylla,Left-Back,"1,80m",left,"Jun 30, 2025",€2.00m
10,Montpellier HSC,Lucas Mincarelli,Left-Back,"1,79m",left,"Jun 30, 2027",€900k
11,Montpellier HSC,Théo Sainte-Luce,Left-Back,"1,76m",left,"Jun 30, 2027",€800k
12,Montpellier HSC,Enzo Tchato,Right-Back,"1,82m",right,"Jun 30, 2027",€2.50m
13,Montpellier HSC,Falaye Sacko,Right-Back,"1,80m",right,"Jun 30, 2026",€2.00m
14,Montpellier HSC,Joris Chotard,Defensive Midfield,"1,79m",right,"Jun 30, 2026",€7.00m
15,Montpellier HSC,Rabby Nzingoula,Defensive Midfield,"1,83m",right,"Jun 30, 2025",€2.50m
16,Montpellier HSC,Khalil Fayad,Central Midfield,"1,72m",right,"Jun 30, 2027",€4.00m
17,Montpellier HSC,Jordan Ferri,Central Midfield,"1,73m",right,"Jun 30, 2026",€2.50m
18,Montpellier HSC,Téji Savanier,Attacking Midfield,"1,72m",right,"Jun 30, 2026",€3.00m
19,Montpellier HSC,Nicolas Pays,Attacking Midfield,"1,77m",left,-,€700k
20,Montpellier HSC,Wahbi Khazri,Left Winger,"1,76m",right,"Jun 30, 2025",€1.50m
21,Montpellier HSC,Tanguy Coulibaly,Right Winger,"1,79m",left,"Jun 30, 2026",€1.80m
22,Montpellier HSC,Othmane Maamma,Right Winger,"1,82m",both,"Jun 30, 2027",€800k
23,Montpellier HSC,Andy Delort,Centre-Forward,"1,81m",right,"Jun 30, 2025",€2.00m
